Name,Sex,Age,Division,Equipment,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Event,Place
Gioia Rossini,,20,F_J_R_ABPU,Raw,47.3,48,30,40,45,45,35,40,45,45,85,95,100,100,190,SBD,1
Rebecca Brown,,37,F_O_R_ABPU,Raw,51.9,52,50,60,-70,60,35,40,-42.5,40,85,90,95,95,195,SBD,1
Nicola Swain,,40,F_M1_C_ABPU,Wraps,60,60,100,110,112.5,112.5,65,-67.5,-67.5,65,125,130,140,140,317.5,SBD,1
Hollie Pearson,,29,F_O_C_ABPU,Wraps,57.6,60,90,97.5,102.5,102.5,47.5,50,-52.5,50,110,-115,115,115,267.5,SBD,1
Anna Fyodorova,,25,F_O_C_BPU,Wraps,59.8,60,95,-110,120,120,55,62.5,67.5,67.5,100,120,-125,120,307.5,SBD,1
Linda Hicks,,56,F_M4_S_ABPU,Single-ply,67.5,67.5,110,120,-127.5,120,-87.5,87.5,-92.5,87.5,-140,140,145,145,352.5,SBD,1
Sophie Fuller,,22,F_J_C_ABPU,Wraps,64.5,67.5,85,95,105,105,45,52.5,-60,52.5,115,125,135,135,292.5,SBD,1
Sheryl Morris,,30,F_O_C_ABPU,Wraps,66.1,67.5,70,75,85,85,35,45,-50,45,100,115,125,125,255,SBD,1
Lucy Batchelor,,37,F_O_C_ABPU,Wraps,65.7,67.5,65,-70,70,70,40,45,-47.5,45,80,85,90,90,205,SBD,2
Kelly Brown,,28,F_O_C_BPU,Wraps,62.9,67.5,165,175,185,185,80,85,90,90,170,180,190,190,465,SBD,1
Cheska Webb,,30,F_O_R_ABPU,Raw,65.2,67.5,-70,75,90,90,55,60,-67.5,60,120,-130,130,130,280,SBD,1
Amy Brownridge,,26,F_O_R_ABPU,Raw,67.5,67.5,,,,,,,,,,,,,,SBD,DQ
John East,,32,M_O_C_ABPU,Wraps,65,67.5,150,160,175,175,107.5,112.5,117.5,117.5,180,190,195,195,487.5,SBD,1
Alister Little,,32,M_O_C_ABPU,Wraps,66.2,67.5,140,155,165,165,100,105,-110,105,180,-205,,180,450,SBD,2
Joanna Halliday,,43,F_M1_C_ABPU,Wraps,71.2,75,135,140,145,145,82.5,85,87.5,87.5,150,160,-165,160,392.5,SBD,1
Anjanita Baker,,43,F_M1_C_ABPU,Wraps,72.1,75,125,132.5,137.5,137.5,70,75,80,80,145,155,-165,155,372.5,SBD,2
Hollie Tucker,,29,F_O_C_BPU,Wraps,74.7,75,127.5,135,-140,135,55,60,-62.5,60,130,140,150,150,345,SBD,1
Agata Mychlinska,,29,F_O_R_ABPU,Raw,71.1,75,85,92.5,100,100,35,42.5,-47.5,42.5,115,125,-135,125,267.5,SBD,1
Sean Brown,,21,M_J_C_ABPU,Wraps,73.6,75,170,180,-185,180,110,-115,-115,110,180,-195,-195,180,470,SBD,1
Tom Hawkins,,21,M_J_R_ABPU,Raw,71.7,75,70,80,85,85,65,75,-82.5,75,80,90,100,100,260,SBD,1
Dylan Cilliers,,19,M_T3_C_ABPU,Wraps,73.5,75,-180,185,-192.5,185,105,110,115,115,220,230,240,240,540,SBD,1
Alex Foley,,17,M_T2_C_ABPU,Wraps,74.8,75,137.5,145,-152.5,145,77.5,82.5,90,90,155,162.5,175,175,410,SBD,1
Cleary Clifford,,42,F_M1_C_ABPU,Wraps,81.2,82.5,-95,95,-105,95,47.5,-50,-50,47.5,120,125,127.5,127.5,270,SBD,1
Mark Lockstone,,50,M_M3_C_ABPU,Wraps,76.3,82.5,-110,110,-120,110,70,75,-80,75,140,155,162.5,162.5,347.5,SBD,1
William Smith,,23,M_J_C_ABPU,Wraps,80.7,82.5,185,200,-210,200,107.5,115,-120,115,220,235,-250,235,550,SBD,1
John Paul Fanning,,23,M_J_C_ABPU,Wraps,78.4,82.5,140,150,160,160,105,-112.5,115,115,190,205,215,215,490,SBD,2
Max Reynolds,,20,M_J_R_ABPU,Raw,80.9,82.5,130,140,155,155,105,115,125,125,160,175,190,190,470,SBD,1
Rob Bragg,,27,M_O_C_BPU,Wraps,82.4,82.5,180,200,,200,-125,125,,125,215,,,215,540,SBD,1
Luke McDonald,,38,M_O_C_BPU,Wraps,82.5,82.5,,,,,,,,,,,,,,SBD,DQ
Stephen Reece,,23,M_J_R_ABPU,Raw,100,100,,,,,,,,,,,,,,SBD,DQ
Luke Tolman,,19,M_T3_C_ABPU,Wraps,96.3,100,240,257.5,270,270,200,-212.5,212.5,212.5,-257.5,272.5,290,290,772.5,SBD,1
Victoria Brodie,,28,F_O_C_ABPU,Wraps,90+,90+,,,,,,,,,,,,,,,
