Name,Division,Equipment,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Place,Event,State
Stefan Müller,Open,Raw,96.16,120,100,145,365,10,SBD,NW
Jerome Vego,Open,Raw,112,140,100,170,410,5,SBD,NW
Kim Müller,Open,Raw,72.65,142.5,115,162.5,420,3,SBD,NW
Daniel Mattern,Open,Raw,90.1,155,100,180,435,6,SBD,NW
Simon Terhorst,Open,Raw,101.15,140,115,180,435,9,SBD,NW
Tobias Ommer,Open,Raw,80.25,160,105,205,470,6,SBD,NW
Thomas Glanz,Open,Raw,82.3,170,102.5,207.5,480,4,SBD,NW
Wilhelm Biniok,Open,Raw,83,145,120,215,480,5,SBD,NW
Maher Saei,Open,Raw,71.35,160,130,210,500,2,SBD,NW
Simon Gelewski,Open,Raw,110.45,190,110,215,515,3,SBD,NW
Marvin Boms,Open,Raw,95.85,175,120,225,520,8,SBD,NW
Dimitry Sidorov,Open,Raw,82.05,187.5,127.5,210,525,3,SBD,NW
Philippe Anghuy,Open,Raw,98.7,200,110,230,540,6,SBD,NW
Günter Barth,Open,Raw,80.5,195,135,220,550,2,SBD,NW
David Littau,Open,Raw,90.4,215,132.5,262.5,610,3,SBD,NW
Faisal Yassin,Open,Raw,99.55,220,152.5,242.5,615,5,SBD,NW
Ken Gildner,Open,Raw,90.75,212.5,147.5,260,620,2,SBD,NW
Rustam Pitov,Open,Raw,101.7,205,177.5,242.5,625,3,SBD,NW
Sebastian Schaffarczyk,Open,Raw,103.3,220,165,240,625,4,SBD,NW
Paul Markwart,Open,Raw,81.8,215,152.5,267.5,635,1,SBD,NW
Timo Lieder,Open,Raw,103.7,245,170,260,675,2,SBD,NW
Friedrich von Hennig,Open,Raw,98.95,240,157.5,302.5,700,1,SBD,NW
Anna Seleninova,Open,Raw,60.5,50,30,75,155,4,SBD,NW
Rebekka Roch,Open,Raw,55.1,55,40,82.5,177.5,3,SBD,NW
Susanne Wischnewski,Master3,Single-ply,59.3,70,40,82.5,192.5,1,SBD,NW
Verena Fischer,Open,Raw,55.65,80,42.5,100,222.5,2,SBD,NW
Linda Streicher,Open,Raw,71,82.5,47.5,110,240,4,SBD,NW
Bärbel Pfeifer,Master1,Raw,116.25,70,57.5,115,242.5,1,SBD,NW
Stefanie Dittombee,Open,Raw,59.85,90,50,105,245,3,SBD,NW
Ira Neitzel,Open,Raw,49.7,95,50,102.5,247.5,1,SBD,NW
Karolina Gerferz,Open,Raw,62.1,85,50,112.5,247.5,2,SBD,NW
Amelie Kraft,Open,Raw,62,85,55,117.5,257.5,1,SBD,NW
Janina Fölsche,Junior,Raw,62.75,100,52.5,122.5,275,1,SBD,NW
Dina Pohl,Open,Raw,70.15,107.5,52.5,117.5,277.5,3,SBD,NW
Hanna Wang,Open,Raw,54.4,95,60,130,285,1,SBD,NW
Anna Belke,Junior,Raw,68.6,110,60,120,290,1,SBD,NW
Karen Rehfus,Open,Single-ply,72,110,65,125,300,1,SBD,NW
Marlies Winkel,Master3,Raw,62.35,95,70,135,300,1,SBD,NW
Nadine Bisior,Open,Raw,70.6,107.5,62.5,130,300,2,SBD,NW
Lea Holighaus,Open,Single-ply,62.5,122.5,55,137.5,315,2,SBD,NW
Tetyana Holm,Open,Raw,71.7,127.5,67.5,130,325,1,SBD,NW
Rebekka Thomas,Open,Raw,77.5,120,67.5,140,327.5,1,SBD,NW
Onur Fakiroglu,Open,Raw,73.05,100,92.5,135,327.5,4,SBD,NW
Lea Schreiner,Junior,Raw,81.95,125,72.5,150,347.5,1,SBD,NW
Jessica Lang,Open,Single-ply,60.9,150,70,142.5,362.5,1,SBD,NW
Johnny Winkler,Junior,Raw,81.8,120,82.5,185,387.5,6,SBD,NW
Holger Ippers,Master2,Raw,77.65,110,117.5,170,397.5,2,SBD,NW
Michael Fauck,Master1,Raw,72.05,135,122.5,142.5,400,1,SBD,NW
Alexander Hammers,Junior,Raw,82.6,150,95,160,405,5,SBD,NW
Mariana Cederberg,Open,Raw,90.3,150,87.5,170,407.5,1,SBD,NW
Tom Burg,Junior,Raw,71.45,135,97.5,180,412.5,1,SBD,NW
Jan Smolczyk,Master1,Single-ply,72.25,135,105,180,420,1,SBD,NW
Marco Schürmann,Junior,Raw,88.4,130,107.5,185,422.5,6,SBD,NW
Klaus Uwe Klobedantz,Master2,Raw,105.8,155,110,175,440,2,SBD,NW
Stefan Kapplinghaus,Master3,Raw,103.05,137.5,115,190,442.5,1,SBD,NW
Christian Stoebke,Master1,Raw,109.2,150,102.5,192.5,445,2,SBD,NW
David Cordes,Junior,Raw,92,165,90,200,455,5,SBD,NW
Wlad Pesotsky,Youth,Raw,79.55,165,110,185,460,1,SBD,NW
Benno Dressler,Open,Raw,88.35,155,122.5,190,467.5,5,SBD,NW
Philipp Ebeling,Junior,Raw,88.05,190,105,175,470,4,SBD,NW
Jonas Diefenbach,Junior,Single-ply,68.8,190,85,200,475,1,SBD,NW
Martin Verhoff,Master2,Raw,94.5,160,120,200,480,1,SBD,NW
Sebastian Schwarz,Junior,Raw,80.05,165,120,202.5,487.5,4,SBD,NW
Dirk Riedel,Master2,Raw,81.05,155,110,222.5,487.5,1,SBD,NW
Elio Taurisano,Master2,Raw,93,172.5,117.5,210,500,2,SBD,NW
Thomas Roch,Master2,Raw,111.15,140,150,210,500,1,SBD,NW
Jonas Gailus,Junior,Raw,97.55,187.5,105,212.5,505,3,SBD,NW
Semih Ugur,Junior,Raw,81.15,195,112.5,205,512.5,3,SBD,NW
Philipp Oszczeda,Open,Raw,116.95,195,127.5,190,512.5,4,SBD,NW
Andreas Werthenbach,Junior,Single-ply,79.9,180,120,215,515,2,SBD,NW
Martin Tetzlaff,Master1,Raw,116.9,165,177.5,180,522.5,1,SBD,NW
Jan Hendrik Becker,Open,Raw,103.3,190,120,212.5,522.5,7,SBD,NW
Omar Kerknawi,Junior,Raw,81.8,175,122.5,230,527.5,2,SBD,NW
Mehrjar Yahyavi Sarab,Youth,Raw,95.15,180,125,227.5,532.5,1,SBD,NW
Jochen Stöver,Master2,Raw,90.4,185,122.5,225,532.5,1,SBD,NW
Marc Müller,Open,Raw,90.75,192.5,115,225,532.5,4,SBD,NW
Daniel Höcker,Junior,Raw,81.2,185,125,225,535,1,SBD,NW
Jasper Steffens,Junior,Raw,109.35,187.5,110,240,537.5,2,SBD,NW
