Name,Sex,Division,WeightClassKg,BodyweightKg,BirthYear,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Place,Event,Equipment
Claudia Kochs,F,Open,57,56.05,1985,70,77.5,-80,77.5,45,-47.5,47.5,47.5,70,-90,90,90,215,6,SBD,Raw
Vivien Ann Hoppe,F,Open,63,62.5,1992,-70,70,-72.5,70,45,50,-52.5,50,110,-120,-120,110,230,10,SBD,Raw
Carola Jungwirth,F,Master1,63,61.95,1977,85,90,-92.5,90,50,-55,-55,50,100,110,115,115,255,3,SBD,Raw
Ira Neitzel,F,Open,52,51.65,1981,-97.5,-97.5,97.5,97.5,55,-57.5,-57.5,55,100,105,-115,105,257.5,4,SBD,Raw
Katja Hoffmann,F,Master1,57,54.45,1973,67.5,75,82.5,82.5,57.5,60,62.5,62.5,100,110,115,115,260,2,SBD,Raw
Thomas Heidenreich,M,Master1,93,91.75,1970,160,170,-180,170,-140,-145,-145,,200,220,230,230,,DQ,SBD,Raw
Isabel Wagner,F,Open,52,51.35,1994,77.5,85,90,90,47.5,52.5,-55,52.5,-110,120,125,125,267.5,2,SBD,Raw
Romina Basting,F,Open,52,51.75,1993,92.5,100,102.5,102.5,50,52.5,-55,52.5,105,110,112.5,112.5,267.5,3,SBD,Raw
Kim Ricarda Frerichs,F,Open,63,60.15,1993,-90,90,102.5,102.5,40,-45,-45,40,120,125,-130,125,267.5,9,SBD,Raw
Petra Dietmayr,F,Master2,84,73,1967,70,77.5,85,85,50,55,-60,55,115,122.5,127.5,127.5,267.5,1,SBD,Raw
Christine Murdock,F,Master1,72,65,1972,90,95,-100,95,57.5,62.5,-67.5,62.5,110,115,117.5,117.5,275,1,SBD,Raw
Ludwig Werner,M,Master4,59,58.9,1938,-90,-90,90,90,65,-70,-70,65,120,130,-140,130,285,1,SBD,Raw
Carolin Zamzow,F,Open,57,56.6,1987,95,100,-102.5,100,60,65,67.5,67.5,100,110,120,120,287.5,5,SBD,Raw
Marlies W inkel,F,Master3,63,59.8,1957,75,82.5,90,90,60,66,-70.5,66,120,130,132.5,132.5,288.5,1,SBD,Raw
Madeleine Schönfeld,F,Open,63,60.95,1980,107.5,-110,-110,107.5,62.5,65,-70,65,100,112.5,117.5,117.5,290,8,SBD,Raw
Heike Reichenauer,F,Open,84,76.25,1993,-100,100,-105,100,60,65,-70,65,115,125,-135,125,290,5,SBD,Raw
Janina Fölsche,F,Open,63,61.7,1996,97.5,-105,-105,97.5,52.5,-55,55,55,127.5,135,140,140,292.5,7,SBD,Raw
Courtney Evors,F,Open,57,56.65,1979,100,105,110,110,52.5,55,-57.5,55,120,130,-140,130,295,4,SBD,Raw
Jenny Schümann,F,Master1,84,78.45,1978,92.5,97.5,105,105,60,65,67.5,67.5,115,122.5,127.5,127.5,300,1,SBD,Raw
Achim Wendlandt,M,Master2,59,58.85,1960,80,85,90,90,80,85,90,90,100,110,120,120,300,1,SBD,Raw
Jasmin Treimer,F,Master1,57,56.45,1976,85,-92.5,92.5,92.5,52.5,55,-57.5,55,145,153,-155,153,300.5,1,SBD,Raw
Christin Nagy,F,Open,63,60.95,1984,95,102.5,,102.5,55,60,62.5,62.5,130,137.5,140,140,305,5,SBD,Raw
Tabea Wiedenhofer,F,Open,63,62.85,1996,115,120,-122.5,120,65,-70,-70,65,110,120,-122.5,120,305,6,SBD,Raw
Zaneta Possehl,F,Master1,63,59.85,1977,95,102.5,107.5,107.5,60,67.5,-70,67.5,120,130,-135,130,305,2,SBD,Raw
Ekkehard Sauer,M,Master4,83,80.2,1940,80,90,100,100,55,65,70,70,125,135,140,140,310,1,SBD,Raw
Heidrun Woltjen,F,Master2,63,62.35,1965,97.5,105,110,110,50,52.5,55,55,135,141,146,146,311,1,SBD,Raw
Kateryna Kremkova,F,Open,84,79.55,1987,107.5,115,-122.5,115,62.5,67.5,-70,67.5,117.5,125,130,130,312.5,4,SBD,Raw
Sylvia Wunderlich,F,Master2,84+,87,1965,80,90,100,100,75,80,-82.5,80,115,127.5,135,135,315,1,SBD,Raw
Mi Cevallos Valverde,F,Open,57,55.25,1988,105,112.5,117.5,117.5,65,70,-72.5,70,130,140,-147.5,140,327.5,3,SBD,Raw
Julie Klenkler,F,Open,57,56.8,1991,115,120,-125,120,55,57.5,60,60,140,150,-155,150,330,2,SBD,Raw
Mirjam Amelal,F,Open,63,59.95,1992,102.5,110,117.5,117.5,70,75,-77.5,75,120,130,137.5,137.5,330,4,SBD,Raw
Annabell Pfeiffer,F,Open,63,62.85,1989,107.5,110,115,115,62.5,67.5,-70,67.5,140,147.5,150,150,332.5,3,SBD,Raw
Isabelle Materne,F,Open,72,66.3,1985,110,117.5,,117.5,82.5,90,-92.5,90,115,125,-132.5,125,332.5,5,SBD,Raw
Karolina Moszynska,F,Open,57,55.9,1986,115,-125,-130,115,65,-70,70,70,137.5,150,155.5,155.5,340.5,1,SBD,Raw
Daniela Falck,F,Master1,63,62.35,1975,115,120,-125,120,65,70,-72.5,70,150,156,-158,156,346,1,SBD,Raw
Hartmut Wiechert,M,Master4,93,89.85,1946,95,-110,-110,95,85,90,92.5,92.5,140,150,160,160,347.5,2,SBD,Raw
Christine Groß,F,Open,84,79.95,1979,115,-120,120,120,-80,80,82.5,82.5,140,152.5,-157.5,152.5,355,3,SBD,Raw
Mareen Schmeelke,F,Open,52,51.05,1991,130,135,-138,135,73,75,76,76,140,145,150.5,150.5,361.5,1,SBD,Raw
