Name,Equipment,WeightClassKg,Sex,Division,BodyweightKg,BirthYear,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Place,Event,State
Tina  Adler,Raw,72,F,Open,69.20,1984,80,90,-97.5,90.0,70,80,-65,80.0,120,140,150,150.0,320.0,G,SBD,BB
Reiner Besser,Single-ply,93,M,Master2,87.25,1965,165,175,180,180.0,135,140,-142.5,140.0,180,190,205,205.0,525.0,1,SBD,BB
Anna Blattner,Raw,72,F,Open,68.90,1984,105,110,-115,110.0,60,65,-70,65.0,127.5,135,142.5,142.5,317.5,2,SBD,BB
Katja Broxtermann,Single-ply,72,F,Open,72.00,1986,170,-177.5,182.5,182.5,117.5,-120,120,120.0,155,162.5,167.5,167.5,470.0,1,SBD,BB
Anaid Cavalios,Raw,57,F,Open,53.10,1982,-105,-110,110,110.0,65,70,-75,70.0,130,140,145,145.0,325.0,G,SBD,BB
Matteo Forgione,Raw,93,M,Open,89.25,1985,-200,-200,200,200.0,140,145,150,150.0,240,250,-270,250.0,600.0,2,SBD,BB
Ronny Göbel,Single-ply,120,M,Master1,106.60,1976,150,165,,165.0,185,-195,-195,185.0,180,200,210,210.0,560.0,1,SBD,BB
Dustin Graff,Raw,93,M,Youth,83.80,2001,-105,-105,-105,,60,65,70,70.0,130,135,-140,135.0,,DQ,SBD,BB
Meiko Griebner,Raw,74,M,Youth,69.60,2004,100,110,117.5,117.5,70,-77.5,77.5,77.5,105,115,-122.5,115.0,310.0,2,SBD,BB
Rene Gummelt,Single-ply,93,M,Open,86.50,1985,175,185,190,190.0,135,145,152.5,152.5,175,185,-205,185.0,527.5,5,SBD,BB
Eric Hinzpeter,Raw,93,M,Open,83.55,1989,180,195,200,200.0,110,120,-125,120.0,220,240,-260,240.0,560.0,3,SBD,BB
Enrico Höll,Single-ply,105,M,Open,96.65,1991,-170,170,,170.0,125,-150,-160,125.0,192.5,-205,205,205.0,500.0,1,SBD,BB
Zoran Jelic,Raw,74,M,Open,71.20,1985,150,155,157.5,157.5,97.5,102.5,105,105.0,185,192.5,200,200.0,462.5,2,SBD,BB
Marc Kewitz,Raw,120,M,Open,111.65,1990,150,170,185,185.0,135,145,150,150.0,200,220,240,240.0,575.0,2,SBD,BB
Steffen Kinzel,Raw,105,M,Master1,96.35,1976,135,142.5,150,150.0,135,140,-145,140.0,200,230,235,235.0,525.0,3,SBD,BB
