Name,Sex,Equipment,BodyweightKg,WeightClassKg,BirthYear,Division,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Place,Event
Paul Hagen Schröder,M,Raw,80.8,83,2002,Sub-Juniors,162.5,170.0,177.5,177.5,82.5,87.5,95.0,95.0,-182.5,190.0,-200.0,190.0,462.5,1,SBD
Tim Blumberg,M,Raw,91.9,93,2001,Sub-Juniors,155.0,165.0,175.0,175.0,95.0,102.5,107.5,107.5,185.0,200.0,217.5,217.5,500.0,1,SBD
Jean Paul Heidkamp,M,Raw,94.0,105,2002,Sub-Juniors,180.0,190.0,-200.0,190.0,95.0,97.5,102.5,102.5,190.0,200.0,-207.5,200.0,492.5,1,SBD
Frederik Köster,M,Raw,102.2,105,2003,Sub-Juniors,115.0,122.5,130.0,130.0,110.0,115.0,120.0,120.0,165.0,175.0,185.0,185.0,435.0,2,SBD
Kevin Krumpf,M,Raw,104.4,105,2002,Sub-Juniors,155.0,167.5,177.5,177.5,87.5,95.0,-102.5,95.0,175.0,190.0,200.0,200.0,472.5,G,SBD
Susann-Marie Gola,F,Raw,61.6,63,2001,Sub-Juniors,110.0,115.0,120.0,120.0,60.0,65.0,67.5,67.5,145.0,160.0,-165.0,160.0,347.5,1,SBD
Helena Mariella Decker,F,Raw,58.1,63,2001,Sub-Juniors,105.0,110.0,115.0,115.0,57.5,62.5,65.0,65.0,105.0,112.5,115.0,115.0,295.0,2,SBD
Nicolai Rakowski,M,Raw,73.1,74,1999,Juniors,187.5,197.5,205.0,205.0,110.0,117.5,120.0,120.0,207.5,222.5,232.5,232.5,557.5,1,SBD
Timo Alexander Koll,M,Raw,73.4,74,2000,Juniors,160.0,170.0,175.0,175.0,105.0,110.0,115.0,115.0,190.0,210.0,225.0,225.0,515.0,2,SBD
Bedirhan Sarikaya,M,Raw,72.5,74,1999,Juniors,165.0,175.0,-185.0,175.0,102.5,110.0,-115.0,110.0,167.5,177.5,187.5,187.5,472.5,3,SBD
Phuc Thinh Nguyen,M,Raw,73.2,74,1996,Juniors,140.0,-145.0,145.0,145.0,100.0,105.0,107.5,107.5,190.0,200.0,-207.5,200.0,452.5,4,SBD
Patrick Sautner,M,Raw,74.0,74,2000,Juniors,150.0,160.0,165.0,165.0,80.0,90.0,-95.0,90.0,175.0,190.0,-200.0,190.0,445.0,5,SBD
Joseph Franke,M,Raw,70.6,74,1996,Juniors,122.5,130.0,137.5,137.5,92.5,97.5,102.5,102.5,155.0,162.5,175.0,175.0,415.0,6,SBD
Maxim Weigen,M,Raw,82.4,83,2000,Juniors,205.0,217.5,230.0,230.0,-107.5,115.0,-122.5,115.0,215.0,230.0,240.0,240.0,585.0,1,SBD
Semih Ugur,M,Raw,77.7,83,1996,Juniors,190.0,202.5,-210.0,202.5,122.5,132.5,137.5,137.5,215.0,235.0,-240.0,235.0,575.0,2,SBD
Jan-Philipp Rexing,M,Raw,82.0,83,1997,Juniors,195.0,202.5,-207.5,202.5,135.0,-142.5,-142.5,135.0,195.0,-202.5,202.5,202.5,540.0,3,SBD
Enno Heisler,M,Raw,82.2,83,1998,Juniors,190.0,-195.0,-195.0,190.0,-115.0,120.0,130.0,130.0,210.0,220.0,-230.0,220.0,540.0,4,SBD
Kevin Uts,M,Raw,82.6,83,1996,Juniors,150.0,162.5,175.0,175.0,100.0,107.5,112.5,112.5,185.0,200.0,207.5,207.5,495.0,5,SBD
Tim Niehenke,M,Raw,81.2,83,2000,Juniors,130.0,140.0,150.0,150.0,82.5,87.5,92.5,92.5,180.0,195.0,205.0,205.0,447.5,6,SBD
Nick Zimmermann,M,Raw,80.2,83,1999,Juniors,-120.0,120.0,130.0,130.0,-97.5,105.0,110.0,110.0,145.0,-152.5,152.5,152.5,392.5,7,SBD
Hannes Harhues,M,Raw,81.6,83,1999,Juniors,200.0,210.0,-215.0,210.0,105.0,110.0,115.0,115.0,210.0,225.0,-235.0,225.0,550.0,G,SBD
Stylianos Kyriakos Michail,M,Raw,90.9,93,1997,Juniors,215.0,225.0,235.5,235.5,-132.5,140.0,147.5,147.5,225.0,240.0,250.0,250.0,633.0,1,SBD
Felix Lange,M,Raw,83.9,93,1997,Juniors,180.0,195.0,-205.0,195.0,-140.0,150.0,-152.5,150.0,225.0,240.0,-255.0,240.0,585.0,2,SBD
Nicolas Weigel,M,Raw,92.3,93,1996,Juniors,180.0,-190.0,190.0,190.0,-130.0,135.0,-140.0,135.0,230.0,250.0,260.0,260.0,585.0,3,SBD
Philipp Hässig,M,Raw,84.3,93,1997,Juniors,177.5,187.5,195.0,195.0,117.5,122.5,127.5,127.5,205.0,217.5,227.5,227.5,550.0,4,SBD
Nick Scharnagl,M,Raw,84.6,93,1997,Juniors,170.0,180.0,-190.0,180.0,107.5,112.5,117.5,117.5,192.5,205.0,220.0,220.0,517.5,5,SBD
Eren Demirtas,M,Raw,84.8,93,1999,Juniors,-170.0,170.0,180.0,180.0,-115.0,-120.0,120.0,120.0,190.0,-200.0,200.0,200.0,500.0,6,SBD
Niclas Müller,M,Raw,84.6,93,1998,Juniors,162.5,-175.0,-180.0,162.5,95.0,100.0,-105.0,100.0,210.0,220.0,232.5,232.5,495.0,7,SBD
Max Wilhelm,M,Raw,88.0,93,1997,Juniors,142.5,155.0,162.5,162.5,107.5,112.5,117.5,117.5,175.0,190.0,200.0,200.0,480.0,8,SBD
Niklas Linnemann,M,Raw,99.0,105,1997,Juniors,190.0,220.0,-242.5,220.0,125.0,135.0,140.0,140.0,220.0,250.0,275.0,275.0,635.0,1,SBD
Malte Tilman Schäpermeier,M,Raw,98.4,105,2000,Juniors,212.5,-227.5,227.5,227.5,117.5,125.0,132.5,132.5,220.0,240.0,250.0,250.0,610.0,2,SBD
