Place,Name,Birthyear,Country,BodyweightKG,Squat1KG,Squat2KG,Squat3KG,Best3SquatKG,Bench1KG,Bench2KG,Bench3KG,Best3BenchKG,Deadlift1KG,Deadlift2KG,Deadlift3KG,Best3DeadliftKG,TotalKG,WeightclassKG,Division,Event,Sex,Equipment
1,Jie Yi Wu Chen,,Netherlands,45.60,65,70,75,70,37.5,40,42.5,40,77.5,85,90,90,200,47,Open,SBD,F,Raw
1,Christine Rebello,,Netherlands,51.74,95,100,102.5,102.5,55,60,62.5,62.5,122.5,127.5,132.5,127.5,292.5,52,Master 1,SBD,F,Raw
1,Aysun Cakmak,,Netherlands,54.20,100,102.5,102.5,102.5,60,62.5,65,65,142.5,145,150,150,317.5,57,Master 1,SBD,F,Raw
2,Linda Hofhuis,,Netherlands,54.15,80,85,90,90,50,52.5,52.5,50,105,112.5,120,112.5,252.5,57,Open,SBD,F,Raw
3,Emma de Boer,,Netherlands,55.87,85,90,92.5,90,42.5,45,47.5,45,110,110,115,115,250,57,Open,SBD,F,Raw
4,Yara Immers,,Netherlands,53.08,80,85,90,85,47.5,50,52.5,50,67.5,72.5,75,72.5,207.5,57,Juniors,SBD,F,Raw
1,Colette Haddon,,Netherlands,62.08,122.5,128,128,128,65,67.5,70,70,150,160,165,160,358,63,Master 1,SBD,F,Raw
2,De San Roman,,Netherlands,62.09,120,127.5,132.5,127.5,65,70,72.5,72.5,115,122.5,132.5,132.5,332.5,63,Open,SBD,F,Raw
3,Laura Hooijberg,,Netherlands,62.48,100,107.5,112.5,112.5,60,62.5,65,62.5,125,130,135,135,310,63,Open,SBD,F,Raw
4,Ina Koolhaas Revers,,Netherlands,60.29,80,85,87.5,85,55,57.5,57.5,55,120,125,127.5,127.5,267.5,63,Master 4,SBD,F,Raw
5,Charlotte Gerrits,,Netherlands,61.98,80,85,92.5,85,40,45,47.5,45,105,115,120,120,252.5,63,Open,SBD,F,Raw
1,Gwen Mostert,,Netherlands,70.18,137.5,145,150,145,82.5,87.5,90,90,165,165,175,175,410,72,Open,SBD,F,Raw
2,Yvonne Kortsmit,,Netherlands,69.33,105,110,115,115,72.5,75,80,75,115,125,135,125,315,72,Open,SBD,F,Raw
3,Tara Smit,,Netherlands,71.54,112.5,120,122.5,112.5,65,67.5,67.5,65,120,127.5,132.5,132.5,310,72,Juniors,SBD,F,Raw
4,Kim Schouten,,Netherlands,68.96,95,102.5,102.5,102.5,75,75,77.5,75,117.5,127.5,130,127.5,305,72,Open,SBD,F,Raw
5,Janine Wiessenberg,,Netherlands,70.25,100,105,107.5,107.5,50,55,57.5,55,110,117.5,117.5,117.5,280,72,Open,SBD,F,Raw
6,Tamara Jetten,,Netherlands,71.75,80,87.5,92.5,87.5,42.5,45,47.5,47.5,100,110,115,115,250,72,Open,SBD,F,Raw
7,Rosan Diks,,Netherlands,67.98,70,75,82.5,82.5,47.5,55,55,47.5,90,95,100,95,225,72,Juniors,SBD,F,Raw
1,Cher Naarden,,Netherlands,81.33,137.5,142.5,145,145,70,75,82.5,82.5,160,167.5,175,175,402.5,84,Open,SBD,F,Raw
2,Lidia Den Haan,,Netherlands,79.04,125,130,135,135,75,80,82.5,80,155,165,172.5,165,380,84,Master 1,SBD,F,Raw
3,Evie Bus,,Netherlands,83.18,122.5,127.5,132.5,132.5,60,65,67.5,67.5,140,147.5,152.5,152.5,352.5,84,Juniors,SBD,F,Raw
1,Barbara Claassen,,Netherlands,96.13,145,152.5,160,160,67.5,72.5,72.5,72.5,140,150,160,150,382.5,84+,Master 1,SBD,F,Raw
1,Dennis Abbink,,Netherlands,64.19,145,152.5,160,160,105,110,112.5,110,195,205,210,210,480,66,Open,SBD,M,Raw
2,Osman Uysal,,Netherlands,65.75,150,152.5,160,160,110,115,120,115,190,200,200,190,465,66,Juniors,SBD,M,Raw
3,Frank Calor,,Netherlands,61.98,70,0,0,70,110,120,130,120,50,0,0,50,240,66,Open,SBD,M,Raw
1,Dirk Bennenbroek,,Netherlands,71.54,180,190,200,200,105,110,115,115,180,190,190,180,495,74,Open,SBD,M,Raw
2,Robbert Lokhorst,,Netherlands,73.07,155,162.5,167.5,162.5,100,105,105,100,190,200,205,205,467.5,74,Open,SBD,M,Raw
3,Kenley Simons,,Netherlands,72.39,150,160,160,150,97.5,102.5,105,102.5,170,180,185,180,432.5,74,Juniors,SBD,M,Raw
4,Ben Epe,,Netherlands,73.60,125,135,142.5,142.5,97.5,106,106,97.5,170,183,191,183,423,74,Master 2,SBD,M,Raw
1,Damian Borzyszkowski,,Netherlands,81.93,180,185,202.5,202.5,130,137.5,142.5,137.5,220,235,245,245,585,83,Open,SBD,M,Raw
2,Denzil Vreugd,,Netherlands,75.71,180,190,196,196,120,125,130,130,210,220,222.5,220,546,83,Master 1,SBD,M,Raw
3,Wouter van As,,Netherlands,80.18,170,180,190,180,125,130,135,135,220,230,240,230,545,83,Open,SBD,M,Raw
4,Yves du Long,,Netherlands,81.68,175,185,195,195,107.5,112.5,117.5,117.5,220,232.5,232.5,220,532.5,83,Juniors,SBD,M,Raw
5,Mike Beelen,,Netherlands,81.8,175,190,200,200,95,105,0,105,215,225,240,225,530,83,Open,SBD,M,Raw
6,Barry Faas,,Netherlands,81.72,185,185,197.5,197.5,92.5,97.5,100,97.5,212.5,225,232.5,232.5,527.5,83,Master 1,SBD,M,Raw
7,Max Wouters,,Netherlands,80.60,175,182.5,190,190,120,127.5,130,127.5,200,210,0,200,517.5,83,Juniors,SBD,M,Raw
8,Stijn Stoffels,,Netherlands,81.03,180,190,190,180,105,112.5,117.5,117.5,210,220,225,220,517.5,83,Juniors,SBD,M,Raw
9,Li Hu,,Netherlands,82.46,165,175,185,185,92.5,97.5,97.5,92.5,180,200,210,200,477.5,83,Juniors,SBD,M,Raw
,Pascal Kiers,,Netherlands,79.03,190,200,210,210,102.5,110,110,102.5,0,0,0,,0,83,Juniors,SBD,M,Raw
,Brantley Wongsosemito,,Netherlands,82.10,180,182.5,185,182.5,0,0,0,,0,0,0,,0,83,Open,SBD,M,Raw
1,Emiel Fincken,,Netherlands,92.00,190,202.5,212.5,212.5,140,155,160,155,240,255,260,260,627.5,93,Open,SBD,M,Raw
2,Erwin Nys,,Netherlands,91.24,205,210,210,210,135,145,145,145,240,260,272.5,260,615,93,Open,SBD,M,Raw
3,Noud Beelen,,Netherlands,90.35,180,190,200,200,120,125,130,130,230,240,250,240,570,93,Open,SBD,M,Raw
4,Casper Vaes,,Netherlands,89.89,185,195,195,195,122.5,127.5,132.5,132.5,210,220,230,230,557.5,93,Open,SBD,M,Raw
5,Jennerino Bleekman,,Netherlands,90.11,190,200,200,190,130,135,140,135,200,210,230,210,535,93,Open,SBD,M,Raw
6,Guus Alberts,,Netherlands,92.74,180,190,195,195,112.5,120,125,125,200,207.5,212.5,212.5,532.5,93,Open,SBD,M,Raw
7,Remco Kwint,,Netherlands,92.37,180,190,200,200,105,110,112.5,112.5,190,205,212.5,205,517.5,93,Open,SBD,M,Raw
8,Freek Looijen,,Netherlands,85.34,185,195,0,195,100,100,105,100,220,230,230,220,515,93,Open,SBD,M,Raw
9,Frans Verstege,,Netherlands,87.78,150,157.5,167.5,167.5,97.5,105,110,105,195,205,205,205,477.5,93,Open,SBD,M,Raw
10,Harold Paul,,Netherlands,85.5,160,170,180,170,110,117.5,120,110,180,200,200,180,460,93,Master 1,SBD,M,Raw
11,Sam Heerkens,,Netherlands,85.00,155,165,165,155,90,95,95,90,195,205,205,195,440,93,Sub-Juniors,SBD,M,Raw
12,Andre Sturm,,Netherlands,90.78,135,145,152.5,145,100,102.5,105,105,190,200,200,190,440,93,Open,SBD,M,Raw
13,Vince Schreuder,,Netherlands,88.36,150,157.5,157.5,150,100,105,105,105,165,175,180,180,435,93,Sub-Juniors,SBD,M,Raw
14,Mart Siemerink,,Netherlands,88.88,95,105,112.5,112.5,72.5,75,75,72.5,130,140,155,140,325,93,Juniors,SBD,M,Raw
1,Maic Tijssen,,Netherlands,102.49,215,220,222.5,220,150,157.5,160,157.5,240,250,260,260,637.5,105,Open,SBD,M,Raw
2,Robin Bosch,,Netherlands,103.71,210,220,227.5,227.5,155,160,165,165,230,240,245,245,637.5,105,Open,SBD,M,Raw
3,Coen de Heer,,Netherlands,103.76,200,210,215,215,135,145,150,145,245,257.5,265,265,625,105,Juniors,SBD,M,Raw
4,Andy Sewgobind,,Netherlands,103.76,195,205,210,210,130,130,140,140,220,240,250,250,600,105,Open,SBD,M,Raw
5,Thijs Bongers,,Netherlands,96.22,190,200,210,210,122.5,130,132.5,132.5,220,235,240,235,577.5,105,Open,SBD,M,Raw
6,Floris Weij,,Netherlands,97.05,200,210,215,215,125,132.5,135,132.5,215,220,230,230,577.5,105,Open,SBD,M,Raw
7,Nout van den Bos,,Netherlands,101.58,185,195,205,205,135,142.5,147.5,142.5,210,220,227.5,227.5,575,105,Juniors,SBD,M,Raw
8,Roy Kreuger,,Netherlands,103.92,205,217.5,225,225,120,127.5,127.5,120,225,240,240,225,570,105,Open,SBD,M,Raw
1,Michael Flierman,,Netherlands,110.47,210,225,235,235,140,150,157.5,150,210,225,240,240,625,120,Open,SBD,M,Raw
2,Huub Hetterschijt,,Netherlands,119.45,175,0,0,175,175,0,0,175,175,0,0,175,525,120,Master 1,SBD,M,Raw
1,Harry Seriese,,Netherlands,124.29,230,240,250,250,160,165,170,165,230,245,252.5,252.5,667.5,120+,Master 2,SBD,M,Raw
2,Bob Tillemans,,Netherlands,132.72,195,205,215,205,117.5,125,127.5,125,250,262.5,275,262.5,592.5,120+,Juniors,SBD,M,Raw
3,Wim Wamsteeker,,Netherlands,128.79,195,207.5,212.5,212.5,120,125,127.5,127.5,220,235,242.5,242.5,582.5,120+,Master 1,SBD,M,Raw
