Name,Team,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Place,Sex,AgeClass,Equipment,Event
Lenka Pilnikova,NW,F-O-U,46.5,47,95,-97.5,100,100,67.5,70.5,72.5,72.5,130,135,138,138,310.5,1,F,23.5-38.5,Raw,SBD
Michelle Ryder,GL,F-M1-U,43.8,47,60,65,70,70,40,-45,45,45,110,-115,115,115,230,1,F,39.5-48.5,Raw,SBD
Imelda Flanagan,EM,F-M2-U,40.6,47,67.5,72.5,75,75,35,37.5,40,40,100,105,107.5,107.5,222.5,1,F,49.5-58.5,Raw,SBD
Jamie Lei Fuller,SW,F-SJ-U,51.6,52,95,100.5,105,105,55,60.5,-65,60.5,112.5,-117.5,-123,112.5,278,1,F,0-17.5,Raw,SBD
Tiarna Pearce,GL,F-J-U,51.9,52,117.5,122.5,125,125,52.5,55,57.5,57.5,130,140,150,150,332.5,1,F,0-22.5,Raw,SBD
Alex Bates,EM,F-O-U,51.6,52,112.5,117.5,-122.5,117.5,62.5,67.5,70,70,117.5,125,-130,125,312.5,1,F,23.5-38.5,Raw,SBD
Natalie Banks,NW,F-O-U,50.9,52,90,92.5,-95,92.5,60,-62.5,62.5,62.5,140,145,,145,300,2,F,23.5-38.5,Raw,SBD
Tania Robins,NW,F-O-U,50.4,52,95,100,102.5,102.5,-50,50,-55,50,127.5,135,-142.5,135,287.5,3,F,23.5-38.5,Raw,SBD
Rei Townsend,SM,F-O-U,50.8,52,-85,87.5,92.5,92.5,52.5,-55,55,55,-120,122.5,130,130,277.5,4,F,23.5-38.5,Raw,SBD
Sofia Rufus,SW,F-M1-U,51.4,52,-112.5,117.5,121,121,52.5,-57.5,-57.5,52.5,112.5,122.5,-130,122.5,296,1,F,39.5-48.5,Raw,SBD
Amanda Winter,SW,F-M1-U,49.3,52,77.5,85,90,90,50,55,60,60,100,107.5,112.5,112.5,262.5,2,F,39.5-48.5,Raw,SBD
Stacie Jones,YNE,F-J-U,56.8,57,-130,-135,135,135,65,70,72.5,72.5,135,145,150,150,357.5,1,F,0-22.5,Raw,SBD
Sabrina Rew,SW,F-J-U,56.2,57,120,127.5,132.5,132.5,65,70,72.5,72.5,135,142.5,-155,142.5,347.5,2,F,0-22.5,Raw,SBD
Joely Hawke,GL,F-J-U,55.9,57,110,115,120,120,65,67.5,70,70,132.5,140,145,145,335,3,F,0-22.5,Raw,SBD
Ruth Saliu,GBR,F-J-U,54.7,57,97.5,102.5,107.5,107.5,60,62.5,-65,62.5,137.5,145,152.5,152.5,322.5,4,F,0-22.5,Raw,SBD
Lydia Forrest,SE,F-J-U,55.6,57,107.5,112.5,-117.5,112.5,60,62.5,-65,62.5,125,130,135,135,310,5,F,0-22.5,Raw,SBD
Moya Williams,GL,F-O-U,56.8,57,120,125,127.5,127.5,60,65,70,70,190,200,203.5,203.5,401,1,F,23.5-38.5,Raw,SBD
Jodie Cook,WM,F-O-U,56.8,57,127.5,135,-140,135,80,-85,85,85,160,172.5,180,180,400,2,F,23.5-38.5,Raw,SBD
Makeda Vidal,GL,F-O-U,55.8,57,147.5,155,-160,155,65,-70,-70,65,165,-175,175,175,395,3,F,23.5-38.5,Raw,SBD
Catherine Smith,WM,F-O-U,53.9,57,125,135,140,140,55,-60,60,60,167.5,182.5,-195,182.5,382.5,4,F,23.5-38.5,Raw,SBD
Sonia Fierro,GL,F-O-U,56.3,57,120,125,127.5,127.5,62.5,-67.5,-67.5,62.5,160,170,180,180,370,5,F,23.5-38.5,Raw,SBD
Claire Burns,NM,F-O-U,56.5,57,107.5,112.5,117.5,117.5,70,72.5,75,75,150,157.5,-160,157.5,350,6,F,23.5-38.5,Raw,SBD
Emily Przeslak,GL,F-O-U,56.8,57,110,115,117.5,117.5,60,65,67.5,67.5,135,142.5,147.5,147.5,332.5,7,F,23.5-38.5,Raw,SBD
Jessica Terry,YNE,F-O-U,55.7,57,100,107.5,-110,107.5,57.5,60,62.5,62.5,137.5,145,152.5,152.5,322.5,8,F,23.5-38.5,Raw,SBD
Suzana Sorokova,GL,F-O-U,55.3,57,100,107.5,110,110,55,60,-65,60,125,135,-145,135,305,9,F,23.5-38.5,Raw,SBD
Debbie Bell,GL,F-O-U,55.1,57,100,105,-107.5,105,55,57.5,-60,57.5,132.5,140,-145,140,302.5,10,F,23.5-38.5,Raw,SBD
Anastasia Harmer,GL,F-O-U,56.4,57,87.5,95,100,100,57.5,-62.5,62.5,62.5,125,132.5,140,140,302.5,11,F,23.5-38.5,Raw,SBD
Navta Massand,WM,F-O-U,56,57,102.5,110,115,115,42.5,47.5,50,50,127.5,135,-142.5,135,300,12,F,23.5-38.5,Raw,SBD
Bryony Farlow,WM,F-O-U,56.3,57,102.5,110,-112.5,110,40,45,47.5,47.5,117.5,125,-130,125,282.5,13,F,23.5-38.5,Raw,SBD
Anoula Rayburn,GL,F-O-U,56,57,90,97.5,102.5,102.5,55,60,-62.5,60,100,110,115,115,277.5,14,F,23.5-38.5,Raw,SBD
Felicity Sadler,EM,F-O-U,55.9,57,95,-102.5,-102.5,95,50,55,57.5,57.5,105,112.5,117.5,117.5,270,15,F,23.5-38.5,Raw,SBD
Melissa Henderson,YNE,F-O-U,55.5,57,77.5,82.5,-87.5,82.5,-50,52.5,-57.5,52.5,125,-132.5,-132.5,125,260,16,F,23.5-38.5,Raw,SBD
Tamar Aliphon,SM,F-O-U,54.3,57,80,85,90,90,42.5,-45,-45,42.5,105,115,120,120,252.5,17,F,23.5-38.5,Raw,SBD
Donna Bradbury,NW,F-M1-U,55.2,57,-125,125,127.5,127.5,60,65,67.5,67.5,142.5,150,-155,150,345,1,F,39.5-48.5,Raw,SBD
Emma Drackford,SM,F-M1-U,56.2,57,115,120,125.5,125.5,52.5,57.5,-60,57.5,117.5,122.5,127.5,127.5,310.5,2,F,39.5-48.5,Raw,SBD
Karenjeet Bains,WM,F-J-U,62.4,63,130,-135,,130,75,80,-82.5,80,152.5,-160,,152.5,362.5,1,F,0-22.5,Raw,SBD
Mollie Thorpe,SW,F-J-U,60.2,63,117.5,125,132.5,132.5,60,67.5,-70,67.5,125,135,142.5,142.5,342.5,2,F,0-22.5,Raw,SBD
Lizzie Hawkins,WM,F-J-U,61,63,107.5,115,120,120,55,60,-62.5,60,125,132.5,140,140,320,3,F,0-22.5,Raw,SBD
Tamsin Ribton-Turner,SM,F-J-U,60.3,63,100,107.5,115,115,55,60,62.5,62.5,110,120,127.5,127.5,305,4,F,0-22.5,Raw,SBD
Luisa Vargas,GL,F-J-U,62.2,63,102.5,107.5,110,110,57.5,60,-62.5,60,120,130,135,135,305,5,F,0-22.5,Raw,SBD
Fern Wilson,NM,F-J-U,62.1,63,90,97.5,-102.5,97.5,55,57.5,-60,57.5,100,107.5,112.5,112.5,267.5,6,F,0-22.5,Raw,SBD
Moa Wikner,GL,F-O-U,62.4,63,145,-150,-150,145,87.5,90,-92.5,90,172.5,182.5,-187.5,182.5,417.5,1,F,23.5-38.5,Raw,SBD
