Name,BirthDate,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Place,Sex,Equipment,Event
Fahmid Ahmed,,MR-Jr,63.40,66,125.0,132.5,140.0,140.0,70.0,75.0,-80.0,75.0,135.0,145.0,-150.0,145.0,360.0,15,M,Raw,SBD
Isaac Somers,,MR-Jr,73.60,74,135.0,142.5,147.5,147.5,-137.5,137.5,-142.5,137.5,140.0,150.0,157.5,157.5,442.5,12,M,Raw,SBD
William Sewell,,MR-Jr,73.30,74,140.0,155.0,162.5,162.5,-107.5,112.5,117.5,117.5,155.0,165.0,175.0,175.0,455.0,9,M,Raw,SBD
Blake Davies,,MR-Jr,63.60,66,130.0,137.5,145.0,145.0,92.5,97.5,102.5,102.5,175.0,185.0,195.0,195.0,442.5,6,M,Raw,SBD
Jerry George,,MR-Jr,63.80,66,155.0,165.0,172.5,172.5,105.0,-110.0,110.0,110.0,180.0,190.0,-200.0,190.0,472.5,3,M,Raw,SBD
Gabriel Machin,,MR-Jr,70.20,74,160.0,170.0,180.0,180.0,105.0,-110.0,115.0,115.0,185.0,192.5,200.0,200.0,495.0,5,M,Raw,SBD
Benn Harrison,,MR-Jr,73.50,74,145.0,152.5,157.5,157.5,-87.5,87.5,-90.0,87.5,187.5,195.0,200.0,200.0,445.0,10,M,Raw,SBD
Guy Harris,,MR-Sj,72.60,74,145.0,155.0,165.0,165.0,92.5,100.0,105.0,105.0,185.0,195.0,-205.0,195.0,465.0,2,M,Raw,SBD
Mete Cheung,,MR-Jr,73.00,74,175.0,185.0,192.5,192.5,115.0,120.0,-125.0,120.0,200.0,210.0,220.0,220.0,532.5,1,M,Raw,SBD
Alex Hiew,,MR-Sj,72.60,74,165.0,172.5,180.0,180.0,100.0,107.5,-112.5,107.5,205.0,217.5,225.0,225.0,512.5,1,M,Raw,SBD
Matt Smith,,MR-O,64.90,66,160.0,170.0,177.5,177.5,105.0,110.0,112.5,112.5,220.0,232.5,240.0,240.0,530.0,1,M,Raw,SBD
Gareth Vaughan,,MR-M3,58.20,59,95.0,105.0,,105.0,67.5,70.0,-72.5,70.0,140.0,152.5,,152.5,327.5,1,M,Raw,SBD
Ross Page,,MR-Sj,72.80,74,,,,,-95.0,-102.5,102.5,102.5,,,,,102.5,1,M,Raw,B
Amit Balhotra,,MR-Jr,71.80,74,,,,,100.0,-110.0,-110.0,100.0,,,,,100.0,2,M,Raw,B
