18/08/2019 Bristol Championships
Name

Name,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Bench1Kg,Bench2Kg,Bench3Kg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,TotalKg
Max Taberham,MR-O,103.60,105,237.5,250.0,260.0,162.5,170.0,175.0,265.0,-282.5,282.5,717.5
Charles Fajemisin,MR-O,102.60,105,230.0,240.0,250.0,130.0,140.0,150.0,260.0,280.0,-300.0,680.0
Giorgio Hlad,MR-O,70.50,74,180.0,200.0,205.0,125.0,-132.5,132.5,180.0,200.0,205.0,542.5
Jack Hopkins,MR-O,81.80,83,187.5,195.0,205.0,125.0,135.0,140.0,230.0,240.0,-247.5,585.0
Ryan Edwards,MR-O,83.00,83,180.0,190.0,-195.0,125.0,135.0,-140.0,240.0,-250.0,-250.0,565.0
Ryan Kibble,MR-O,104.10,105,-190.0,200.0,210.0,160.0,165.0,-170.0,260.0,-270.0,-270.0,635.0
James Churchill,MR-O,90.60,93,190.0,215.0,-220.0,135.0,140.0,142.5,190.0,215.0,220.0,577.5
Joel Clarke,MR-O,92.70,93,185.0,197.5,205.0,130.0,140.0,145.0,205.0,220.0,230.0,580.0
David Ward,MR-O,93.00,93,190.0,200.0,-205.0,120.0,125.0,130.0,220.0,235.0,250.0,580.0
Jake Speller,MR-O,118.80,120,240.0,260.0,0.0,150.0,160.0,-165.0,220.0,240.0,0.0,660.0
Joshua Owen,MR-O,82.80,83,180.0,190.0,195.0,105.0,110.0,-112.5,210.0,220.0,230.0,535.0
James Isaacs,MR-O,92.60,93,180.0,187.5,195.0,130.0,137.5,142.5,215.0,227.5,-237.5,565.0
Jose Arias Morales,MR-O,80.30,83,160.0,165.0,170.0,130.0,135.0,137.5,200.0,210.0,-212.5,517.5
Mike Gill,MR-O,101.20,105,180.0,202.5,210.0,115.0,132.5,-140.0,205.0,220.0,235.0,577.5
Ryan Sharvell-Smith,MR-O,97.20,105,-190.0,195.0,202.5,110.0,120.0,-122.5,210.0,225.0,230.0,552.5
Jon Jordan,MR-O,105.00,105,180.0,-200.0,202.5,90.0,100.0,-110.0,220.0,240.0,250.0,552.5
James Matthews,MR-O,132.60,120+,190.0,200.0,210.0,140.0,150.0,-155.0,240.0,250.0,-260.0,610.0
Paul Richards,MR-O,65.50,66,140.0,145.0,-150.0,100.0,105.0,107.5,150.0,0.0,0.0,402.5
Will Smart,MR-O,76.00,83,140.0,150.0,-160.0,97.5,105.0,-107.5,175.0,182.5,-187.5,437.5
Morgan Omerood,MR-O,92.50,93,150.0,162.5,-170.0,110.0,120.0,125.0,180.0,200.0,-212.5,487.5
Bradley Gosling,MR-O,126.70,120+,180.0,190.0,200.0,100.0,105.0,-110.0,230.0,240.0,-245.0,545.0
Oliver Adams-Liggins,MR-O,68.50,74,100.0,-110.0,120.0,85.0,95.0,100.0,140.0,150.0,160.0,380.0
Afnaan Qasim,MR-O,72.60,74,120.0,127.5,135.0,67.5,75.0,80.0,150.0,160.0,170.0,385.0
