Name,BirthDate,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Bench1Kg,Bench2Kg,Bench3Kg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,TotalKg
Leoni Tatman,,FR-O,48.00,52,120.0,127.5,132.5,80.0,85.0,87.5,130.0,137.5,140.0,360.0
Indiana Montaque,,FR-O,70.70,72,122.5,132.5,135.0,67.5,72.5,75.0,180.0,-191.0,191.0,401.0
Lauren Beet,,FR-O,62.70,63,110.0,120.0,130.0,80.0,85.0,90.0,130.0,150.0,-160.0,370.0
Laura Simkins,,FR-O,61.10,63,100.0,110.0,-120.0,50.0,55.0,-62.5,155.0,167.5,-180.0,332.5
Jana Morris,,FR-O,68.40,72,-120.0,120.0,0.0,70.0,75.0,-80.0,140.0,150.0,0.0,345.0
Laura Statham,,FR-O,63.00,63,-112.5,-112.5,112.5,62.5,67.5,70.0,130.0,140.0,150.0,332.5
Maddie Razoare,,FR-O,59.50,63,87.5,92.5,97.5,57.5,60.0,-62.5,130.0,142.5,150.0,307.5
Sophie Hills,,FR-O,62.10,63,105.0,112.5,-117.5,-62.5,62.5,67.5,105.0,115.0,120.0,300.0
Leigah Hollamby,,FR-O,68.30,72,97.5,102.5,107.5,60.0,65.0,70.0,120.0,130.0,-135.0,307.5
Hannah Beard,,FR-O,76.30,84,122.5,130.0,0.0,55.0,-60.0,-60.0,130.0,-140.0,-140.0,315.0
Emma Cowlishaw,,FR-O,71.10,72,-110.0,-110.0,110.0,60.0,62.5,-65.0,120.0,122.5,125.0,297.5
Amy Cobb,,FR-O,65.20,72,80.0,90.0,95.0,47.5,52.5,-55.0,110.0,120.0,130.0,277.5
Jayne Caudwell,,FR-O,56.50,57,82.5,85.0,87.5,52.5,55.0,-57.5,100.0,105.0,-107.5,247.5
Ying Duan,,FR-O,57.40,63,72.5,80.0,82.5,42.5,47.5,50.0,95.0,105.0,-110.0,237.5
Melania Fodritto,,FR-O,51.70,52,70.0,75.0,80.0,40.0,42.5,45.0,100.0,-105.0,-105.0,225.0
Chloe Thomas,,FR-O,65.80,72,97.5,102.5,107.5,37.5,42.5,45.0,90.0,-95.0,95.0,247.5
Olivia Bartlett,,FR-O,57.80,63,-80.0,80.0,85.0,35.0,40.0,-42.5,100.0,105.0,107.5,232.5
Rae Calvert,,FR-O,110.00,84+,-100.0,107.5,0.0,55.0,60.0,-65.0,115.0,120.0,125.0,292.5
Georgina Webb,,FR-O,71.90,72,80.0,-85.0,85.0,55.0,60.0,-65.0,90.0,95.0,100.0,245.0
Denise Westbrook,,FR-O,71.30,72,70.0,75.0,77.5,37.5,42.5,45.0,95.0,102.5,-105.0,225.0
Megan Hill,,FR-O,68.90,72,50.0,-60.0,60.0,30.0,35.0,-40.0,85.0,95.0,-100.0,190.0
Yanou Athineos,,FR-O,61.30,63,-97.5,-97.5,-97.5,50.0,52.5,-57.5,112.5,117.5,122.5,0.0
