Place,Name,BirthYear,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,WeightClassKg,Division,Event,Sex,Equipment
1,Krut Kirill,1991,58.26,225,237.5,245,245,150,157.5,162.5,162.5,215,225,247.5,247.5,655,59,Open,SBD,M,Single-ply
2,Wszola Dariusz,1978,58.87,240,250,257.5,257.5,170,175,180,180,210,217.5,-222.5,217.5,655,59,Open,SBD,M,Single-ply
3,Osmialowski Pawel,1977,58.87,200,210,220,220,120,130,-140,130,190,-205,205,205,555,59,Open,SBD,M,Single-ply
4,Raica Radu,1986,58.51,100,115,125,125,95,-100,-100,95,125,140,,140,360,59,Open,SBD,M,Single-ply
1,Danilov Konstantin,1986,65.71,285,300,310,310,182.5,187.5,190,190,257.5,-267.5,270,270,770,66,Open,SBD,M,Single-ply
2,Grotkowski Mariusz,1989,65.91,270,280,285,285,210,217.5,220.5,220.5,250,260,262.5,262.5,768,66,Open,SBD,M,Single-ply
3,El Belghiti Hassan,1975,65.75,275,-292.5,-295,275,162.5,-167.5,-167.5,162.5,285,295,,295,732.5,66,Open,SBD,M,Single-ply
4,Pisasale Salvatore,1980,65.58,255,265,272.5,272.5,187.5,195,200,200,220,230,-240,230,702.5,66,Open,SBD,M,Single-ply
5,Signani Nicola,1981,65.1,215,-225,225,225,-180,-180,180,180,222.5,230,235,235,640,66,Open,SBD,M,Single-ply
6,Ruso Karel,1965,65.91,210,222.5,232.5,232.5,85,90,92.5,92.5,200,215,220,220,545,66,Open,SBD,M,Single-ply
1,Gaishinetc Sergei,1986,73.27,315,330,,330,200,210,215,215,310,325,-330,325,870,74,Open,SBD,M,Single-ply
2,Barannik Mykola,1989,73.99,310,-320,-320,310,220,230,-245.5,230,265,275,-285,275,815,74,Open,SBD,M,Single-ply
3,Kolomiiets Vitalii,1992,73.63,280,290,300,300,175,-180,180,180,292.5,302.5,-328,302.5,782.5,74,Open,SBD,M,Single-ply
4,Mastrolorenzo Antony,1982,73.71,280,-295,295,295,205,212.5,-215,212.5,245,252.5,260,260,767.5,74,Open,SBD,M,Single-ply
5,Murray William,1981,72.58,225,-235,235,235,155,162.5,-170,162.5,215,222.5,-227.5,222.5,620,74,Open,SBD,M,Single-ply
DQ,Kailey Pardeep,1983,73.59,262.5,272.5,277.5,277.5,-175,-175,-175,,270,275,285,285,,74,Open,SBD,M,Single-ply
1,Sorokin Aleey,1985,82.71,350,370,-377.5,370,232.5,237.5,242.5,242.5,295,305,317.5,317.5,930,83,Open,SBD,M,Single-ply
2,Vasiukov Evgenii,1985,82.89,320,330,340,340,250,260,268,268,275,285,297.5,297.5,905.5,83,Open,SBD,M,Single-ply
3,Roelvaag Kim-Raino,1986,80.25,315,322.5,330,330,250,255,260,260,275,280,-287.5,280,870,83,Open,SBD,M,Single-ply
4,Lochschmidt Ma,1983,82.85,300,-310,320,320,210,217.5,-225,217.5,285,295,302.5,302.5,840,83,Open,SBD,M,Single-ply
5,Korol Ivan,1993,82.2,325,340,-350,340,210,220,225,225,260,270,-280,270,835,83,Open,SBD,M,Single-ply
6,Samoilov Maksym,1994,81.88,310,330,342.5,342.5,210,-220,-225,210,272.5,-285,-285,272.5,825,83,Open,SBD,M,Single-ply
7,Carniel Simone,1990,82.21,305,317.5,-325,317.5,190,-197.5,197.5,197.5,280,295,300,300,815,83,Open,SBD,M,Single-ply
8,Iversen Danni,1987,82.34,285,297.5,302.5,302.5,175,185,-190,185,240,257.5,-272.5,257.5,745,83,Open,SBD,M,Single-ply
9,Irimie Andrei Nicolae,1990,82.37,220,242.5,,242.5,250,260,-266,260,200,,,200,702.5,83,Open,SBD,M,Single-ply
DQ,Vanhee Emmerik,1990,80.33,255,265,270,270,-200,-200,-200,,225,240,250,250,,83,Open,SBD,M,Single-ply
DQ,Cheema Jasvinder Singh,1974,82.2,-230,-230,-230,,185,192.5,197.5,197.5,-215,215,225,225,,83,Open,SBD,M,Single-ply
1,Silbaum Margus,1976,92.31,335,-345,,335,-225,225,-230,225,325,330,-345,330,890,93,Open,SBD,M,Single-ply
2,Fransson Henrik,1991,92.32,312.5,322.5,327.5,327.5,240,250,257.5,257.5,292.5,305,-310,305,890,93,Open,SBD,M,Single-ply
3,Huber Aleander,1990,92.59,-330,330,-340,330,245,252.5,260,260,285,-295,-295,285,875,93,Open,SBD,M,Single-ply
4,Nielsen Nicki Lentz,1992,92.93,337.5,347.5,355,355,207.5,217.5,222.5,222.5,265,280,-300,280,857.5,93,Open,SBD,M,Single-ply
5,Lysvand Julian,1991,92.16,307.5,-317.5,-317.5,307.5,227.5,-232.5,232.5,232.5,290,302.5,-307.5,302.5,842.5,93,Open,SBD,M,Single-ply
6,Schweda Philipp,1992,92.4,310,320,325,325,-232.5,232.5,-240,232.5,260,-270,-270,260,817.5,93,Open,SBD,M,Single-ply
7,Rollo Riccardo,1986,92.61,300,-312.5,-315,300,205,210,-220,210,292.5,307.5,-312.5,307.5,817.5,93,Open,SBD,M,Single-ply
8,Panazan Ovidiu,1975,85,200,-220,,200,227.5,235,240,240,200,240,,240,680,93,Open,SBD,M,Single-ply
9,Watson Matt,1991,90.95,245,-260,260,260,170,180,187.5,187.5,230,-242.5,-242.5,230,677.5,93,Open,SBD,M,Single-ply
1,Mashintcov Sergey,1987,99.19,350,370,385,385,260,270,275,275,330,347.5,355,355,1015,105,Open,SBD,M,Single-ply
2,Belkesir Sofiane,1984,104.8,372.5,385,-392.5,385,265,-272.5,-272.5,265,335,345,360,360,1010,105,Open,SBD,M,Single-ply
3,Walgermo Stian,1988,104.71,-382.5,-382.5,382.5,382.5,-285,285,290,290,320,335,-340,335,1007.5,105,Open,SBD,M,Single-ply
4,Leskovets Viktor,1990,104.46,375,390,400,400,300,-315,-315,300,290,-302.5,-302.5,290,990,105,Open,SBD,M,Single-ply
5,Eikeland Kristoffer,1989,104.71,350,-357.5,357.5,357.5,287.5,292.5,-300,292.5,327.5,335,-345,335,985,105,Open,SBD,M,Single-ply
6,Gunhamn Erik,1992,100.39,340,-352.5,-355,340,222.5,-230,230,230,340,360,-388,360,930,105,Open,SBD,M,Single-ply
7,Bowring Dean,1974,103.93,330,345,-352.5,345,225,235,240,240,305,325,,325,910,105,Open,SBD,M,Single-ply
8,Maatta Tomi,1982,104.81,345,-355,-355,345,-245,245,255,255,-290,290,302.5,302.5,902.5,105,Open,SBD,M,Single-ply
9,Glueck Markus,1990,104.27,315,325,335,335,240,-272.5,-272.5,240,280,295,-307.5,295,870,105,Open,SBD,M,Single-ply
10,Kaindl Sebastian,1982,103.93,-320,-325,325,325,215,222.5,230,230,285,300,-310,300,855,105,Open,SBD,M,Single-ply
DQ,Lange Martin,1987,104.8,-350,-350,-360,,,,,,,,,,,105,Open,SBD,M,Single-ply
