
EUROPEAN POWERLIFTING FEDERATION
European Men's Championships, Malaga (Spain), 08-14.05.2017
DETAILED SCORESHEET
PL.	   Lifters	BY	Team	Weight	WF	Lot	All Squat	All Bench Press	All Deadlift	TOTAL	W.pts.	Pts.
Open
 -59kg
1.	Krut Kirill	1991	RUS	58,26	0,8765	3	225,0	237,5	245,0	2	150,0	157,5	162,5	2	215,0	225,0	247,5	1	655,0	574,11	12
2.	Wszola Dariusz	1978	POL	58,87	0,8680	1	240,0	250,0	257,5	1	170,0	175,0	180,0	1	210,0	217,5	222,5	2	655,0	568,54	9
3.	Osmialowski Pawel	1977	POL	58,87	0,8680	4	200,0	210,0	220,0	3	120,0	130,0	140,0	3	190,0	205,0	205,0	3	555,0	481,74	8
4.	Raica Radu	1986	ROU	58,51	0,8729	2	100,0	115,0	125,0	4	95,0	100,0	100,0	4	125,0	140,0	   X	4	360,0	314,24	7
 -66kg
1.	Danilov Konstantin	1986	RUS	65,71	0,7881	5	285,0	300,0	310,0	1	182,5	187,5	190,0	3	257,5	267,5	270,0	2	770,0	606,84	12
2.	Grotkowski Mariusz	1989	POL	65,91	0,7861	7	270,0	280,0	285,0	2	210,0	217,5-c	220,5-w	1	250,0	260,0	262,5	3	768,0	603,73	  9*
3.	El Belghiti Hassan	1975	FRA	65,75	0,7877	8	275,0	292,5	295,0	3	162,5	167,5	167,5	5	285,0	295,0	   X	1	732,5	576,99	8
4.	Pisasale Salvatore	1980	ITA	65,58	0,7893	10	255,0	265,0	272,5	4	187,5	195,0	200,0	2	220,0	230,0	240,0	5	702,5	554,48	7
5.	Signani Nicola	1981	ITA	65,10	0,7942	9	215,0	225,0	225,0	6	180,0	180,0	180,0	4	222,5	230,0	235,0	4	640,0	508,29	6
6.	Ruso Karel	1965	CZE	65,91	0,7861	6	210,0	222,5	232,5	5	85,0	90,0	92,5	6	200,0	215,0	220,0	6	545,0	428,43	5
 -74kg
1.	Gaishinetc Sergei	1986	RUS	73,27	0,7244	6	315,0	330,0	   X	1	200,0	210,0	215,0	2	310,0	325,0	330,0	1	870,0	630,23	12
2.	Barannik Mykola	1989	UKR	73,99	0,7194	1	310,0	320,0	320,0	2	220,0	230,0	245,5	1	265,0	275,0	285,0	4	815,0	586,31	9
3.	Kolomiiets Vitalii	1992	UKR	73,63	0,7219	2	280,0	290,0	300,0	3	175,0	180,0	180,0	4	292,5	302,5	328,0	2	782,5	564,89	8
4.	Mastrolorenzo Antony	1982	FRA	73,71	0,7213	4	280,0	295,0	295,0	4	205,0	212,5	215,0	3	245,0	252,5	260,0	5	767,5	553,60	7
5.	Murray William	1981	GBR	72,58	0,7294	3	225,0	235,0	235,0	6	155,0	162,5	170,0	5	215,0	222,5	227,5	6	620,0	452,23	6
—	Kailey Pardeep	1983	NED	73,59	0,7222	5	262,5	272,5	277,5	5	175,0	175,0	175,0	—	270,0	275,0	285,0	3	DSQ	—	—
 -83kg
1.	Sorokin Alexey	1985	RUS	82,71	0,6689	8	350,0	370,0	377,5	1	232,5	237,5	242,5	4	295,0	305,0	317,5	1	930,0	622,08	12
2.	Vasiukov Evgenii	1985	RUS	82,89	0,6680	17	320,0	330,0	340,0	4	250,0	260,0	268,0-w	1	275,0	285,0	297,5	4	905,5	604,87	  9*
3.	Roelvaag Kim-Raino	1986	NOR	80,25	0,6814	13	315,0	322,5	330,0	5	250,0	255,0	260,0	2	275,0	280,0	287,5	5	870,0	592,82	  8*
4.	Lochschmidt Max	1983	GER	82,85	0,6682	12	300,0	310,0	320,0	6	210,0	217,5	225,0	6	285,0	295,0	302,5	2	840,0	561,29	7
5.	Korol Ivan	1993	UKR	82,20	0,6714	10	325,0	340,0	350,0	3	210,0	220,0	225,0	5	260,0	270,0	280,0	7	835,0	560,62	6
6.	Samoilov Maksym	1994	UKR	81,88	0,6730	14	310,0	330,0	342,5	2	210,0	220,0	225,0	7	272,5	285,0	285,0	6	825,0	555,23	5
7.	Carniel Simone	1990	ITA	82,21	0,6713	11	305,0	317,5	325,0	7	190,0	197,5	197,5	9	280,0	295,0	300,0	3	815,0	547,11	4
8.	Iversen Danni	1987	DEN	82,34	0,6707	15	285,0	297,5	302,5	8	175,0	185,0	190,0	10	240,0	257,5	272,5	8	745,0	499,67	3
9.	Irimie Andrei Nicolae	1990	ROU	82,37	0,6705	16	220,0	242,5	   X	10	250,0	260,0	266,0	3	200,0	   X	   X	11	702,5	471,03	2
—	Vanhee Emmerik	1990	BEL	80,33	0,6809	7	255,0	265,0	270,0	9	200,0	200,0	200,0	—	225,0	240,0	250,0	9	DSQ	—	—
—	Cheema Jasvinder Singh	1974	GBR	82,20	0,6714	9	230,0	230,0	230,0	—	185,0	192,5	197,5	8	215,0	215,0	225,0	10	DSQ	—	—
 -93kg
1.	Silbaum Margus	1976	EST	92,31	0,6304	9	335,0	345,0	   X	2	225,0	225,0	230,0	6	325,0	330,0	345,0	1	890,0	561,06	12
2.	Fransson Henrik	1991	SWE	92,32	0,6304	2	312,5	322,5	327,5	4	240,0	250,0	257,5	2	292,5	305,0	310,0	3	890,0	561,06	9
3.	Huber Alexander	1990	AUT	92,59	0,6295	7	330,0	330,0	340,0	3	245,0	252,5	260,0	1	285,0	295,0	295,0	5	875,0	550,81	8
4.	Nielsen Nicki Lentz	1992	DEN	92,93	0,6284	1	337,5	347,5	355,0	1	207,5	217,5	222,5	7	265,0	280,0	300,0	6	857,5	538,85	7
5.	Lysvand Julian	1991	NOR	92,16	0,6309	4	307,5	317,5	317,5	6	227,5	232,5	232,5	4	290,0	302,5	307,5	4	842,5	531,53	6
6.	Schweda Philipp	1992	GER	92,40	0,6301	5	310,0	320,0	325,0	5	232,5	232,5	240,0	5	260,0	270,0	270,0	7	817,5	515,11	5
7.	Rollo Riccardo	1986	ITA	92,61	0,6294	3	300,0	312,5	315,0	7	205,0	210,0	220,0	8	292,5	307,5	312,5	2	817,5	514,53	4
8.	Panazan Ovidiu	1975	ROU	85,00	0,6583	8	200,0	220,0	   X	9	227,5	235,0	240,0	3	200,0	240,0	   X	8	680,0	447,64	3
9.	Watson Matt	1991	GBR	90,95	0,6350	6	245,0	260,0	260,0	8	170,0	180,0	187,5	9	230,0	242,5	242,5	9	677,5	430,21	2
 -105kg
1.	Mashintcov Sergey	1987	RUS	99,19	0,6106	15	350,0	370,0	385,0	2	260,0	270,0	275,0	4	330,0	347,5	355,0	3	1015,0	619,76	12*
2.	Belkesir Sofiane	1984	FRA	104,80	0,5980	17	372,5	385,0	392,5	3	265,0	272,5	272,5	5	335,0	345,0	360,0	2	1010,0	603,98	  9*
3.	Walgermo Stian	1988	NOR	104,71	0,5981	14	382,5	382,5	382,5	4	285,0	285,0	290,0	3	320,0	335,0	340,0	4	1007,5	602,59	8
4.	Leskovets Viktor	1990	UKR	104,46	0,5986	18	375,0	390,0	400,0	1	300,0	315,0	315,0	1	290,0	302,5	302,5	10	990,0	592,61	7
5.	Eikeland Kristoffer	1989	NOR	104,71	0,5981	21	350,0	357,5	357,5	5	287,5	292,5	300,0	2	327,5	335,0	345,0	5	985,0	589,13	  6*
6.	Gunhamn Erik	1992	SWE	100,39	0,6076	10	340,0	352,5	355,0	8	222,5	230,0	230,0	9	340,0	360,0	388,0	1	930,0	565,07	5
7.	Bowring Dean	1974	GBR	103,93	0,5997	13	330,0	345,0	352,5	6	225,0	235,0	240,0	7	305,0	325,0	   X	6	910,0	545,73	4
8.	Maatta Tomi	1982	FIN	104,81	0,5979	11	345,0	355,0	355,0	7	245,0	245,0	255,0	6	290,0	290,0	302,5	7	902,5	539,61	3
9.	Glueck Markus	1990	AUT	104,27	0,5990	20	315,0	325,0	335,0	9	240,0	272,5	272,5	8	280,0	295,0	307,5	9	870,0	521,13	2
10.	Kaindl Sebastian	1982	GER	103,93	0,5997	12	320,0	325,0	325,0	10	215,0	222,5	230,0	10	285,0	300,0	310,0	8	855,0	512,74	1
—	Lange Martin	1987	GER	104,80	0,5980	16	350,0	350,0	360,0	—	   X	   X	   X	—	   X	   X	   X	—	TD	—	—
 -120kg
1.	Bilican Orhan	1978	BEL	119,88	0,5751	8	400,0	400,0	410,0	1	320,0	320,0	330,0	1	270,0	300,0	325,0	3	1055,0	606,73	12
2.	Goriachev Ivan	1990	RUS	119,90	0,5750	5	385,0	400,0	410,0	2	280,0	290,0	297,5	3	315,0	325,0	330,0	2	1020,0	586,50	9
3.	Sarik Tomas	1975	CZE	119,44	0,5756	2	362,5	370,0	370,0	6	267,5	277,5	285,0	4	330,0	347,5	355,0	1	1002,5	577,04	  8*
4.	Samuelsson Viktor	1993	ISL	119,66	0,5753	6	365,0	375,0	385,0	4	305,0	305,0	305,0	2	305,0	317,5	327,5	5	997,5	573,86	7
5.	Pahl Dominik	1992	GER	117,52	0,5778	1	360,0	372,5	380,0	3	260,0	265,0	270,0	6	290,0	302,5	320,0	6	947,5	547,47	6
6.	Cazacu Sorin	1973	ROU	119,00	0,5761	7	355,0	370,0	375,0	5	270,0	282,5	290,0	5	255,0	265,0	   X	8	907,5	522,81	5
7.	Cook Jack	1989	GBR	106,40	0,5948	4	300,0	300,0	300,0	7	215,0	222,5	227,5	7	300,0	320,0	325,0	4	842,5	501,12	4
—	Szymoniak Ryszard	1983	POL	119,98	0,5749	3	365,0	365,0	365,0	—	270,0	275,0	280,0	—	300,0	317,5	317,5	7	DSQ	—	—
 120+kg
1.	Svistunov Volodymyr	1987	UKR	167,26	0,5445	13	425,0	445,0	460,0	1	345,0	355,0	362,5	1	320,0	340,0	352,5	3	1147,5	624,81	12
