Place,Name,Division,Equipment,Event,BirthDate,BirthYear,Age,Sex,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg
1,Yvelise Martin,Seniors,Single-ply,B,,1982,37,F,56.85,57,,,,,87.5,92.5,-97.5,92.5,,,,,92.5
1,Mélodie Anthouard,Seniors,Single-ply,B,,1988,31,F,57.96,63,,,,,-120,120,130,130,,,,,130
1,Christelle Maniez,Masters 1,Single-ply,B,,1975,44,F,63.01,72,,,,,110,117.5,-120,117.5,,,,,117.5
1,Véronique Descours,Masters 1,Single-ply,B,,1971,48,F,61,63,,,,,87.5,-95,-97.5,87.5,,,,,87.5
1,Stéphanie Bastien,Masters 1,Single-ply,B,,1974,45,F,80.45,84,,,,,115,-122.5,-130.5,115,,,,,115
1,Nathalie Feraud,Masters 2,Single-ply,B,,1967,52,F,50.82,52,,,,,91.5,-93,-93,91.5,,,,,91.5
2,Géraldine Verlaine,Masters 2,Single-ply,B,,1970,49,F,51.78,52,,,,,70,72.5,-75,72.5,,,,,72.5
3,Brigitte Landon,Masters 2,Single-ply,B,,1961,58,F,49.21,52,,,,,67.5,-70,70,70,,,,,70
1,Béatrice Russic,Masters 2,Single-ply,B,,1969,51,F,52.86,57,,,,,77.5,80,-82.5,80,,,,,80
1,Marie France Cabos,Masters 2,Single-ply,B,,1967,52,F,58.37,63,,,,,90,95,-100,95,,,,,95
2,Florence Leccese,Masters 2,Single-ply,B,,1969,51,F,61.44,63,,,,,40,45,50,50,,,,,50
1,Patricia Maciejewski,Masters 2,Single-ply,B,,1961,58,F,71.03,72,,,,,82.5,87.5,-90,87.5,,,,,87.5
1,Nathalie Gransard,Masters 2,Single-ply,B,,1964,55,F,96.62,84+,,,,,117.5,122.5,-127.5,122.5,,,,,122.5
2,Véronique Auclair,Masters 2,Single-ply,B,,1968,51,F,96.84,84+,,,,,80,85,90,90,,,,,90
1,Martine Roche,Masters 3,Single-ply,B,,1956,63,F,51.06,52,,,,,67.5,72.5,77.5,77.5,,,,,77.5
1,Lydie Grouet,Masters 3,Single-ply,B,,1960,59,F,57.07,63,,,,,67.5,75,-80,75,,,,,75
1,Evelyne Herbin,Masters 3,Single-ply,B,,1956,63,F,65.18,72,,,,,80,85,92.5,92.5,,,,,92.5
1,Françoise Heligon,Masters 4,Single-ply,B,,1943,76,F,53,57,,,,,50,-55,55,55,,,,,55
1,Mickael Bernard,Masters 2,Single-ply,B,,1970,49,M,65.56,66,,,,,190,-195,-197.5,190,,,,,190
1,Stéphane Szezepanski,Seniors,Single-ply,B,,1990,29,M,82.53,83,,,,,-195,195,200,200,,,,,200
2,Mathias Nardoux,Seniors,Single-ply,B,,1986,33,M,79.06,83,,,,,190,-195,195,195,,,,,195
1,Daniel Pires,Masters 1,Single-ply,B,,1971,48,M,91.46,93,,,,,175,200,-205,200,,,,,200
1,Allan Grenier,Seniors,Single-ply,B,,1990,29,M,101.6,105,,,,,-280,290,-300,290,,,,,290
1,Jérome Guidez,Masters 1,Single-ply,B,,1974,45,M,141.22,120+,,,,,270,285,300,300,,,,,300
1,Marc Olivier Huchet,Masters 1,Single-ply,B,,1974,45,M,65.88,66,,,,,122.5,132.5,-137.5,132.5,,,,,132.5
1,David Perrodou,Masters 1,Single-ply,B,,1974,45,M,73.15,74,,,,,170,175,177.5,177.5,,,,,177.5
2,Vincent Eldin,Masters 1,Single-ply,B,,1972,47,M,73.67,74,,,,,155,162.5,-167.5,162.5,,,,,162.5
1,Cyril Pinguet,Masters 1,Single-ply,B,,1972,47,M,82.01,83,,,,,210,,,210,,,,,210
