Name,Age,Sex,Division,Event,Equipment,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Sub Total,"Deadlift
1","Deadlift
2","Deadlift
3","Deadlift
4","Best
Deadlift","Total'
510",,
Vilho Maatta,63,M,M3,SBD,Wraps,87.3,90,150,160,170,,170,110,115,120,,,290,185,207.5,220 r 220,,,,,
Antti Pirttijarvi,20,M,J,SBD,Wraps,89.75,90,210,230,-245,,230,120,130,135,,,365,200,215,220 r 220,,,585,,
Joona Leppajarii,20,M,J,SBD,Wraps,90,90,240,-260,265,,265,140,-150,-150,,,405,200,215,225 r 225,,,630,,
Jean Routalammi,48,M,M1,SBD,Wraps,88.2,90,180,-202.5,-202.5,,180,130,135,-140,,,315,230,245,-255 r 245,,,560,,
Topi Innanen,20,M,J,SBD,Wraps,88.8,90,175,-190,190,,190,-145,155,165,-170.5,,355,240,250.5,-260 r 250.5,,,605.5,,
Henri Raekallio,30,M,O,SBD,Wraps,89.35,90,200,-210,-210,,200,130,-140,-140,,,330,250,-260,-260 r 250,,,580,,
Jouko Kourumaki,59,M,M2,SBD,Wraps,89.9,90,215,230,240,,240,140,150,-155,,,390,240,250,260.5 r 260.5,,,650.5,,
Jouko Kourumaki,59,M,O,SBD,Wraps,89.9,90,215,230,240,,240,140,150,-155,,,390,240,250,"r
260.5 260.5",,,650.5,,
Leo Tenhumaki,36,M,O,SBD,Wraps,88.5,90,260,-280,280,,280,180,187.5,192.5,,,472.5,250,265,280 r 280,,,752.5,,
Teemu Alaharju-Somppi,38,M,O,SBD,Wraps,89.25,90,265,-275,,,265,140,152.5,-157.5,,,417.5,290,305,-340 r 305,,,722.5,,
Anssi Juntunen,32,M,O,SBD,Wraps,89.6,90,260,275,290,,290,120,130,140,,,430,290,310,-345 r 310,,,740,,
Edvin Ruuth,29,M,O,SBD,Wraps,89.2,90,180,220,-240,,220,170,180,-185,,,400,240,255,r 255,,,655,,
Santeri Susiluoto,29,M,O,SBD,Wraps,89.8,90,-230,-240,-240,,,,,,,,"0
187.5",,90," . 0
105 r 105",,,"0
292.5",,
Jonna Korte,21,F,J,SBD,Wraps,66.05,67.5,110,120,-130,,120,60,65,67.5,,,,,,,,,,,
Krisse Tuominen,35,F,O,SBD,Wraps,100.1,90+,-100,105,-120,,105,75,80,-85,-88,,185,100,115,120.12,,,305,,
Taina Virtanen,39,F,O,SBD,Wraps,81.45,82.5,-72.5,-72.5,72.5,,72.5,45,47.5,50,,,122.5,100,115,422.5 r 115,,,237.5,,
Jessika Hakamaki,20,F,J,SBD,Wraps,63.75,67.5,50,90,-100,,90,50,55,-60,,,145,100,120,430 r 120,,,265,,
Sara Karhunen,30,F,O,SBD,Wraps,56,56,90,-105,105,,105,45,50,-55,,,"155
205","110
135","120
145","428 r 120
152.5 455 152.5",,,"275
357.5",,
Sanna Joutsela,42,F,O,SBD,Wraps,71.8,75,110,120,125,,125,75,-80,80,,,,,,,,,,,
Sanna Joutsela,42,F,M1,SBD,Wraps,71.8,75,110,120,125,,125,75,-80,80,,,205,135,145,152.5 455 152.5,,,357.5,,
