EC,Name,Age,Div,"BWt
(Kg)","VIACIs
(Kg)",Reshel,"Lot RH
# Sq","Squat
1","Squat
2","Squat
3","Squat
4","Best
Squat","RH
BP","Bench
1","Bench
2","Bench
3","Bench
4","Best
Bench",Sub Total,"Deadlift
1","Deadlift
2","Deadlift
3","Deadlift
4","Best
Deadlift",PL Total,"Coeff
Score"
,,,,,,0,,,,,,0,,,,,,0,0,,,,,0,0,0.000
B,Anttila 011i,47,M-M1,123,125,0.86,,240,260,280,290,280,,120,130140,,,140,420,150,175,200,,200,620,"533,200"
B,Hyytinen Marko,30,M-0,"109,2",110,0.887,,210,220,230,,230,,125,130440,,,130,360,180,200,--24.0,,200,560,"496,720"
B,Salonen Petri,40,M-M1,108,110,0.8892,,200,220,,,220,,170,180,,,180,400,220,240,250,,250,650,"577,980"
B,Keskimaa Vesa,53,M-M2,"109,8",110,885,,220,240,260,,260,,180,195205,,,205,465,240,260,270,,270,735,"650,475"
B,Lepisto Petri 0,40,M-0,"135,6",140,0.845,,230,250,260,,260,,160,170175,,,175,435,260,270,275,,275,710,"599,950"
B,Lepisto Petri M,40,M-M1,"135,6",140,0.845,,230,250,260,,260,,160,170175,,,175,435,260,270,275,,275,710,"599,950"
I co Icol co,Jokinen Jarno Haavisto Billy,"42
50","M-M1
M-M2","108.3
118,7","110
125","0.889
0.866",,,205,223,,"222,5",,155,445465,,,155,378,260,-280,-280,,260,638,"566,738"
,,,,,,,,' r,250,265,,265,,180,190495,,,190,455,260,275,285,,285,740,"640,840"
,Jokipalo Um,24,M-0,"109,3",110,0.8868,,285,305,320,,320,,155,165; • 110:,,,170,490,275,285,-295,,285,775,"687,270"
B,Pellikka Esa,24,M-0,110,110,0.8852,,265,285,300,,300,,185,I -200 -200,,,185,485,280,.300,-300,,280,765,"677,178"
B,Vaisanen Harri,39,M-0,"127,5",140,0.854,,280,300,,,300,,150,160 170 .,,,170,470,280,300,-340,,300,770,"657,580"
B,Tulonen Teemu,24,M-0,"119,6",125,0.8646,,280,300,315,,315,,185,195 -200,,,195,510,320,340,350,,350,860,"743,556"
I co I co,Eirala Jani-Pekka,28,M-0,110,110,0.886,,340,-370,-370,,340,,230,"-2374 -242,5",,,230,570,340,355,-370,,355,925,"819,550"
,Harilainen Juha,46,M-M1,"136,6",140,844,,240,-265,265,,265,,160170480,,,,170,435,1-250,,,,"250
0","685
0","578,140
0,000"
B,Hosio Petted,36,M-0,"115,1",125,0.8726,,280,,,,280,,-220 -230 -230,,,,0,0,,,,,,,
A,Sjogren Raimo,71,M-M4,105,110,"0,8984",,150,"162,5",170,,170,,inr ',,,,73,243,150,160,170,175,170,413,"370,590"
I< I <I<,Kainulainen Olavi,65,M-M3,97,100,0.927,,?).420,430..,130,,130,,108) 405 119,,,,100,230,150,170,175,,175,405,"375,435"
,Karhu Velimatti,"44
23","M-M1
M-J","101.6
99,6","110
100","0.909
0.9166",  180,210,"195
220","200
230",,"200
230",,"-420 425 L
11 i25 I -130",,,,"125
125","325
355",":KID
215"," 190
11,."";631>r '","205
4125",,"205
215","530
570","481,770
522,462"
,Ilad Venta,,,,,,,,,,,,,,,,,,,,,,,,,
A,Hollo Erkki,49,M-M1,"93,55",100,0.9446,,140,150,155,,155,,1c 20 [,,,,125,280,220,235,-240,,235,515,"486,469"
A,Raiha Pekka,34,M-0,"99,4",100,0.9174,,215,,235,,235,,425 A 130,,,,125,360,235,"257,5",-270,,"257,5",618,"566,495"
I< I <I<,"Salojarvi Rene 
Heino Jan","23
29
22",797222,"98,8
106 
98,1","100
110
100","0.9198
0.895
0.9226",,,210,,,210,,"120 122,5 .122,5",,,,0,0,240,-250,-250,,240,0,0
,,,,,,,  220,210,"235
225","245
235",,"245
235",,"1., 1 150
130 140' 150",,,,"145
140","390
375","240
250","260
260","-270
'.270",,"260
270","650
645","581,750
595,077"
,Makynen Teemu,,,,,,,,,,,,,,,,,,,,,,,,,
A,Termonen Timo,37,M-0,"99,5",100,0.917,,250,275,285,,285,,1,,,,160,445,250,270,,,270,715,"655,655"
I<I<,Pilke Mikko,36,M-0,"107,2",110,0.892,,250,270,-280,,270,,"4,80 ,",1'0,,,193,463,260,280,288,,"287,5",750,"669,000"
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Laaksonen Teemu,29,M-0,97,100,0.929,,280,-290,300,,300,,.. 165 415,,,,165,465,280,,300,,300,765,"710,685"
A,Suominen Ville,33,M-0,"98,8",100,0.9198,,250,265,-275,,265,,".165 : Mr 472,5",,,,"167,5",433,280,295,"302,5",,295,728,"669,155"
A,Hakala Teemu,26,M-0,99,100,0.9182,,250,-270,:270,,270,,. 190 :200: -205,,,,200,470,290,300,-340,,300,770,"707,014"
A,Korpeinen Mikko,35,M-0,"98,55",100,0.9206,,220,240,-250,,240,,150460460,,,,150,390,300,321,430,,321,711,"654,547"
