Name,Sex,Event,Age,Division,WeightClassKg,Equipment,Best3BenchKg,Bench4Kg,Best3DeadliftKg,Deadlift4Kg,TotalKg,Place
Maiju Hilander,F,B,61,FM4-R,75,Raw,70,,,,,70,1
Johanna Bies,F,B,46,FM1-R,67.5,Raw,117.5,,,,117.5,1
Satu Lampikari-Olli,F,B,46,FM1-R,75,Raw,85,,,,85,1
Pauliina Loponen,F,B,24,FJ-R,67.5,Raw,75,,,,,75,1
Marianne Hartio,F,B,25,FJ-R,75,Raw,90,,,,90,1
Anni Vuorio,F,B	24,FJ-R,75,Raw,80,,,,80,2
Amra Halilovic,F,B,25,FJ-R,75,Raw,57.5,,,,57.5,3
Veera Hiltunen,F,B,22,FJ-R,82.5,Raw,,,,,DQ
Elisa Koikkalainen,F,B,19,FT3-R,60,Raw,62.5,,,,62.51
Vanessa Torres ,F,B,31,FO-R,60,Raw,101,,,,101,1
Carolina Aftab,F,B,34,FO-R,60,Raw,57.5,,,,57.5,,2
Johanna Bies,F,B,46,FO-R,67.5,Raw,117.5,,,,117.5,1
Johanna Rasmussen,F,B,32,FO-R,67.5,Raw,92.5,,,,92.5,2
Angelica Khanjyan,F,B,27,FO-R,67.5,Raw,65,,,,65,3
Emmaleena Salla,F,B,31,FO-R,67.5,Raw,45,,,,45,4
Rachael Malott,F,B,26,FO-R,75,Raw,105,,,,105,1
Marianne Hartio,F,B,25,FO-R,75,Raw,90,,,,90,2
Anni Vuorio,F,B,24,FO-R,75,Raw,80,,,,80,3
Maiju Hilander,F,B,61,FO-R,75,Raw,70,,,,70,4
Maren Preis,F,B,32,FO-R,75,Raw,60,,,,60,5
Amina Boulahna,F,B,27,FO-R,82.5,Raw,100,,,,,100,1
Maria Jokipalo,F,B,35,FO-R,90,Raw,85,,,,85,1
Sanna Halenius,F,B,39,FO-R,90,Raw,82.5,,,,82.5,2
Tapio Laine,M,B,66,MM6-E,125,Multi-ply,230,,,,230,1
Pentti Rimpi,M,B,51,MM3-E,56,Multi-ply,110,,,,110,1
Rami Eerikäinen,M,B,44,MM1-E,82.5,Multi-ply,230,,,,230,1
Jussi Kananen,M,B,33,MSM-E,140+,Multi-ply,202.5,,,,202.5,1
Jarkko Forss,M,B,22,MJ-E,82.5,Multi-ply,310.5,,,,310.5,1
Pentti Liukkonen,M,B,23,MJ-E,110,Multi-ply,232.5,,,,232.5,1
Jarkko Forss,M,B,22,MO-E,82.5,Multi-ply,310.5,,,,310.5,1
Rami Eerikäinen,M,B,44,MO-E,82.5,Multi-ply,230,,,,230,3
Jani Loippo,M,B,26,MO-E,90,Multi-ply,225,,,,225,1
Vesa Partala,M,B,38,MO-E,90,Multi-ply,275,,,,275,2
Pentti Liukkonen,M,B,23,MO-E,110,Multi-ply,232.5,,,,232.5,1
Jussi Kananen,M,B,33,MO-E,140+,Multi-ply,202.5,,,,202.5,1
Ilkka Lukkarinen,M,B,29,MO-E,140+,Multi-ply,,,,,DQ
Marianne Kosonen,F,B,25,FO-E,56,Multi-ply,140,,,,140,1
Anna-Maija Kosonen,F,B,28,FO-E,67.5,Multi-ply,95,,,,95,1
Virpi Pukkila,F,B,50,FO-E,75,Multi-ply,155,,,,155,1
Rane Ovaska,M,B,58,MM3-R,82.5,Raw,110,,,,110,1
Juhani Kärkkäinen,M,B,59,MM3-R,100,Raw,152.5,,,,152.5,1
Juha Pukkila,M,B,54,MM3-R,110,Raw,162.5,,,,,162.5,1
Jari Hämölä,M,B,59,MM3-R,117.5,Raw,145,,,,145,1
Toomas Ivar,M,B,54,MM3-R,117.5,Raw,140,,,,140,2
Pasi Pohjola,M,B,40,MM1-R,75,Raw,120,,,,120,1
Markus Gren,M,B,46,MM1-R,82.5,Raw,130,,,,130,1
Jokke Mononen,M,B,44,MM1-R,82.5,Raw,125,,,,125,2
Rami Leiviskä,M,B,40,MM1-R,90,Raw,162.5,,,,162.5,1
Kim Päivöke,M,B,46,MM1-R,90,Raw,163.5,164.5,,,163.5,2
Klaus Renfors,M,B,45,MM1-R,90,Raw,164,165.5,,,164,3
Kimmo Vilen,M,B,41,MM1-R,90,Raw,150,,,,150,4
Rami Haaparanta,M,B,42,MM1-R,100,Raw,210,,,,210,1
Teppo Koskinen,M,B,45,MM1-R,100,Raw,137.5,,,,,137.5,2
Santeri Kilkki,M,B,41,MM1-R,100	Raw,137.5,,,,137.5,3
Timo Seppänen,M,B,42,MM1-R,117.5,Raw,215,-218,,,215,1
Pasi Mehtälä,M,B,45,MM1-R,140,Raw,205,,,,205,1
Jussi Kananen,M,B,32,MSM-R,140+,Raw,205,,,,205,1
Sami Kostet,M,B,20,MJ-R,75,Raw,160,166-,,,160,1
Jerry Aittakari,M,B,24,MJ-R,90,Raw,150,,,,150,1
Arttu Karttunen,M,B,21,MJ-R,100,Raw,202.5,203.5,,,202.5,1
Jani Virtanen,M,B,23,MJ-R,100,Raw,202.5,-203,,202.5,2
Matias Hyttinen,M,B,23,MJ-R,125,Raw,212.5,,,,212.5,1
Tomi Reijonen,M,B,13,MT1-R,67.5,Raw,45,,,,45,1
Sami Kostet,M,B,20,MO-R,75,Raw,160,-166,,,160,1
Santeri Asikainen,M,B,27,MO-R,82.5,Raw,200,208,,,200,1
Henri Vauto,M,B,31,MO-R,82.5,Raw,150,,,,150,2
Antero Kautonen,M,B,31,MO-R,82.5,Raw,115,,,,115,3
Rami Leiviskä,M,B,40,MO-R,90,Raw,162.5,,,,162.5,1
Kim Päivöke,M,B	46,MO-R,90,Raw,163.5,164.5,,,163.5,2
Klaus Renfors,M,B,45,MO-R,90,Raw,164,165.5,,,164,3
Jerry Aittakari,M,B,24,MO-R,90,Raw,150,,,,150,4
Topi Frifeldt,M,B,36,MO-R,100,Raw,217.5,,,,217.5,1
Henry Lehtola,M,B,36,MO-R,100,Raw,212.5,,,,212.5,2
Hannu Koskinen,M,B,36,MO-R,100,Raw,210,,,,210,3
Teemu Hakala,M,B,28,MO-R,100,Raw,207.5,,,,207.6,4
Edvin Ruuth,M,B,31,MO-R,100,Raw,190,,,,190,5
Anssi Juntunen,M,B,34,MO-R,100,Raw,180,,,,180,6
Juha Tikka,M,B,27,MO-R,100,Raw,180,,,,180,7
Marko Kakkinen,M,B,38,MO-R,100,Raw,172.5,,,,172.5,8
Daniel Szasko,M,B,34,MO-R,100,Raw,147.5,,,,147.5,9
