Place,Event,Name,BodyweightKg,WeightClassKg,Sex,Division,Equipment,Age,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg
1,B,Totte Salmi ,59.6,60,M,Open,Raw,44,100,107.5,-110,,107.5,,,,,,107.5
1,B,Leif Ojala,67.5,67.5,M,Open,Raw,51,120,130,135,,135,,,,,,135
1,B,Joni Laiho,73.7,75,M,Open,Raw,26,130,140,-147.5,,140,,,,,,140
1,B,Rami Leivisk ,82.5,82.5,M,Open,Raw,41,140,150,160,,160,,,,,,160
2,B,Henri Vauto,82,82.5,M,Open,Raw,32,140,147.5,155,,155,,,,,,155
3,B,Daniel Szasko,80.9,82.5,M,Open,Raw,35,127.5,135,-140,,135,,,,,,135
1,B,Santeri Asikainen,88.4,90,M,Open,Raw,28,210,222.5,-230.5,,222.5,,,,,,222.5
2,B,Eetu Sieppi,84.5,90,M,Open,Raw,24,160,175,190,,190,,,,,,190
3,B,Jukka Tiilikka,89.3,90,M,Open,Raw,28,-170,180,-190,,180,,,,,,180
1,B,Jani Turtiainen,100,100,M,Open,Raw,38,210,220,230,,230,,,,,,230
2,B,Joni Kivel,98.6,100,M,Open,Raw,29,190,197.5,202.5,,202.5,,,,,,202.5
3,B,Anssi Juntunen,99.5,100,M,Open,Raw,35,182.5,195,200,,200,,,,,,200
4,B,Markus Lindholm,100,100,M,Open,Raw,33,-185,195,-205,,195,,,,,,195
5,B,Sami Harju,99.8,100,M,Open,Raw,27,185,190,-200,,190,,,,,,190
6,B,Joni Suortti,98.9,100,M,Open,Raw,32,140,150,160,,160,,,,,,160
7,B,Antti Penttil,100,100,M,Open,Raw,31,140,147.5,155,,155,,,,,,155
1,B,Juha Tuomainen,106.2,110,M,Open,Raw,36,245,252.5,-260,,252.5,,,,,,252.5
2,B,Jani-Pekka Eirala,109.5,110,M,Open,Raw,31,230,-240,-240,,230,,,,,,230
3,B,Topi Frifeldt,109.3,110,M,Open,Raw,37,215,225,-230,,225,,,,,,225
4,B,Jari Koskinen,109.5,110,M,Open,Raw,36,210,220,-225,,220,,,,,,220
5,B,Sauli Kallunki,108.8,110,M,Open,Raw,24,177.5,190,-200,,190,,,,,,190
6,B,Harri Visnen ,108.8,110,M,Open,Raw,43,182.5,190,-200,,190,,,,,,190
7,B,Mikko Leinonen,101.4,110,M,Open,Raw,30,160,175,185,,185,,,,,,185
8,B,Ville Suominen,105.8,110,M,Open,Raw,27,170,180,-190,,180,,,,,,180
9,B,Kirill Shitikov,106.3,110,M,Open,Raw,34,140,145,150,,150,,,,,,150
10,B,Jussi Jantunen,108.5,110,M,Open,Raw,31,140,145,150,,150,,,,,,150
1,B,Jyri Nieminen,110.1,125,M,Open,Raw,24,210,220,230,,230,,,,,,230
2,B,Jan-Erik Maantila,115.4,125,M,Open,Raw,34,200,210,220,,220,,,,,,220
3,B,Samuli Ketola,124.2,125,M,Open,Raw,27,215,-230,-230,,215,,,,,,215
4,B,Topias Cunningham,120.5,125,M,Open,Raw,24,195,210,-220,,210,,,,,,210
5,B,Juha Alasaari,120.6,125,M,Open,Raw,36,175,190,200,,200,,,,,,200
6,B,Juuso Saarinen,113.9,125,M,Open,Raw,35,160,172.5,180,,180,,,,,,180
7,B,Samuli Kapanen,122.9,125,M,Open,Raw,30,122.5,130,135,,135,,,,,,135
1,B,Zahir Khudayarov,130.7,140,M,Open,Raw,36,230,250,-267.5,,250,,,,,,250
2,B,Lauri Hrk,134.2,140,M,Open,Raw,35,222.5,-230,-230,,222.5,,,,,,222.5
1,B,Jussi Kananen,154.3,140+,M,Open,Raw,34,190,200,-210,,200,,,,,,200
1,B,Virpi Pukkila,73.3,75,F,Masters 50-54,Multi-ply,51,130,137.5,-145,,137.5,,,,,,137.5
