25-Aug-19,FPO penkkipunnerruksen ja maastanoston SM 2019,,,,,,,,,,,,,,
Name,Age,Div,BWt (Kg),WtCls (Kg),Reshel,Bench 1,Bench 2,Bench 3,Bench 4,Best Bench,Coeff Score,Age  & Coeff,Pl code,Pl-Div-WtCl,Tm Pts
Totte Salmi ,44,M-O,59.6,60,1.438,100,107.5,-110,,107.5,154.585,154.585,1,1-M-O-60,
Leif Ojala,51,M-O,67.5,67.5,1.237,120,130,135,,135,166.995,166.995,1,"1-M-O-67,5",
Joni Laiho,26,M-O,73.7,75,1.1366,130,140,-147.5,,140,159.124,159.124,1,1-M-O-75,#N/A
Rami Leiviskä ,41,M-O,82.5,82.5,1.029,140,150,160,,160,164.64,166.2864,1,"1-M-O-82,5",
Henri Vauto,32,M-O,82,82.5,1.034,140,147.5,155,,155,160.27,160.27,1,"2-M-O-82,5",#N/A
Daniel Szasko,35,M-O,80.9,82.5,1.0448,127.5,135,-140,,135,141.048,141.048,1,"3-M-O-82,5",#N/A
Santeri Asikainen,28,M-O,88.4,90,0.9798,210,222.5,-230.5,,222.5,218.0055,218.0055,1,1-M-O-90,#N/A
Eetu Sieppi,24,M-O,84.5,90,1.011,160,175,190,,190,192.09,192.09,1,2-M-O-90,#N/A
Jukka Tiilikka,28,M-O,89.3,90,0.9736,-170,180,-190,,180,175.248,175.248,1,3-M-O-90,#N/A
Jani Turtiainen,38,M-O,100,100,0.915,210,220,230,,230,210.45,210.45,1,1-M-O-100,#N/A
Joni Kivelä,29,M-O,98.6,100,0.9206,190,197.5,202.5,,202.5,186.4215,186.4215,1,2-M-O-100,#N/A
Anssi Juntunen,35,M-O,99.5,100,0.917,182.5,195,200,,200,183.4,183.4,1,3-M-O-100,#N/A
Markus Lindholm,33,M-O,100,100,0.915,-185,195,-205,,195,178.425,178.425,1,4-M-O-100,#N/A
Sami Harju,27,M-O,99.8,100,0.9158,185,190,-200,,190,174.002,174.002,1,5-M-O-100,#N/A
Joni Suortti,32,M-O,98.9,100,0.9194,140,150,160,,160,147.104,147.104,1,6-M-O-100,#N/A
Antti Penttilä,31,M-O,100,100,0.915,140,147.5,155,,155,141.825,141.825,1,7-M-O-100,#N/A
Juha Tuomainen,36,M-O,106.2,110,0.8942,245,252.5,-260,,252.5,225.7855,225.7855,1,1-M-O-110,#N/A
Jani-Pekka Eirala,31,M-O,109.5,110,0.886,230,-240,-240,,230,203.78,203.78,1,2-M-O-110,#N/A
Topi Frifeldt,37,M-O,109.3,110,0.8868,215,225,-230,,225,199.53,199.53,1,3-M-O-110,#N/A
Jari Koskinen,36,M-O,109.5,110,0.886,210,220,-225,,220,194.92,194.92,1,4-M-O-110,#N/A
Sauli Kallunki,24,M-O,108.8,110,0.8878,177.5,190,-200,,190,168.682,168.682,1,5-M-O-110,#N/A
Harri Väisänen ,43,M-O,108.8,110,0.8878,182.5,190,-200,,190,168.682,168.682,1,6-M-O-111,
Mikko Leinonen,30,M-O,101.4,110,0.9094,160,175,185,,185,168.239,168.239,1,7-M-O-110,#N/A
Ville Suominen,27,M-O,105.8,110,0.8958,170,180,-190,,180,161.244,161.244,1,8-M-O-110,#N/A
Kirill Shitikov,34,M-O,106.3,110,0.894,140,145,150,,150,134.1,134.1,1,9-M-O-110,#N/A
Jussi Jantunen,31,M-O,108.5,110,0.889,140,145,150,,150,133.35,133.35,1,10-M-O-110,#N/A
Jyri Nieminen,24,M-O,110.1,125,0.8846,210,220,230,,230,203.458,203.458,1,1-M-O-125,#N/A
Jan-Erik Maantila,34,M-O,115.4,125,0.872,200,210,220,,220,191.84,191.84,1,2-M-O-125,#N/A
Samuli Ketola,27,M-O,124.2,125,0.859,215,-230,-230,,215,184.685,184.685,1,3-M-O-125,#N/A
Topias Cunningham,24,M-O,120.5,125,0.863,195,210,-220,,210,181.23,181.23,1,4-M-O-125,#N/A
Juha Alasaari,36,M-O,120.6,125,0.863,175,190,200,,200,172.6,172.6,1,5-M-O-125,#N/A
Juuso Saarinen,35,M-O,113.9,125,0.875,160,172.5,180,,180,157.5,157.5,1,6-M-O-125,#N/A
Samuli Kapanen,30,M-O,122.9,125,0.86,122.5,130,135,,135,116.1,116.1,1,7-M-O-125,#N/A
Zahir Khudayarov,36,M-O,130.7,140,0.851,230,250,-267.5,,250,212.75,212.75,1,1-M-O-140,#N/A
Lauri Härkä,35,M-O,134.2,140,0.847,222.5,-230,-230,,222.5,188.4575,188.4575,1,2-M-O-140,#N/A
Jussi Kananen,34,M-O,154.3,SHW,0.827,190,200,-210,,200,165.4,165.4,1,1-M-O-SHW,#N/A
