24-Aug-19,FPO penkkipunnerruksen ja maastanoston SM 2019,,,,,,,,,,,,,
Name,Age,Div,BWt (Kg),WtCls (Kg),Reshel,Bench 1,Bench 2,Bench 3,Bench 4,Best Bench,Coeff Score,Age  & Coeff,Pl code,Pl-Div-WtCl
Virpi Pukkila M2,51,F-M2,73.3,75,1.5634,130,137.5,-145,,137.5,214.9675,246.5677225,1,1-F-M2-75
Marianne Kosonen,26,F-O,54.9,56,1.9462,150,157.5,-160,,157.5,306.5265,306.5265,1,1-F-O-56
Anna-Maija Kosonen,29,F-O,67.5,67.5,,-145,145,-150,,145,237.655,237.655,1,"1-F-O-67,5"
Virpi Pukkila ,51,F-O,73.3,75,1.5634,130,137.5,-145,,137.5,214.9675,246.5677225,1,1-F-O-75
Julia Vins,23,F-J,65.4,67.5,1.6738,155,160,165,,165,276.177,276.177,1,"1-F-J-67,5"
Ville Rajala,12,M-T0,81.4,82.5,1.0398,60,62.5,65,,65,67.587,67.587,1,"1-M-T0-82,5"
Nicky Norris,30,M-O,78.3,82.5,1.0744,210,227.5,235,,235,252.484,252.484,1,"1-M-O-82,5"
Simon Kankkonen,37,M-O,89.2,90,0.9744,315,330,-346,,330,321.552,321.552,1,1-M-O-90
Oskari Lehtinen,30,M-O,100,100,0.915,292.5,-300,-307.5,,292.5,267.6375,267.6375,1,1-M-O-100
Pekka Räihä,37,M-O,105.9,110,0.8954,-220,-220,-230,,0,0,0,1,0
Kalle Ylitalo-James,36,M-O,131.9,140,0.849,375,390.5,-400,,390.5,331.5345,331.5345,1,1-M-O-140
Jussi Kananen,34,M-O,154.2,SHW,0.8272,225,235,250,,250,206.8,206.8,1,1-M-O-SHW
Toni Haaparanta,45,M-M1,75,75,1.117,175,180,185,,185,206.645,218.010475,1,1-M-M1-75
Rami Eerikäinen,45,M-M1,82.5,82.5,1.029,235,-245,-250,,235,241.815,255.114825,1,"1-M-M1-82,5"
Juhani Märsylä,40,M-M1,108.3,110,0.889,305,317.5,325,,325,288.925,288.925,1,1-M-M1-110
Jarkko Forss,23,M-J,82.4,82.5,1.0298,-320,-320,-322.5,,0,0,0,1,0
Kalle-Ville Korhonen,64,M-M3R,99.1,100,0.9186,100,110,-115,,110,101.046,146.5167,1,1-M-M3R-100
Leif Ojala,51,M-M2R,67.5,67.5,1.237,120,130,135,,135,166.995,191.543265,1,"1-M-M2R-67,5"
Jarno Tuomiranta,57,M-M2R,72.2,75,1.1588,-107.5,-107.5,-107.5,,0,0,0,1,0
Rane Ovaska,59,M-M2R,81.2,82.5,1.0416,100,110,117.5,,117.5,122.388,160.94022,1,"1-M-M2R-82,5"
Pekka Anttila ,54,M-M2R,89.3,90,0.9736,90,92.5,95,,95,92.492,111.360368,1,1-M-M2R-90
Juhani Kärkkäinen,59,M-M2R,99.6,100,0.9166,140,145,150,,150,137.49,180.79935,1,1-M-M2R-100
Juha Ojanen,57,M-M2R,105,110,0.898,155,162.5,170,,170,152.66,193.57288,1,1-M-M2R-110
Raimo Hiisiö,50,M-M2R,122.1,125,0.861,180,192.5,200,,200,172.2,194.586,1,1-M-M2R-125
Tero Ylivinkka,53,M-M2R,130.9,140,0.8504,180,190,-200,,190,161.576,191.305984,1,1-M-M2R-140
Saku Grommi,18,M-T3R,59.3,60,1.4492,80,87.5,90,,90,130.428,130.428,1,1-M-T3R-60
Tomi Reijonen,14,M-T1R,71.7,75,1.1668,60,-65,-65,,60,70.008,70.008,1,1-M-T1R-75
Otto Doering,15,M-T1R,78.9,82.5,1.0672,75,85,-92.5,,85,90.712,90.712,1,"1-M-T1R-82,5"
Totte Salmi ,44,M-M1R,59.6,60,1.438,100,107.5,-110,,107.5,154.585,161.232155,1,1-M-M1R-60
Jani Vaskelainen,44,M-M1R,74.7,75,1.1208,110,120,125,,125,140.1,146.1243,1,1-M-M1R-75
Jyrki Marttala,42,M-M1R,72.7,75,1.1518,100,110,115,,115,132.457,135.10614,1,2-M-M1R-75
Pasi Pohjola,41,M-M1R,73.2,75,1.1438,110,115,-122.5,,115,131.537,132.85237,1,3-M-M1R-75
Rami Leiviskä ,41,M-M1R,82.5,82.5,1.029,140,150,160,,160,164.64,166.2864,1,"1-M-M1R-82,5"
Markus Gren,47,M-M1R,81.4,82.5,1.0398,130,140,145,,145,150.771,163.134222,1,"2-M-M1R-82,5"
Jorma Mononen,45,M-M1R,81.1,82.5,1.0428,130,135,-140,,135,140.778,148.52079,1,"3-M-M1R-82,5"
Klaus Renfors,46,M-M1R,89.1,90,0.9752,147.5,152.5,160,,160,156.032,166.642176,1,1-M-M1R-90
Mikko Mäntymäki,47,M-M1R,89.2,90,0.9744,140,147.5,150,,150,146.16,158.14512,1,2-M-M1R-90
Rami Haaparanta,43,M-M1R,99.5,100,0.917,180,190,200,,200,183.4,189.0854,1,1-M-M1R-100
Jani Vepsäläinen,44,M-M1R,97.3,100,0.9258,162.5,175,182.5,,182.5,168.9585,176.2237155,1,2-M-M1R-100
Jarkko Ylä-Häkkinen,40,M-M1R,96.6,100,0.9286,160,170,180,,180,167.148,167.148,1,3-M-M1R-100
Kim Päivöke,46,M-M1R,95.8,100,0.9328,130,160,170,,170,158.576,169.359168,1,4-M-M1R-100
Jari-Pekka Suominen,47,M-M1R,98.6,100,0.9206,160,170,-182.5,,170,156.502,169.335164,1,5-M-M1R-100
Harri Väisänen ,43,M-M1R,108.8,110,0.8878,182.5,190,-200,,190,168.682,173.911142,1,1-M-M1R-110
Harri Pykälämäki,45,M-M1R,123.6,125,0.8596,180,190,200,,200,171.92,181.3756,1,1-M-M1R-125
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
