Date 23-8-2019,Penkin ja maastanoston SM 2019,,,,,,,,,,,,,
Name,Age,Div,BWt (Kg),WtCls (Kg),Reshel,Deadlift 1,Deadlift 2,Deadlift 3,Deadlift 4,Best Deadlift,Coeff Score,Age  & Coeff,Pl-Div-WtCl,
Eveliina Lehto,26,F-OR,46.6,48,2.424,110,-120,-120,,110,266.64,0,1-F-OR-48,
Taru Visuri,34,F-OR,51.9,52,2.0894,145,157.5,160,165,160,334.304,0,1-F-OR-52,
Olga Mikhailova O,47,F-OR,59.4,60,1.8006,145,152.5,-160,,152.5,274.5915,297.108003,1-F-OR-60,
Emmaleena Salla,32,F-OR,57.6,60,1.852,-110,120,127.5,,127.5,236.13,0,2-F-OR-60,
Johanna Rasmussen,33,F-OR,66.6,67.5,1.655,165,172.5,180,-182.5,180,297.9,0,"1-F-OR-67,5",
Jerna Rytkönen,35,F-OR,67.5,67.5,1.6406,165,175,-182.5,,175,287.105,0,"2-F-OR-67,5",
Erica Halminen,28,F-OR,64.6,67.5,1.69,150,155,160,,160,270.4,0,"3-F-OR-67,5",
Marianne Hartio,26,F-OR,66.9,67.5,1.6502,150,160,-165,,160,264.032,0,"4-F-OR-67,5",
Angelica Anastasioy,28,F-OR,62.2,67.5,1.733,100,120,130,,130,225.29,0,"5-F-OR-67,5",
Anne Vähätalo,29,F-OR,66.4,67.5,1.659,102.5,110,115,,115,190.785,0,"6-F-OR-67,5",
Iryna Piatrovich,35,F-OR,71,75,1.5932,175,200,205,,205,326.606,0,1-F-OR-75,
Amina Boulahna,28,F-OR,72.5,75,1.5752,185,202.5,-210,,202.5,318.978,0,2-F-OR-75,
Krista Pellikka,32,F-OR,73.9,75,1.5574,170,185,195,,195,303.693,0,3-F-OR-75,
Anni Vuorio,25,F-OR,69.6,75,1.612,170,185,-195,,185,298.22,0,4-F-OR-75,
Lauriina Malinen O,46,F-OR,71.5,75,1.5872,135,155,165,,165,261.888,279.696384,5-F-OR-75,
Maiju Hilander O,61,F-OR,73.8,75,1.5586,157.5,-165,,,157.5,245.4795,335.324997,6-F-OR-75,
Julia Sieppi,24,F-OR,72.5,75,1.5752,120,130,140,,140,220.528,0,7-F-OR-75,
Anna Vuorio,24,F-OR,74.8,75,1.5466,122.5,132.5,,,132.5,204.9245,0,8-F-OR-75,
Mari Penttilä,31,F-OR,71.8,75,1.5836,130,-140,-140,,130,205.868,0,9-F-OR-75,
Anna Khudayarov,31,F-OR,78.8,82.5,1.5084,220,230,235,,235,354.474,0,"1-F-OR-82,5",
Sanna Marika Halenius O,40,F-OR,83.4,90,1.4684,170,180,-185,,180,264.312,264.312,1-F-OR-90,
Päivi Kaarto O,42,F-OR,95.5,SHW,1.3884,190,212.5,-222.5,,212.5,295.035,300.9357,1-F-OR-SHW,
Natalia Gadolin,25,F-OR,98.8,SHW,1.3702,180,-190,-200,,180,246.636,0,2-F-OR-SHW,
Petra Tunturi O,40,F-O,66.1,67.5,1.664,130,140,155,,155,257.92,257.92,"1-F-O-67,5",
Maiju Hilander M3,61,F-M3R,73.8,75,1.5586,157.5,-165,,,157.5,245.4795,335.324997,1-F-M3R-75,
Berith Jokinen,65,F-M3R,82,82.5,1.4798,100,120,140.5,,140.5,207.9119,307.709612,"1-F-M3R-82,5",
Minna Paler,51,F-M2R,54,56,1.988,95,105,-107.5,107.5,105,208.74,239.42478,1-F-M2R-56,
Olga Mikhailova M1,47,F-M1R,59.4,60,1.8006,145,152.5,-160,,152.5,274.5915,297.108003,1-F-M1R-60,
Petra Tunturi,40,F-M1R,66.1,67.5,1.664,130,140,155,,155,257.92,257.92,"1-F-M1R-67,5",
Lauriina Malinen M1,46,F-M1R,71.5,75,1.5872,135,155,165,,165,261.888,279.696384,1-F-M1R-75,
Sari Makkonen,46,F-M1R,77.6,82.5,1.519,120,130,140,,140,212.66,227.12088,"1-F-M1R-82,5",
Sanna Marika Halenius M1,40,F-M1R,83.4,90,1.4684,170,180,-185,,180,264.312,264.312,1-F-M1R-90,
Päivi Kaarto M1,42,F-M1R,95.5,SHW,1.3884,190,212.5,-222.5,,212.5,295.035,300.9357,1-F-M1R-SHW,
Eveliina Anttila,20,F-JR,55.9,56,1.9122,92.5,100,-105,,100,191.22,0,1-F-JR-56,
Maria Tuomi,19,F-T3R,53.9,56,1.992,97.5,107.5,-115,,107.5,214.14,0,1-F-T3R-56,
Elisa Koikkalainen,19,F-T3R,57.4,60,1.8584,140,150,-155,,150,278.76,0,1-F-T3R-60,
Ada Ritamäki,15,F-T1R,69.3,75,1.6156,85,90,95,100,95,153.482,0,1-F-T1R-75,
