Place,Name,BirthYear,BodyweightKg,Best3BenchKg,WeightClassKg,Sex,CyrillicName,Event,Equipment,TotalKg
1,Oleg Panteleev,1974,46.6,125,52,M,Олег Пантелеев,B,Single-ply,125
1,Pavel Bogoevlenskiy,1985,55.85,95,56,M,Павел Богоевленский,B,Single-ply,95
2,Sergey Yashkin,1980,55.2,87.5,56,M,Сергей Яшкин,B,Single-ply,87.5
1,Aleksandr Vladimirov,1982,59.35,130,60,M,Александр Владимиров,B,Single-ply,130
2,Aleksandr Kolyshkin,1981,58.5,120,60,M,Александр Колышкин,B,Single-ply,120
3,Dmitriy Feoktistov,1972,59.6,100,60,M,Дмитрий Феоктистов,B,Single-ply,100
1,Sergey Kolesnikov,1974,67.5,167.5,67.5,M,Сергей Колесников,B,Single-ply,167.5
2,Aleksandr Fedorov,1976,76,165,67.5,M,Александр Федоров,B,Single-ply,165
3,Yuriy Povetkin,1939,65.65,145,67.5,M,Юрий Поветкин,B,Single-ply,145
4,Fedor Balakov,1981,67,120,67.5,M,Федор Балаков,B,Single-ply,120
1,Aleksey Zhukov,1980,70.55,192.5,75,M,Алексей Жуков,B,Single-ply,192.5
2,Vladimir Zakharov,1969,69,190,75,M,Владимир Захаров,B,Single-ply,190
3,Mikhail Stebletsov,1980,75,170,75,M,Михаил Стеблецов,B,Single-ply,170
4,Igor Priemyshev,1982,74.9,165,75,M,Игорь Приемышев,B,Single-ply,165
5,Aleksandr Tatarkin,1955,73.05,160,75,M,Александр Татаркин,B,Single-ply,160
6,Aleksey Semenov,1974,71.05,145,75,M,Алексей Семенов,B,Single-ply,145
7,Aleksandr Nebolsin,1983,71.85,132.5,75,M,Александр Небольсин,B,Single-ply,132.5
8,Vladimir Lapin,1981,72.5,130,75,M,Владимир Лапин,B,Single-ply,130
9,Roman Reshetnikov,1979,73.85,130,75,M,Роман Решетников,B,Single-ply,130
10,Aleksandr Danilenko,1979,68.85,115,75,M,Александр Даниленко,B,Single-ply,115
1,Aleksandr Ratataev,1971,82.05,210,82.5,M,Александр Рататаев,B,Single-ply,210
2,Pavel Sled,1972,80.9,205,82.5,M,Павел Следь,B,Single-ply,205
3,Anton Nikitin,1971,82.45,190,82.5,M,Антон Никитин,B,Single-ply,190
4,Sergey Balandin,1962,79.3,175,82.5,M,Сергей Баландин,B,Single-ply,175
5,Altorshakh Izmailov,1972,81.6,170,82.5,M,Алторшах Измаилов,B,Single-ply,170
6,Pavel Rysenkov,1978,81.65,165,82.5,M,Павел Рысенков,B,Single-ply,165
7,Sergey Stukov,1982,79.05,157.5,82.5,M,Сергей Стуков,B,Single-ply,157.5
DQ,Kirill Stetsenko,1978,81.15,,82.5,M,Кирилл Стеценко,B,Single-ply,
DQ,Valeriy Lysyuk,1981,81.3,,82.5,M,Валерий Лысюк,B,Single-ply,
DQ,Ernest Gazaryan,1979,77.4,,82.5,M,Эрнест Газарян,B,Single-ply,
1,Aleksey Ryzhov,1974,89.15,242.5,90,M,Алексей Рыжов,B,Single-ply,242.5
2,Dmitriy Orel,1970,88.8,232.5,90,M,Дмитрий Орел,B,Single-ply,232.5
3,Ilya Gorchakov,1981,87.75,220,90,M,Илья Горчаков,B,Single-ply,220
4,Vladimir Volkov,1959,89.3,220,90,M,Владимир Волков,B,Single-ply,220
5,Sergey Kurochkin,1975,87.8,210,90,M,Сергей Курочкин,B,Single-ply,210
6,Mikhail Pivovarov,1975,87.5,200,90,M,Михаил Пивоваров,B,Single-ply,200
7,Sergey Speranskiy,1975,87.2,190,90,M,Сергей Сперанский,B,Single-ply,190
8,Mikhail Peshekhonov,1971,87.45,182.5,90,M,Михаил Пешехонов,B,Single-ply,182.5
9,Aleksey Kocheshkov,1976,88.85,175,90,M,Алексей Кочешков,B,Single-ply,175
10,Igor Rachkov,1965,86.55,165,90,M,Игорь Рачков,B,Single-ply,165
11,Aleksandr Lipatov,1976,87.9,160,90,M,Александр Липатов,B,Single-ply,160
1,Vladimir Lisitskiy,1970,99.45,215,100,M,Владимир Лисицкий,B,Single-ply,215
2,Sergey Gromov,1966,98.5,212.5,100,M,Сергей Громов,B,Single-ply,212.5
3,Valentin Makarov,1967,99.1,210,100,M,Валентин Макаров,B,Single-ply,210
4,Mikhail Timokhin,1980,98.95,205,100,M,Михаил Тимохин,B,Single-ply,205
5,Dmitriy Krasilnikov,1975,95.9,200,100,M,Дмитрий Красильников,B,Single-ply,200
6,Galitskin,1963,99.2,180,100,M,Галицкин,B,Single-ply,180
7,Gennadiy Yakovlev,1968,93.25,175,100,M,Геннадий Яковлев,B,Single-ply,175
8,Nikolay Shashkov,1980,96.85,175,100,M,Николай Шашков,B,Single-ply,175
9,Aleksandr Gusev,1974,94.85,170,100,M,Александр Гусев,B,Single-ply,170
10,Aleksandr Bauer,1968,97.15,170,100,M,Александр Бауэр,B,Single-ply,170
1,Dmitriy Ryskalenko,1974,102.25,217.5,110,M,Дмитрий Рыскаленко,B,Single-ply,217.5
2,Vyacheslav Rakhmanov,1968,109.05,210,110,M,Вячеслав Рахманов,B,Single-ply,210
3,Aleksandr Knyazev,1971,109.5,205,110,M,Александр Князев,B,Single-ply,205
4,Sergey Turusov,1968,105.2,200,110,M,Сергей Турусов,B,Single-ply,200
5,Igor Malyanov,1980,108,190,110,M,Игорь Малянов,B,Single-ply,190
6,Grigoriy Sakharov,1977,108.25,180,110,M,Григорий Сахаров,B,Single-ply,180
1,Pavel Badyrov,1964,113.7,257.5,125,M,Павел Бадыров,B,Single-ply,257.5
2,Aleksey Samsonov,1974,114.35,250,125,M,Алексей Самсонов,B,Single-ply,250
3,Aleksandr Sergeev,1971,115.5,240,125,M,Александр Сергеев,B,Single-ply,240
4,Oleg Livshits,1973,111.55,220,125,M,Олег Лившиц,B,Single-ply,220
5,Vitaliy Kuznetsov,1973,118.4,220,125,M,Виталий Кузнецов,B,Single-ply,220
6,Lev Liberant,1970,111.35,215,125,M,Лев Либерант,B,Single-ply,215
7,Aleksandr Skorokhodov,1973,115.25,200,125,M,Александр Скороходов,B,Single-ply,200
8,Yuriy Panteleev,1975,119.15,200,125,M,Юрий Пантелеев,B,Single-ply,200
9,Oleg Sonchik,1974,111,195,125,M,Олег Сончик,B,Single-ply,195
