Place,Name,CyrillicName,BirthYear,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Event,Equipment,Sex
1,Andrey Malanichev,Андрей Маланичев,1977,130.1,460,295,410,1165,SBD,Single-ply,M
2,Nikolay Suslov,Николай Суслов,1979,119.65,420,280,362.5,1062.5,SBD,Single-ply,M
3,Femistoklis Lambrionidis,Фемистоклис Ламбрионидис,1985,133.65,405,280,372.5,1057.5,SBD,Single-ply,M
4,Aleksandr Drogobuzhev,Александр Дрогобужев,1975,117.45,420,287.5,347.5,1055,SBD,Single-ply,M
5,Aleksey Malunin,Алексей Малунин,1978,108.65,390,290,362.5,1042.5,SBD,Single-ply,M
6,Andrey Belyaev,Андрей Беляев,1983,100,410,260,370,1040,SBD,Single-ply,M
7,Mikhail Mochalov,Михаил Мочалов,1974,119.4,390,270,375,1035,SBD,Single-ply,M
8,Igor Gagin,Игорь Гагин,1969,138.7,430,265,340,1035,SBD,Single-ply,M
9,Oleg Gagin,Олег Гагин,1975,165.05,415,270,325,1010,SBD,Single-ply,M
10,Konstantin Pozdeev,Константин Поздеев,1984,100.7,400,235,370,1005,SBD,Single-ply,M
11,Maksim Korotkov,Максим Коротков,1974,123.4,400,270,300,970,SBD,Single-ply,M
12,Andrey Reshetnyak,Андрей Решетняк,1979,154,370,280,270,920,SBD,Single-ply,M
DQ,Aleksey Pominov,Алексей Поминов,1978,125.9,400,257.5,,,SBD,Single-ply,M
DQ,Vasiliy Omelchenko,Василий Омельченко,1973,117.35,,,,,SBD,Single-ply,M
DQ,Maxim Podtynnyy,Максим Подтынный,1972,129.65,,,,,SBD,Single-ply,M
