Place,Name,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Sex,CyrillicName,BirthYear,Event,Equipment
1,Andrey Malanichev,134.7,470,300,400,1170,M,Андрей Маланичев,1977,SBD,Single-ply
2,Nikolay Suslov,125.25,440,290,355,1085,M,Николай Суслов,1979,SBD,Single-ply
3,Andrey Belyaev,100.05,425,290,355,1070,M,Андрей Беляев,1983,SBD,Single-ply
4,Maxim Barkhatov,117.2,415,275,375,1065,M,Максим Бархатов,1981,SBD,Single-ply
5,Igor Gagin,134.15,430,285,340,1055,M,Игорь Гагин,1969,SBD,Single-ply
6,Femistoklis Lambrionidis,142.55,410,295,350,1055,M,Фемистоклис Ламбрионидис,1985,SBD,Single-ply
7,Aleksandr Drogobuzhev,118.8,405,280,362.5,1047.5,M,Александр Дрогобужев,1975,SBD,Single-ply
8,Oleg Gagin,166.9,440,280,325,1045,M,Олег Гагин,1975,SBD,Single-ply
9,Mikhail Mochalov,116.85,385,277.5,377.5,1040,M,Михаил Мочалов,1974,SBD,Single-ply
10,Vasiliy Omelchenko,120.05,400,275,355,1030,M,Василий Омельченко,1973,SBD,Single-ply
11,Konstantin Pozdeev,101.6,415,255,350,1020,M,Константин Поздеев,1984,SBD,Single-ply
12,Maxim Podtynnyy,122.4,400,220,350,970,M,Максим Подтынный,1972,SBD,Single-ply
