Place,,,,BirthYear,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg
1,Молчанова Светлана,,,1983,46.55,60,65,-70,65,-35,-35,37.5,-42.5,37.5,75,82.5,87.5,87.5,190
2,Исаева Татьяна,,,1991,46.8,60,65,-67.5,65,40,40,-42.5,-42.5,40,72.5,77.5,82.5,82.5,187.5
,,,,,,,,,,,,,,,,,,,
1,Верменюк Валентина,,,1986,52,110,117.5,125,125,80,80,-85,-85,80,135,145,155,155,360
2,Макарова Дарья,,,1996,51.6,87.5,-95,97.5,97.5,55,55,57.5,-60,57.5,120,-127.5,-127.5,120,275
3,Григорьева Ксения,,,1988,51.4,60,70,75,75,37.5,37.5,40,-42.5,40,90,97.5,-102.5,97.5,212.5
4,Коцюба Арина,,,1992,51.35,65,70,-77.5,70,-25,-25,30,-35,30,75,82.5,-92.5,82.5,182.5
5,Жданова Мария,,,1997,51.6,65,70,72.5,72.5,27.5,27.5,32.5,-35,32.5,65,70,-77.5,70,175
6,Боброва Надежда,,,1992,51.6,55,-60,-60,55,40,40,45,-47.5,45,55,62.5,70,70,170
-,Ткаченко Ольга,,,1987,51.25,,,,,40,40,45,-47.5,45,,,,-,
-,Попова Олеся,,,1988,51.25,,,,,40,40,-45,45,45,,,,-,
-,Малова Алёна,,,1993,52,,,,,60,60,65,-68.5,65,,,,-,
,,,,,,,,,,,,,,,,,,,
1,Базыль Валентина,,,1995,55.85,100,112.5,117.5,117.5,50,50,52.5,-55,52.5,110,120,125,125,295
2,Тадюкова Анастасия,,,1994,55.95,95,105,107.5,107.5,50,50,52.5,55,55,-110,117.5,-120,117.5,280
3,Сидоренко Юлия,,,1989,54.85,85,92.5,97.5,97.5,42.5,42.5,-47.5,-47.5,42.5,110,117.5,122.5,122.5,262.5
4,Барашко Яна,,,1998,57,80,85,90,90,50,50,52.5,-55,52.5,100,-115,115,115,257.5
5,Михиенко Екатерина,,,1996,56.2,-65,70,77.5,77.5,37.5,37.5,40,42.5,42.5,80,87.5,92.5,92.5,212.5
6,Ганьжина Ксения,,,1992,55.55,65,-67.5,-67.5,65,35,35,37.5,42.5,42.5,75,-85,90,90,197.5
-,Герасименко Елена,,,1966,53.55,,,,,-72.5,-72.5,72.5,-75,72.5,,,,-,
-,Кольчурина Ксения,,,1987,55.85,,,,,-67.5,-67.5,70,-75,70,,,,-,
-,Касьянова Ирина,,,1994,56.05,,,,,45,45,47.5,-50,47.5,,,,-,
-,Алексанова Алина ,,,1988,56.5,,,,,67.5,67.5,,,67.5,,,,-,
-,Токарева Ольга,,,1986,56.9,,,,,40,40,42.5,45,45,,,,-,
,,,,,,,,,,,,,,,,,,,
1,Масленникова Оксана,,,1981,62.95,-110,110,-117.5,110,70,70,75,-80,75,110,120,130,130,315
2,Конькова Анна,,,1981,62.4,80,90,-100,90,60,60,65,-70,65,110,120,130,130,285
3,Морозова Наталья,,,1997,61.05,80,-90,-95,80,55,55,60,-62.5,60,105,120,130,130,270
4,Писарькова Дарья,,,2000,58,-75,75,82.5,82.5,50,50,55,-57.5,55,85,-92.5,100,100,237.5
5,Лаврененко Наталия,,,1992,59.5,-75,75,-77.5,75,35,35,-42.5,-42.5,35,90,100,107.5,107.5,217.5
6,Колупахина Анастасия,,,1997,61.05,70,77.5,-80,77.5,40,40,47.5,-50,47.5,80,87.5,-100,87.5,212.5
