Name,Age,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Squat4Kg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Bench4Kg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,Deadlift4Kg,TotalKg,Equipment,Sex,Event,Place
Allen Mao,25,M-OR,89.2,90,185,200,210,210,,130,142.5,-150,142.5,,260,275,285,285,,637.5,Wraps,M,SBD,1
Andy Kaladelfos,34,F-OR,71.1,75,80,87.5,95,95,,50,55,-60,55,,100,110,-120,110,,260,Wraps,F,SBD,3
Anthony Cooke,20,M-OR,87.9,90,162.5,175,180,180,,107.5,120,125,125,,180,-200,200,200,,505,Wraps,M,SBD,4
Anthony Vloedmans,29,M-OR,98.6,100,225,237.5,250,250,,120,130,-137.5,130,,250,-270,-270,250,,630,Wraps,M,SBD,1
Bev Gibson,44,F-OR,72.8,75,-95,-100,100,100,,55,60,62.5,62.5,,125,130,-137.5,130,,292.5,Wraps,F,SBD,2
Brandon Greco,22,M-OR,105.8,110,225,232.5,245,245,,127.5,135,140,140,,260,272.5,280,280,,665,Wraps,M,SBD,2
Brett Carruthers,30,M-OR,78.2,82.5,195,210,-225,210,,110,120,127.5,127.5,,225,240,255,255,,592.5,Wraps,M,SBD,1
Bryan Mckenna,25,M-OR,93.3,100,167.5,182.5,197.5,197.5,,115,127.5,135,135,,192.5,210,225,225,,557.5,Wraps,M,SBD,2
Chris Hall,30,M-OR,59.4,60,105,115,-125,115,,70,-80,-80,70,,130,145,170,170,,355,Wraps,M,SBD,1
Dean Carrol,38,M-OR,87.9,90,220,225,-235,225,,-140,-140,-140,,,235,245,255,255,,,Wraps,M,SBD,DQ
Ellie Burscough,29,F-OR,81.2,82.5,112.5,125,135,135,,65,70,-75,70,,125,135,145,145,,350,Wraps,F,SBD,1
Gabrielle Nicholas,17,F-OR,86.6,90,70,75,80,80,,40,45,-47.5,45,,90,100,105,105,110,230,Wraps,F,SBD,1
Hamsih Young,32,M-OR,89,90,215,-220,-225,215,,125,-135,-135,125,,225,235,-240,235,,575,Wraps,M,SBD,3
Jason Pagen,32,M-OR,108.1,110,230,242.5,-250,242.5,,-140,145,150,150,,260,270,280,280,,672.5,Wraps,M,SBD,1
Jess Furner,30,M-OR,80.6,82.5,180,192.5,-202.5,192.5,,87.5,95,-97.5,95,,175,190,-195,190,,477.5,Wraps,M,SBD,2
Jiville Latu,22,F-OR,67.3,67.5,135,145,-155,145,,62.5,70,75,75,,160,177.5,187.5,187.5,,407.5,Wraps,F,SBD,1
Josh Sugden,23,M-OR,108.4,110,240,-250,260,260,,150,157.5,-162.5,157.5,,240,-250,-250,240,,657.5,Wraps,M,SBD,3
Kobi Gumkowski,14,M-OR,73,75,130,140,150,150,160,67.5,75,80,80,85,140,160,175,175,,405,Wraps,M,SBD,1
Liam Bradford,22,M-OR,89.4,90,220,-237.5,-237.5,220,,-130,130,-140,130,,250,260,270,270,,620,Wraps,M,SBD,2
Matt Stopel,25,M-OR,133.5,140,230,-240,240,240,,145,155,-162.5,155,,-250,265,-285,265,,660,Wraps,M,SBD,1
Michael Watt,33,M-OR,67.3,67.5,170,185,-192.5,185,,125,132.5,-137.5,132.5,,190,210,-222.5,210,,527.5,Wraps,M,SBD,1
Michelle Warren,54,F-OR,65,67.5,120,-130,130,130,,62.5,67.5,70,70,,120,130,137.5,137.5,,337.5,Wraps,F,SBD,3
Naomi Van Burg,29,F-OR,59.7,60,92.5,100,102.5,102.5,,50,-55,55,55,,112.5,115,117.5,117.5,,275,Wraps,F,SBD,1
Pip Brown,28,F-OR,67.2,67.5,145,152.5,160,160,,70,75,80,80,,140,155,165,165,,405,Wraps,F,SBD,2
Seline Magnussen,17,F-OR,56,56,100,107.5,-112.5,107.5,,52.5,55,-57.5,55,,105,112.5,117.5,117.5,,280,Wraps,F,SBD,1
Victoria Hoskin,35,F-OR,74.6,75,115,122.5,130,130,,60,-65,-65,60,,125,135,-142.5,135,,325,Wraps,F,SBD,1
