  success fail             ,,,,,,
,,Oct,Feb,Mar,,
2 captures28 Oct 2007 - 7 Feb 2008 ,  , ,7,,,
,,2007,2008,2009,,
"About this capture COLLECTED BY Organization: Alexa Crawls Starting in 1996, Alexa Internet has been donating their crawl data to the Internet Archive. Flowing in every day, these data are added to the Wayback Machine after an embargo period. Collection: 52_crawl this data is currently not publicly accessible. TIMESTAMPS ",,,,,,
,,,,,,
World Championships,,,,,,
,,,,,,
World Bench Championships 2002 Finland                                                  go back,,,,,,
,,,,,,
,name,,,1,2,3
,,,,,,
52,Rintala Kirsi,FIN,Open Ladies,"107,5","113,0","- 117,5"
52,Watson Leslie,GB,Open Ladies,"60,0","65,0","67,5"
60,PGBkila Virpi,FIN,Open Ladies,"-92,5","95,0","98,0"
"67,5",Zimmer Michaela,AUT,Open Ladies,"130,0","137,5","-140,0"
"67,5",Kasvi Tina,FIN,Open Ladies,"100,0","105,0","107,5"
"82,5",Hatanpää Taina,FIN,Open Ladies,"115,0","120,0","125,0"
90,Rosen Anna,SWE,Open Ladies,"130,0","-140,0","-140,0"
,,,,,,
60,Dujardin Yveline,BEL,40-44 Ladies,"100,0","107,5","112,5"
"67,5",Kusau Eva,GER,65-69 Ladies,"47,5 -","52,5 -","-56,0"
,,,,,,
,,,,,,
75,Blake Hayward,USA,16-17 Men,"147,5","182,5","182,5"
75,Todavcics Janis,LAT,16-17 Men,"130,0","135,0","140,0"
"82,5",Marcis Pauls,LAT,16-17 Men,"120,0","-130,0","135,0"
140,Mäkinen Teemu,FIN,16-17 Men,"100,0","120,0","145,0"
"67,5",Niskanen Juhani,FIN,18-19 Men,"-145,5","145,5","150,0"
"82,5",Berzins Kristaps,LAT,18-19 Men,"120,0","130,0","140,0"
100,Eneslätt Henrik,SWE,18-19 Men,"-192,5","-206,0","-206,0"
,,,,,,
52,Sabarovs Mihails,LAT,Junior Men,"95,0","102,5","102,5"
"82,5",Laudams Uldis,LAT,Junior Men,"175,0","185,0","192,5"
90,Hanson David,USA,Junior Men,"182,5","-200,0","200,0"
100,Toivanen Hannes,FIN,Junior Men,"255,0","265,0","265,0"
100,Cirulis Ivars,LAT,Junior Men,"240,0","257,5","-257,5"
100,Micek David,GER,Junior Men,"175,0","185,0","190,0"
100,Säteri Janne,FIN,Junior Men,"-180,0","-180,0","180,0"
110,Greier Daniel,AUT,Junior Men,"220,0","227,5","-233,0"
110,Hartikka Jarno,FIN,Junior Men,"215,0","225,0","230,0"
110,Ristiluoma Pertti,FIN,Junior Men,"210,0","220,0","232,5"
125,Rantanen Tomi,FIN,Junior Men,"290,0","300,0","305,5"
,,,,,,
60,Werner Uwe,GER,40-44 Men,"135,0","-145,0","145,0"
"67,5",Herzog Philippe,CH,40-44 Men,"175,0","180,0","183,0"
75,Berthold Rien,GER,40-44 Men,"140,0","155,0","-162,5"
100,Brasseur Robert,FRA,40-44 Men,"230,0","-240,0","240,0"
110,Hiissa harri,FIN,40-44 Men,"210,0","220,0",0
110,Swinnen Philippe,BEL,40-44 Men,"180,0","-190,0",0
110,Valbergs Jevgenijus,LAT,40-44 Men,"160,0","175,0","-180,0"
125,Mrosek Andreas,GER,40-44 Men,"220,0","232,5","240,0"
125,Tamminen Pekka,FIN,40-44 Men,"-230,0","230,0","237,5"
125,Nadin Geoff,GB,40-44 Men,"185,0","190,0","195,0"
140,Böltcher Mario,GER,40-44 Men,"180,0","230,0","-245,5"
140,Manno Tom,USA,40-44 Men,"282,5","300,0","317,5"
,,,,,,
90,Eugeniusz Mehlich,POL,45-49 Men,"165,0","170,0","175,0"
90,Suurkivi Rain,EST,45-49 Men,"130,0","150,0","175,0"
100,Buhl Heinz,AUT,45-49 Men,"185,0","200,0",0
100,Ruiz Raul,USA,45-49 Men,"152,5","172,5","185,0"
110,Siska Jan,SVK,45-49 Men,"165,0","-175,0",0
125,Pevko Viktors,LAT,45-49 Men,"240,0","257,5","-262,5"
125,Walker John,GB,45-49 Men,"200,0","210,0",0
125,Williams Doug,GB,45-49 Men,"180,0","200,0","-207,5"
140,Pietz Jurgen,GER,45-49 Men,"230,0","-242,5",0
140,Lindström Kaj,FIN,45-49 Men,"180,0","190,0","-200,0"
140,Paavilainen Veikko,EST,45-49 Men,"100,0",0,0
,,,,,,
"67,5",Guercio Louis,FRA,50-54 Men,"105,0","110,0","117,5"
"67,5",Sviderskiy Vladimir,RUS,50-54 Men,"105,0","110,0","115,0"
"82,5",Koulisnikov Ivan,RUS,50-54 Men,"120,0","125,0",0
90,Leskenmaa Risto,FIN,50-54 Men,"120,0","160,0","180,0"
100,Teslar Jozef,SVK,50-54 Men,"175,0","185,0","190,0"
100,Krger Klaus,GER,50-54 Men,"175,0","180,0","187,5"
100,Dovek Didier,FRA,50-54 Men,"145,0","-155,0","-155,0"
110,Pöllendorfer Josef,AUT,50-54 Men,"170,0","180,0","185,0"
140,Schröder Meinhard,GER,50-54 Men,"210,0","-235,0","240,5"
,,,,,,
"67,5",Wintorscheidt Joachim,GER,55-59 Men,"85,0","90,0","95,0"
75,Haar Franz,AUT,55-59 Men,"130,0","-140,0","140,0"
90,Götz Roland,GER,55-59 Men,"150,0","160,0","-162,5"
90,Cuny Ronald,USA,55-59 Men,"145,0","-150,0","150,0"
100,Vicari Rico,CH,55-59 Men,"172,5","177,5","177,5"
,,,,,,
90,Stolz Alfred,AUT,60-64 Men,"165,0","-172,5","180,0"
90,Nougoumanov Valeri,RUS,60-64 Men,"140,0","150,0","-155,0"
110,Lebolay Marc,FRA,60-64 Men,"180,0","-187,5","187,5"
110,Detter Leo,AUT,60-64 Men,"155,0","160,0","160,0"
,,,,,,
60,Zalcman Adrian,AUS,Open Men,"107,5","115,0","117,5"
75,Garcia Jean-Luc,FRA,Open Men,"200,0","-209,0","209,0"
75,Pentti Jani,FIN,Open Men,"190,0","205,0","-205,5"
,,,,,,
