Name,Sex,Country,Event,Equipment,Age,BodyweightKg,Division,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Bench4Kg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,Deadlift4Kg,TotalKg,Place
Filip Pilný,M,Czechia,B,Multi-ply,18,89.1,T18-19,90,,,,,120,-130,-130,120,,,,,,,120,1
Adrian Kopania,M,Poland,B,Multi-ply,23,81.5,Jun,82.5,,,,,-210,-220,-220,,,,,,,,,DQ
Tomáš Kríž,M,Slovakia,B,Multi-ply,23,98.8,Jun,100,,,,,-270,-270,270,270,,,,,,,270,1
Krzysztof Wolszczak,M,Poland,B,Multi-ply,31,74.5,Open,75,,,,,130,142.5,150,150,,,,,,,150,1
Kamil Lipiński,M,Poland,B,Multi-ply,20,89.9,Open,90,,,,,170,-180,-180,170,,,,,,,170,3
Patryk Koziel,M,Poland,B,Multi-ply,29,89.4,Open,90,,,,,200,215,-240,215,,,,,,,215,2
Viesturs Eidemanis,M,Latvia,B,Multi-ply,36,89.9,Open,90,,,,,230,-240,-242.5,230,,,,,,,230,1
Krzysztof Zakrzewski,M,Poland,B,Multi-ply,38,98.1,Open,100,,,,,-235,245,250,250,,,,,,,250,1
Franciszek Szabluk,M,Poland,B,Multi-ply,60,96,M60-64,100,,,,,205,215,-235,215,235,,,,,,215,1
Honorata Kaczorowska,F,Poland,B,Raw,31,63.5,Open,67.5,,,,,110,118,120.5,120.5,,,,,,,120.5,1
Marzena Janzer,F,Poland,B,Raw,42,74.8,M40-44,75,,,,,80,85,-90,85,,,,,,,85,1
Bettina Razzouki-Korkis,F,Poland,B,Raw,51,54.5,M50-54,56,,,,,60,68,-70,68,,,,,,,68,1
Krystyna Puzio,F,Poland,B,Raw,51,86.5,M50-54,90,,,,,40,47.5,52.5,52.5,,,,,,,52.5,1
Kacper Koleśnik,M,Poland,B,Raw,15,59.4,T13-15,60,,,,,65,-70,75,75,-78,,,,,,75,1
Ádám Jakubek,M,Slovakia,B,Raw,15,97.9,T13-15,100,,,,,102.5,107.5,110,110,,,,,,,110,1
Jan Kasper,M,Czechia,B,Raw,16,77,T16-17,82.5,,,,,90,100,-105,100,,,,,,,100,2
Rafal Żuk,M,Poland,B,Raw,16,80.2,T16-17,82.5,,,,,100,115,120,120,,,,,,,120,1
Arkadiusz Nowak,M,Poland,B,Raw,19,72,T18-19,75,,,,,120,-140,-140,120,,,,,,,120,1
Mateusz Kaczmarek,M,Poland,B,Raw,23,65.5,Jun,67.5,,,,,110,-115,115,115,,,,,,,115,1
Adrian Kopania,M,Poland,B,Raw,23,81.5,Jun,82.5,,,,,170,180,-190,180,,,,,,,180,1
Albert Sledz,M,Poland,B,Raw,22,89.9,Jun,90,,,,,150,160,-162.5,160,,,,,,,160,1
Michal Potocki,M,Poland,B,Raw,23,89.5,Jun,90,,,,,140,150,-162.5,150,,,,,,,150,2
Dawid Anchimowicz,M,Poland,B,Raw,23,93.5,Jun,100,,,,,100,120,125,125,,,,,,,125,2
Tomáš Kríž,M,Slovakia,B,Raw,23,98.8,Jun,100,,,,,195,-207.5,-207.5,195,,,,,,,195,1
Jakub Sarnicki,M,Poland,B,Raw,20,101.7,Jun,110,,,,,145,-155,-155,145,,,,,,,145,1
Bartosz Slodek,M,Poland,B,Raw,39,67.4,Open,67.5,,,,,110,115,120,120,,,,,,,120,2
Damian Gordon,M,Poland,B,Raw,26,68.9,Open,75,,,,,140,145,147.5,147.5,,,,,,,147.5,1
Radoslaw Brzoza,M,Poland,B,Raw,30,82,Open,82.5,,,,,135,145,155,155,,,,,,,155,1
Patryk Koziel,M,Poland,B,Raw,29,89.4,Open,90,,,,,190,-200,205,205,,,,,,,205,2
Robert Kanclerz,M,Poland,B,Raw,38,89.2,Open,90,,,,,190,200,205,205,,,,,,,205,1
Przemyslaw Komarski,M,Poland,B,Raw,31,89.9,Open,90,,,,,140,150,-155,150,,,,,,,150,4
Viesturs Eidemanis,M,Latvia,B,Raw,26,89.9,Open,90,,,,,195,200,205,205,,,,,,,205,3
Róbert Svanczár,M,Slovakia,B,Raw,31,99.9,Open,100,,,,,185,195,-202.5,195,,,,,,,195,2
Mārtiņš Apškalns,M,Latvia,B,Raw,31,97.5,Open,100,,,,,220,227.5,230,230,,,,,,,230,1
Tomasz Domaradzki,M,Poland,B,Raw,39,106.2,Open,110,,,,,155,170,180,180,,,,,,,180,1
Rafal Wójcik,M,Poland,B,Raw,29,116.3,Open,125,,,,,165,175,-187.5,175,,,,,,,175,2
Igor Pirins,M,Latvia,B,Raw,34,112.2,Open,125,,,,,210,217.5,-225,217.5,,,,,,,217.5,1
Andrejs Mūrnieks,M,Latvia,B,Raw,35,139.9,Open,140,,,,,275,285,-292.5,285,,,,,,,285,1
Marek Makarewicz,M,Poland,B,Raw,37,127.5,Open,140,,,,,210,-220,220,220,,,,,,,220,2
Adam Švehla,M,Czechia,B,Raw,35,135,Open,140,,,,,200,207.5,-212.5,207.5,,,,,,,207.5,3
Krzysztof Klimaszewski,M,Poland,B,Raw,40,84.2,M40-44,90,,,,,140,150,167.5,167.5,,,,,,,167.5,1
Andis Kaspars,M,Latvia,B,Raw,40,120.7,M40-44,125,,,,,180,190,-200,190,,,,,,,190,1
Milan Suk,M,Czechia,B,Raw,53,79.8,M50-54,82.5,,,,,152.5,157.5,-160,157.5,,,,,,,157.5,1
Ladislav Beňo,M,Slovakia,B,Raw,50,109,M50-54,110,,,,,120,127.5,132.5,132.5,,,,,,,132.5,1
Marian Knuth,M,Poland,B,Raw,58,98.5,M55-59,100,,,,,105,110,-115,110,,,,,,,110,1
Piotr Redzik,M,Poland,B,Raw,59,125.2,M55-59,140,,,,,145,155,160.5,160.5,165,,,,,,160.5,1
Antoni Kaliński,M,Poland,B,Raw,63,67,M60-64,67.5,,,,,105,-110,110,110,,,,,,,110,1
Zbigniew Koper,M,Poland,B,Raw,63,74.9,M60-64,75,,,,,90,97.5,102.5,102.5,,,,,,,102.5,1
Ireneusz Czupryn,M,Poland,B,Raw,60,79.9,M60-64,82.5,,,,,85,90,-95,90,,,,,,,90,1
Imrich Činčura,M,Slovakia,B,Raw,60,99.2,M60-64,100,,,,,150,160,-165,160,,,,,,,160,1
Ryszard Śliwiński,M,Poland,B,Raw,66,73.9,M65-69,75,,,,,-65,65,70,70,,,,,,,70,1
Jan Luka,M,Poland,B,Raw,67,82.3,M65-69,82.5,,,,,80,-90,90,90,,,,,,,90,1
Miroslaw Orlowski,M,Poland,B,Raw,72,96.5,M70-74,100,,,,,130,135,-140.5,135,,,,,,,135,1
Wiesaw Dąbrowski,M,Poland,B,Raw,76,74.5,M75-79,75,,,,,40,50,55,55,,,,,,,55,1
Andis Kaspars,M,Latvia,D,Multi-ply,40,120.7,OPEN,125,,,,,,,,,,280,300,-315,300,,300,1
Cirulis Aleksandrs,M,Latvia,D,Multi-ply,38,115.3,OPEN,125,,,,,,,,,,220,230,-235,230,,230,2
Libor Hurdálek,M,Czechia,D,Multi-ply,62,99.8,M60-64,100,,,,,,,,,,200,215,-231,215,,215,1
Tomasz Miloch,M,Poland,D,Multi-ply,33,75,OPEN,75,,,,,,,,,,220,240,262.5,262.5,,262.5,1
Erik Jaškanič,M,Slovakia,D,Multi-ply,24,108.9,OPEN,110,,,,,,,,,,360,-375,-375,360,,360,1
Joanna Gawron,F,Poland,D,Raw,23,58.6,Jun,60,,,,,,,,,,120,130,-140,130,,130,1
Renata Zapała,F,Poland,D,Raw,22,73.2,Jun,75,,,,,,,,,,125,135,141,141,,141,1
Karolina Wójcik,F,Poland,D,Raw,28,59.9,Open,60,,,,,,,,,,105,112.5,-120,112.5,,112.5,1
Slávka Ratvajská,F,Slovakia,D,Raw,43,57,M40-44,60,,,,,,,,,,120,130,145,145,,145,1
