Place,Name,Equipment,Event,Sex,Division,WeightClassKg,Bench4Kg,Best3BenchKg,TotalKg
1,Filip Kranželić,Wraps,B,M,O,75,,80,80
2,Dominik Ded,Wraps,B,M,O,75,,70,70
1,Daniel Santini,Wraps,B,M,O,82.5,,140,140
2,Ivo Marinović,Wraps,B,M,O,82.5,,132.5,132.5
3,Andrija Čorba,Wraps,B,M,O,82.5,,120,120
4,Ivan Marciuš,Wraps,B,M,O,82.5,,105,105
5,Mario Kuš,Wraps,B,M,O,82.5,,100,100
6,Matej Bušić,Wraps,B,M,O,82.5,,90,90
1,Saša Deak,Wraps,B,M,O,90,,165,165
2,Dejan Kukavica,Wraps,B,M,O,90,,150,150
3,Dario Horvat,Wraps,B,M,O,90,,145,145
1,David Pjanić,Wraps,B,M,O,100,,150,150
2,Matija Fadiga,Wraps,B,M,O,100,,132.5,132.5
3,Dominik Gregurek,Wraps,B,M,O,100,,110,110
1,Srećko Martinić,Wraps,B,M,O,110,185,180,180
2,Ante Boras,Wraps,B,M,O,110,,170,170
3,Miki Matulović,Wraps,B,M,O,110,,130,130
DQ,Armin Džibrić,Wraps,B,M,O,110,,,
1,Petar Francki,Wraps,B,M,O,125,,190,190
2,Damir Demić,Wraps,B,M,O,125,,150,150
3,Danijel Tuškan,Wraps,B,M,O,125,,150,150
1,Vladimir Galić,Wraps,B,M,O,125+,205,200,200
2,Vilijam Ded,Wraps,B,M,O,125+,,165,165
