Place,Name,Equipment,Event,Sex,Division,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,AgeClass
1,Luka Korpar,Raw,SBD,M,Subjunior,74,120,125,-130,125,-75,-75,75,75,150,160,167.5,167.5,367.5,17-19
2,Ivan Kozumplik,Raw,SBD,M,Subjunior,74,95,100,-110,100,65,-70,-75,65,120,130,140,140,305,17-19
1,Ivan Vidak,Raw,SBD,M,Subjunior,83,140,-160,165,165,115,-120,-120,115,200,215,225,225,505,17-19
1,Sejad Halilović,Raw,SBD,M,Subjunior,93,160,170,180,180,-145,145,-150,145,200,230,250,250,575,17-19
1,Gabriel Tkalčić,Raw,SBD,M,Subjunior,74,125,135,140,140,60,70,-80,70,-125,140,155,155,365,14-16
2,Borna Augustinović,Raw,SBD,M,Subjunior,74,100,110,117.5,117.5,90,95,-100,95,115,125,135,135,347.5,14-16
1,Kristijan Žrvnar,Raw,SBD,M,Subjunior,83,90,100,-107.5,100,70,75,-80,75,-140,140,145,145,320,14-16
1,Martin Starčević,Raw,SBD,M,Subjunior,120,120,140,150,150,-85,90,-100,90,120,140,155,155,395,14-16
1,Matej Bušić Daskijević,Raw,SBD,M,Junior,93,140,-155,170,170,110,120,125,125,190,200,210,210,505,
1,Blaž Frangež,Raw,SBD,M,Junior,105,180,190,-195,190,130,135,140,140,220,-230,-230,220,550,
1,Milan Treskavica,Raw,SBD,M,Junior,120+,-210,210,230,230,150,170,-180,170,290,-310,,290,690,
1,Ivan Karas,Raw,SBD,M,Open,74,-120,-120,120,120,105,-115,-115,105,150,160,170,170,395,
2,Antonio Đuretec,Raw,SBD,M,Open,74,100,110,-130,110,-90,90,-105,90,120,140,150,150,350,
1,Nino Toplek,Raw,SBD,M,Open,105,220,-225,,220,145,150,155,155,260,265,275,275,650,
2,Ante Boras,Raw,SBD,M,Open,105,200,-220,220,220,150,155,-162.5,155,250,260,-277.5,260,635,
3,Marko Beg,Raw,SBD,M,Open,105,220,-230,-230,220,130,-145,-145,130,220,-230,240,240,590,
1,Uroš Sodec,Raw,SBD,M,Open,120,250,270,-280,270,190,200,205,205,260,280,-300,280,755,
1,Sejfo Šehović,Raw,SBD,M,Masters 1,74,120,130,-137.5,130,90,100,105,105,150,170,185,185,420,
1,Patricia Januš,Raw,SBD,F,Open,57,-75,75,-85,75,55,-60,-60,55,90,100,-110,100,230,
1,Silvija Šoprek,Raw,SBD,F,Open,72,-80,80,90,90,45,50,-60,50,90,105,120,120,260,
