WeightClassKg,Sex,Division,Event,Equipment,Name,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Place
67.5,M,Open,SBD,Multi-ply,Brian Schwab,328.85,240.4,272.16,841.41,1
67.5,M,Open,SBD,Multi-ply,Tony Haaparanta,326.59,174.63,258.55,759.77,2
67.5,M,Open,SBD,Multi-ply,Roman Myruqin,278.96,170.1,226.8,675.85,3
75,M,Open,SBD,Multi-ply,Al Caslow,337.93,219.99,283.5,841.41,1
75,M,Open,SBD,Multi-ply,Jason McElroy,333.39,172.37,260.82,766.57,2
82.5,M,Open,SBD,Multi-ply,Brad Vargason,385.55,256.28,294.84,936.67,1
82.5,M,Open,SBD,Multi-ply,Angelo Bertnalli,344.73,244.94,272.16,861.83,2
82.5,M,Open,SBD,Multi-ply,Joe Daugherty,340.19,215.46,285.76,841.41,3
82.5,M,Open,SBD,Multi-ply,Brian Tincher,,,,,DQ
82.5,M,Open,SBD,Multi-ply,Tony Ramos,328.85,,,,DQ
90,M,Open,SBD,Multi-ply,Shawn Frankl,421.84,344.73,322.05,1088.62,1
90,M,Open,SBD,Multi-ply,Sergey Naleykin,428.64,290.3,328.85,1047.8,2
90,M,Open,SBD,Multi-ply,Adam Driggers,378.75,276.69,294.84,950.28,3
90,M,Open,SBD,Multi-ply,Phil Harrington,399.16,256.28,290.3,945.74,4
90,M,Open,SBD,Multi-ply,Mike Maxwell,331.12,229.06,258.55,818.73,5
90,M,Open,SBD,Multi-ply,Sam Byrd,476.27,,,,DQ
100,M,Open,SBD,Multi-ply,Michael Schwanke,412.77,285.76,342.46,1040.99,1
100,M,Open,SBD,Multi-ply,Konstantin Milyutin,390.09,249.48,308.44,948.01,2
100,M,Open,SBD,Multi-ply,Tatu Avola,,,,,DQ
100,M,Open,SBD,Multi-ply,Danny Blankenship,,,,,DQ
100,M,Open,SBD,Multi-ply,Matt Kroczaleski,,,,,DQ
110,M,Open,SBD,Multi-ply,Greg Panora,476.27,340.19,362.87,1179.34,1
110,M,Open,SBD,Multi-ply,Justin Redding,435.45,274.42,303.91,1013.78,2
110,M,Open,SBD,Multi-ply,Mike Taylor,390.09,290.3,308.44,988.83,3
110,M,Open,SBD,Multi-ply,Shawn Nutter,387.82,265.35,297.1,950.28,4
110,M,Open,SBD,Multi-ply,Vinnie Cook,367.41,294.84,283.5,945.74,5
110,M,Open,SBD,Multi-ply,Brian Carroll,,,,,DQ
110,M,Open,SBD,Multi-ply,Luke Edwards,,,,,DQ
110,M,Open,SBD,Multi-ply,Joe Norman,442.25,272.16,319.78,,DQ
125,M,Open,SBD,Multi-ply,Chuck Vogelpohl,498.95,285.76,378.75,1163.46,1
125,M,Open,SBD,Multi-ply,Scott Yard,433.18,362.87,317.51,1113.57,2
125,M,Open,SBD,Multi-ply,Zach Cole,453.59,306.17,340.19,1099.96,3
125,M,Open,SBD,Multi-ply,Jeremiah Myers,396.89,317.51,340.19,1054.6,4
125,M,Open,SBD,Multi-ply,Joonas Rantanen,428.64,310.71,310.71,1050.07,5
125,M,Open,SBD,Multi-ply,Scott Mount,430.91,294.84,294.84,1020.58,6
125,M,Open,SBD,Multi-ply,Allan Mehan,,,,,DQ
140,M,Open,SBD,Multi-ply,Matt Wenning,467.2,328.85,306.17,1102.23,1
140,M,Open,SBD,Multi-ply,Mike Brown,408.23,181.44,340.19,929.86,2
140,M,Open,SBD,Multi-ply,Mike White,142.88,281.23,272.16,696.26,3
140,M,Open,SBD,Multi-ply,Mark Bell,430.91,,,,DQ
140,M,Open,SBD,Multi-ply,Marc Bartley,,,,,DQ
140,M,Open,SBD,Multi-ply,Anthony Boloqnone,,,,,DQ
140,M,Open,SBD,Multi-ply,Matt Wilson,,,,,DQ
140,M,Open,SBD,Multi-ply,Paul Childress,,,,,DQ
140+,M,Open,SBD,Multi-ply,Donnie Thompson,,,,,DQ
140+,M,Open,SBD,Multi-ply,Chad Aichs,,,,,DQ
140+,M,Open,SBD,Multi-ply,Matt Smith,526.17,,,,DQ
60,F,Juniors,SBD,Multi-ply,Jean Forgatsch,138.35,99.79,136.08,374.21,1
60,F,Open,SBD,Multi-ply,Amy Weisenberger,267.62,158.76,226.8,653.17,1
67.5,F,Open,SBD,Multi-ply,Melissa Henry,170.1,106.59,156.49,433.18,1
75,F,Open,SBD,Multi-ply,Lisa Wheeler,195.04,102.06,195.04,492.15,1
90,M,Amateur Juniors,SBD,Multi-ply,Abe Harrod,340.19,213.19,263.08,816.47,1
140,M,Amateur Juniors,SBD,Multi-ply,David Brown,111.13,142.88,226.8,480.81,2
140,M,Amateur Juniors,SBD,Multi-ply,David Damminga,297.1,201.85,283.5,782.45,1
140,M,Amateur Juniors,SBD,Multi-ply,Sean L'Italien,408.23,,,,DQ
140+,M,Amateur Juniors,SBD,Multi-ply,Aaron Gibes,385.55,235.87,299.37,920.79,1
90,M,Amateur Open,SBD,Multi-ply,Jason Adams,342.46,235.87,274.42,852.75,1
90,M,Amateur Open,SBD,Multi-ply,Mike Hill,310.71,226.8,278.96,816.47,2
90,M,Amateur Open,SBD,Multi-ply,Adam Trout,317.51,181.44,256.28,755.23,3
100,M,Amateur Open,SBD,Multi-ply,Josh Murphy,365.14,215.46,274.42,855.02,1
100,M,Amateur Open,SBD,Multi-ply,Keith Taylor,317.51,192.78,272.16,782.45,2
100,M,Amateur Open,SBD,Multi-ply,Brian Yourist,281.23,206.38,288.03,775.64,3
110,M,Amateur Open,SBD,Multi-ply,Sean Donegan,385.55,265.35,292.57,943.47,1
110,M,Amateur Open,SBD,Multi-ply,Dain Soppelsa,374.21,283.5,,657.71,2
110,M,Amateur Open,SBD,Multi-ply,Dalen Randa,351.53,276.69,,628.23,3
125,M,Amateur Open,SBD,Multi-ply,Jari Rosendahl,419.57,288.03,342.46,1050.07,1
125,M,Amateur Open,SBD,Multi-ply,Mark Burrows,410.5,226.8,249.48,886.77,2
125,M,Amateur Open,SBD,Multi-ply,Mike Stuchiner,351.53,251.74,281.23,884.51,3
125,M,Amateur Open,SBD,Multi-ply,Charlie Telesco,356.07,233.6,274.42,864.09,5
125,M,Amateur Open,SBD,Multi-ply,Spence McKimmie,349.27,240.4,272.16,861.83,6
125,M,Amateur Open,SBD,Multi-ply,Patrick Schafer,340.19,238.14,272.16,850.49,7
125,M,Amateur Open,SBD,Multi-ply,Steve Flaming,328.85,226.8,310.71,866.36,4
125,M,Amateur Open,SBD,Multi-ply,Sean Schumm,317.51,192.78,297.1,807.39,8
140,M,Amateur Open,SBD,Multi-ply,David Suldivar,378.75,288.03,303.91,970.69,1
140,M,Amateur Open,SBD,Multi-ply,Andy Shields,326.59,317.51,276.69,920.79,2
140,M,Amateur Open,SBD,Multi-ply,Jason Pegg,362.87,20.41,249.48,632.76,3
