Division,WeightClassLBS,Event,Equipment,Sex,Name,Best3SquatLBS,Best3BenchLBS,Best3DeadliftLBS,TotalLBS,Place
Am Open,132,SBD,Multi-ply,F,Jean Forgatsch,320,210,305,835,1
Pro Open,123,SBD,Multi-ply,F,Natalie Carr,310,165,315,790,1
Pro Open,132,SBD,Multi-ply,F,Bianca Stone,380,220,355,955,1
Pro Open,165,SBD,Multi-ply,F,Kerry Sipos,355,290,380,1025,1
Pro Open,220,B,Multi-ply,M,Jon Elick,,665,,665,1
Pro Open,242,B,Multi-ply,M,Scott Schaeffer,,,,,DQ
Pro Open,275,B,Multi-ply,M,Steve Green,,,,,DQ
Am Masters,198,SBD,Multi-ply,M,Rick Hamsher,525,390,515,1430,1
Am Open,242,SBD,Multi-ply,M,David Kuck,575,535,525,1635,1
Am Open,275,SBD,Multi-ply,M,Alva Leisure,705,385,600,1690,1
Am Open,308,SBD,Multi-ply,M,Scott Ware,630,340,550,1520,1
Am Police,308,SBD,Multi-ply,M,Britt Fulk,,525,525,,DQ
Am Teen,308+,SBD,Multi-ply,M,Ian Esterline,550,220,405,1175,1
Pro Junior,308,SBD,Multi-ply,M,Chuck Fought,865,560,700,2125,1
Pro Open,198,SBD,Multi-ply,M,Donnie Perkins,625,405,520,1550,2
Pro Open,198,SBD,Multi-ply,M,Mike Maxwell,805,505,560,1870,1
Pro Open,242,SBD,Multi-ply,M,Ed Clark,825,,540,,DQ
Pro Open,275,SBD,Multi-ply,M,Spazz,680,420,525,1625,2
Pro Open,275,SBD,Multi-ply,M,Spence Mckimmie,835,605,590,2030,1
