Division,Age,Sex,Event,Equipment,Tested,WeightClassKg,Name,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Place
Teen 15-16,,M,SBD,Wraps,Yes,60,Chris Scala,59.42,61.23,45.36,136.08,242.67,1
Junior,,M,SBD,Wraps,Yes,75,Kevin Conrad,71.67,142.88,97.52,174.63,415.04,1
Open,,M,SBD,Multi-ply,Yes,82.5,Mike McGarvey,80.29,229.06,156.49,206.38,591.94,1
Submaster,,M,SBD,Wraps,Yes,82.5,Brad Markevicz,78.7,154.22,145.15,176.9,476.27,1
Submaster,,M,SBD,Multi-ply,Yes,82.5,John Schweikhard,81.19,183.7,163.29,199.58,546.58,1
Open,,M,SBD,Wraps,Yes,90,Shawn Pfister,88.9,204.12,124.74,251.74,580.6,1
Junior,,M,SBD,Wraps,Yes,90,Daniel Higgins,83.91,197.31,124.74,222.26,544.31,1
Teen 18-19,19,M,SBD,Wraps,Yes,90,Nicholas Sereni,88,140.61,92.99,185.97,419.57,1
Junior,,M,SBD,Multi-ply,No,90,Chris Sullivan,87.54,233.6,195.04,190.51,619.15,1
Open,,M,SBD,Multi-ply,Yes,100,Shawn Pollock,92.99,317.51,226.8,265.35,809.66,1
Open,,M,SBD,Multi-ply,Yes,100,Jim Jones,97.52,283.5,226.8,260.82,771.11,2
Open,,M,SBD,Multi-ply,Yes,100,Nate Gibson,97.98,249.48,176.9,240.4,666.78,3
Open,,M,SBD,Multi-ply,Yes,100,Brian DeSanto,96.39,226.8,136.08,226.8,589.67,4
Open,,M,SBD,Wraps,Yes,100,Dima Novikov,95.71,226.8,165.56,247.21,639.57,1
Submaster,,M,SBD,Multi-ply,Yes,100,Shawn Pollock,92.99,317.51,226.8,265.35,809.66,1
Open,,M,SBD,Multi-ply,Yes,110,Steve Coppola,108.41,383.29,278.96,317.51,979.76,1
Open,,M,SBD,Multi-ply,Yes,110,Michael Botticelli,107.05,335.66,240.4,251.74,827.81,2
Open,,M,SBD,Multi-ply,Yes,110,Bob Stevens,103.87,226.8,127.01,208.65,562.45,3
Master 55-59,,M,SBD,Wraps,Yes,110,Vernon Davis,107.5,61.23,54.43,192.78,308.44,1
Open,,M,SBD,Wraps,Yes,125,Mike Scala,110.22,204.12,145.15,238.14,587.4,1
Open,,M,SBD,Multi-ply,No,140,Nate Harvey,133.36,408.23,317.51,317.51,1043.26,1
Open,,M,SBD,Multi-ply,No,140+,Anthony Egnoto,144.24,383.29,,342.46,,DQ
Open,,F,SBD,Multi-ply,Yes,90+,Melissa Wagner,92.99,136.08,68.04,140.61,344.73,1
Open,,M,SBD,Multi-ply,No,110,Jay Strunk,102.97,,,,,DQ
Open,,F,B,Multi-ply,No,60,Julia Ladewski,59.19,,108.86,,108.86,1
Master 65-69,,M,B,Raw,Yes,60,Phillip Portnoy,57.61,,115.67,,115.67,1
Open,,M,B,Multi-ply,No,90,Gary Larson,89.81,,337.93,,337.93,1
Submaster,,M,B,Multi-ply,Yes,100,Craig Hoplight,97.52,,254.01,,254.01,1
Master 50-54,,M,B,Multi-ply,Yes,110,Ronald Satta,105.69,,170.1,,170.1,1
Open,,M,B,Multi-ply,No,110,Eric Winter,107.5,,242.67,,242.67,1
Open,,M,B,Raw,Yes,125,Jeffery Salvagin,112.94,,158.76,,158.76,1
Open,,M,B,Multi-ply,No,140+,Kris Herbert,144.7,,322.05,,322.05,1
Junior,,M,D,Raw,Yes,90,Matthew Mann,87.54,,,195.04,195.04,1
Open,,M,BD,Raw,Yes,82.5,Adam Rosario,79.83,,151.95,256.28,408.23,1
Master 40-44,,M,BD,Multi-ply,Yes,110,Gary Kiblin,100.7,,195.04,263.08,458.13,1
