Equipment,Division,WeightClassLbs,Name,Best3SquatLbs,Best3BenchLbs,Best3DeadliftLbs,TotalLbs,BodyweightLbs,Event,Sex,Place,Country
Wraps,Open,181,Antero Kautonen,407.9,242.5,485,1135.4,179.2,SBD,M,1,
Wraps,Open,198,Mikko Kuusinen,462.9,275.6,573.2,1311.7,191.6,SBD,M,1,
Wraps,Open,275,Samuli Kapanen,529.1,270,529.1,1328.2,255.3,SBD,M,1,
Wraps,Master 40-44,181,Jokke Mononen,253.5,297.6,418.9,970,178.1,SBD,M,1,
Multi-ply,Junior,181,Jarkko Forss,881.8,661.4,661.4,2204.6,181.4,SBD,M,1,
Multi-ply,Open,220,Hassan Zaid,927,496,749.6,2172.6,214.5,SBD,M,1,UK
Multi-ply,Open,220,Marko Loponen,749.6,622.8,628.3,2000.7,219.4,SBD,M,2,
Multi-ply,Open,198,Kalle Rasanen,1071.4,,,1071.4,198,S,M,1,
Raw,Open,242,Mika Nikkonen,,440.9,,440.9,191.6,B,M,1,
Raw,Master 45-49,181,Rami Eerikainen,,336.2,,336.2,180.8,B,M,1,
Multi-ply,Open,198,Kalle Rasanen,,760.6,,760.6,198,B,M,1,
Raw,Master 45-49,181,Rami Eerikainen,,,529.1,529.1,180.8,D,M,1,
