Sex,Division,Name,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,Deadlift4Kg,TotalKg,Event,Equipment,AgeClass
M,Open,Hideaki Inaba,52,,-495,501,,501,,,,,253,,,484,,1240,SBD,Single-ply,Open
M,Open,D MacVicar,52,,,,,424,,,,,292,,,385,,1102,SBD,Single-ply,Open
M,Open,Gary Hunnicutt,56,,,,,341,,,,,259,,,363,,964,SBD,Single-ply,Open
M,Open,C. Ito,60,473,-495,-495,,473,,,,,314,,,529,,1317,SBD,Single-ply,Open
M,Open,George Hummell,60,,,,,462,,,,,308,,,518,,1289,SBD,Single-ply,Open
M,Open,Mark Shijo,60,,,,,358,,,,,187,,,407,,953,SBD,Single-ply,Open
M,Open,J. Moir,67.5,-606,-606,-606,,,,,,,,,,,,,SBD,Single-ply,Open
M,Open,J. Bradley,67.5,-573,-573,-573,,,,,,,,,,,,,SBD,Single-ply,Open
M,Open,Mauro DiPasquale,75,-617,617,-644,,617,,,,,369,,,622,-666,1609,SBD,Single-ply,Open
M,Open,Ray Neeley,75,,,,,518,,,,,330,,,556,,1405,SBD,Single-ply,Open
M,Open,Jim Grudzien,82.5,,,,,694,,,,,429,-683,683,683,,1807,SBD,Single-ply,Open
M,Open,Dennis Wright,82.5,,,-760,,722,-435,,,,473,,,606,,1802,SBD,Single-ply,Open
M,Open,Walter Thomas,90,,744,-799,,744,402,451,501,,501,,-788,755,,2000,SBD,Single-ply,Open
M,Open,Jim Lem,90,,,,-655,600,,,,-385,380,,,622,-639,1603,SBD,Single-ply,Masters 1
M,Open,Jim Cash,100,,,804,-848,804,,,473,,473,,,788,821,2066,SBD,Single-ply,Open
M,Open,Fred Hatfield,100,810,-848,,,810,,501,-507,,501,,,705,,2017,SBD,Single-ply,Open
M,Open,Scott Palmer,110,,,,,644,,,,,352,,,688,,1686,SBD,Single-ply,Open
M,Open,Gene Kunit,110,,,,,529,,,,,358,,,600,,1488,SBD,Single-ply,Open
M,Open,Doyle Kenady,125+,,,,,821,,,,,540,,,810,,2171,SBD,Single-ply,Open
M,Open,Dave Shaw,125+,,,,,755,,,,,507,,,777,,2039,SBD,Single-ply,Open
