Division,WeightClassKg,JapaneseName,Sex,Age,BodyweightJg,Bench4Kg,Best3BenchKg,Place,Event,Equipment,Sex,Name
Masters 1,44,伊藤 達美,静岡県 マッスル＆ビューティ,43,43.85,,62.5,1,B,Single-ply,F,
Masters 1,52,松浦 洋子,島根県 ラピタスポーツクラブ,42,51.85,,70,1,B,Single-ply,F,
Masters 1,56,木村 初子,神奈川県 アサマトレーニングクラブ,49,53.9,,75,1,B,Single-ply,F,Hatsuko Kimura
Masters 1,56,吉田 寿子,東京都 パワーハウス,49,,,,NS,B,Single-ply,F,
Masters 1,60,古味 良子,静岡県 Ｔ－ＲＥＸ沼津,45,59.6,,105,1,B,Single-ply,F,
Masters 1,75,小林みどり,茨城県 神栖町パワーＬ協会,47,73.85,-102.5,100,1,B,Single-ply,F,
Masters 2,56,相澤美代子,埼玉県 富士見パワークラブ,53,54.85,90,87.5,1,B,Single-ply,F,
Masters 2,75,澤 千代美,東京都 パワーハウス,51,67.4,-107.5,105,1,B,Single-ply,F,
Masters 1,52,石渡 啓之,東京都 個人,41,51.35,-145.5,135,1,B,Single-ply,M,
Masters 1,52,山下 豊,島根県 ラピタスポーツクラブ,41,5170,,115,2,B,Single-ply,M,
Masters 1,52,奥田 博之,京都府 バーベルス京都,43,51.35,,105,3,B,Single-ply,M,Hiroyuki Okuda
Masters 1,52,小川 清孝,神奈川県 中スポーツセンター,49,50.35,,,DQ,B,Single-ply,M,
Masters 1,67.5,木村 貢,茨城県 筑波大学桐葉会,43,64.8,,170,1,B,Single-ply,M,
Masters 1,67.5,野崎 秀徳,佐賀県 ｔｅａｍ力姫,46,67.05,,170,2,B,Single-ply,M,
Masters 1,67.5,牛島 敏裕,東京都 小田急ＦＣＥｘｐａｓｓ,40,67.5,,130,3,B,Single-ply,M,
Masters 1,75,寺門 浩之,茨城県 水戸税務署,40,69.6,,132.5,1,B,Single-ply,M,
Masters 1,75,物江 毅,東京都 江東区スポーツ会館,48,,,,NS,B,Single-ply,M,
Masters 1,82.5,猪須 純一,宮城県 Ｔ．Ｇフリーウエイト,46,81.3,,180,1,B,Single-ply,M,
Masters 1,90,小川 宗之,愛知県 スーパークラブ名古屋,46,88.05,,,DQ,B,Single-ply,M,
Masters 1,100,横山 睦夫,静岡県 ＳＯＫ,47,91.45,,225,1,B,Single-ply,M,
Masters 1,100,花田 祥之,島根県 ラピタスポーツクラブ,45,99.3,,195,2,B,Single-ply,M,
Masters 1,110,星野 光秋,愛知県 Ｐｏｗｅｒ Ｌｉｎｅ,43,108.1,,210,1,B,Single-ply,M,
Masters 1,110,中富 雅,神奈川県 サギヌマスポーツクラブ,44,,,,NS,B,Single-ply,M,
Masters 1,125,氏家 一郎,神奈川県 アサマトレーニングクラブ,43,146.35,,235,1,B,Single-ply,M,
Masters 2,56,印波 勝彦,栃木県 個人,53,55.15,,90,1,B,Single-ply,M,
Masters 2,56,大城 新順,千葉県 キッコーマンスポーツクラブ,57,54.15,,105,G,B,Single-ply,M,Shinjun Oshiro
Masters 2,60,中谷敬次郎,千葉県 ＮＥＣボディビル部,51,59.4,,130,1,B,Single-ply,M,
Masters 2,60,加藤清次郎,愛知県 サン笠寺,50,59.7,,120,2,B,Single-ply,M,
Masters 2,60,岩上 勝夫,東京都 個人,57,58.55,,102.5,3,B,Single-ply,M,
Masters 2,67.5,中田 直樹,兵庫県 三菱重工Ｐ・Ｌ・Ｃ,59,66.85,,122.5,1,B,Single-ply,M,
Masters 2,67.5,佃 忠和,神奈川県 エグザスパワークラブ,57,66.45,,,DQ,B,Single-ply,M,Tadakazu Tsukuda
Masters 2,75,加藤 勇次,神奈川県 西湘地区体育センター,52,74.4,190,185,1,B,Single-ply,M,
Masters 2,75,宮澤 武則,岐阜県 飛騨トレーニングセンター,52,72.55,,97.5,2,B,Single-ply,M,
Masters 2,90,立花 正,北海道 長万部パワークラブ,51,88.75,207.5,202.5,1,B,Single-ply,M,
Masters 2,90,宜保 芳清,神奈川県 横浜市南スポーツセンター,53,84.2,,150,2,B,Single-ply,M,
Masters 2,100,藤本 章夫,兵庫県 フジモトパワージム,51,96.9,,165,1,B,Single-ply,M,
Masters 2,110,吉田 進,東京都 パワーハウス,50,104.4,,205,1,B,Single-ply,M,
Masters 2,125,岩崎 輝雄,大阪府 岩崎ボディビルクラブ,52,119.95,,,DQ,B,Single-ply,M,
Masters 3,52,平野 芳雄,愛知県 スーパークラブ名古屋,61,51.45,,95,1,B,Single-ply,M,Yoshio Hirano
Masters 3,52,久保田澄夫,神奈川県 中スポーツセンター,60,47,,67.5,2,B,Single-ply,M,
Masters 3,56,伏見 啓,宮城県 仙台体育館,63,55.9,,120,1,B,Single-ply,M,
Masters 3,56,中村 巌,愛知県 新日鉄名古屋ボディビル部,70,,,,NS,B,Single-ply,M,
Masters 3,60,赤井淳一郎,福井県 タケイ・パワージム,68,59.4,,97.5,1,B,Single-ply,M,
Masters 3,75,伊藤亜細亜,東京都 ブリジストンスポーツクラブ,60,73.35,,122.5,1,B,Single-ply,M,
Masters 3,75,木下 秀人,埼玉県 所沢ＢＤＫ,61,69.05,,90,2,B,Single-ply,M,
