WeightClassKg,Place,Name,Team,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Event,Division,Equipment,BirthDate,Sex
52,1,GORDON. NICK,ST. PAUL'S,51.48,188.24,125,174.63,487.61,SBD,,Single-ply,,M
52,2,CHATMAN. TRAI,COVINGTON,51.66,181.44,125,174.63,480.81,SBD,,Single-ply,,M
52,3,IRCHIRL. LAWRENCE,NCHS,51.03,176.9,81.65,183.7,442.25,SBD,,Single-ply,,M
52,4,WOODRUFF. KOBI,HOLY CROSS,51.07,161.03,70.31,156.49,387.82,SBD,,Single-ply,,M
52,5,WOOD. NOAH,CHALMETTE,50.67,125,68.04,129.27,322.05,SBD,,Single-ply,,M
52,6,JACKSON. BLAKE,NORTHSHORE,46.9,102.06,52.16,113.4,267.62,SBD,,Single-ply,,M
52,7,TRUNG. LE,RUMMELL,50.98,104.33,49.9,111.13,265.35,SBD,,Single-ply,,M
52,8,MORA. MATAIS,NEW IBERIA,49.62,100,61.23,100,260.82,SBD,,Single-ply,,M
52,9,LOVELL. COREY,H L BOURGEOIS,47.13,68.04,40.82,90.72,199.58,SBD,,Single-ply,,M
52,10,BANTA. RYAN,WALKER,46.67,63.5,38.56,83.91,185.97,SBD,,Single-ply,,M
56,1,PHILLIPS. TERRANCE,ASH,56.0,208.65,102.06,201.85,512.56,SBD,,Single-ply,,M
56,2,SMITH. MONTEL,SLIDELL,54.84,192.78,95.25,201.85,489.88,SBD,,Single-ply,,M
56,3,LAWSON. TRACE,ASH,55.16,190.51,83.91,190.51,464.93,SBD,,Single-ply,,M
56,4,VIDRINE. HUNTER,COVINGTON,56,154.22,108.86,167.83,430.91,SBD,,Single-ply,,M
56,5,SANCHEZ. DAVID,HOLY CROSS,55.29,142.88,75,158.76,376.48,SBD,,Single-ply,,M
56,6,ANONYMOUS,NCHS,55.25,122.47,65.77,149.69,337.93,SBD,,Single-ply,,M
56,7,PEROT. PARKER,CAPTAIN SHREVE,55.75,90.72,47.63,104.33,242.67,SBD,,Single-ply,,M
56,8,WHEELESS. CODY,ZACHARY,52.01,68.04,47.63,83.91,199.58,SBD,,Single-ply,,M
60,1,HICKS. HUNTER,ASH,59.92,235.87,113.4,199.58,548.85,SBD,,Single-ply,,M
60,2,KUSS. MATTHEW,COVINGTON,59.28,197.31,106.59,206.38,510.29,SBD,,Single-ply,,M
60,3,BOWENS. DEREK,HOLY CROSS,59.96,179.17,108.86,204.12,492.15,SBD,,Single-ply,,M
60,4,RICALDE. DAVID,ST. PAUL'S,59.78,181.44,100,190.51,471.74,SBD,,Single-ply,,M
60,5,TRAHAN. HUNTER,NEW IBERIA,58.79,163.29,108.86,195.04,467.2,SBD,,Single-ply,,M
60,6,NUEBEL. JACOB,NORTHSHORE,58.74,163.29,108.86,185.97,458.13,SBD,,Single-ply,,M
60,7,WHITE. CAMERON,PINEVILLE,59.6,170.1,90.72,188.24,449.06,SBD,,Single-ply,,M
60,8,ISTRE. BRYCE,NCHS,58.33,136.08,70.31,172.37,378.75,SBD,,Single-ply,,M
60,9,BENOIT. NOAH,RUMMELL,58.06,113.4,61.23,151.95,326.59,SBD,,Single-ply,,M
60,10,MONISTERE. MICHAEL,RUMMELL,59.06,113.4,70.31,136.08,319.78,SBD,,Single-ply,,M
67.5,1,WARREN. SHAWN,COVINGTON,67,231.33,142.88,240.4,614.62,SBD,,Single-ply,,M
67.5,2,GIBBS. JAKOB,NORTHSHORE,66.36,208.65,127.01,249.48,585.13,SBD,,Single-ply,,M
67.5,3,WHITE. CELESTINE,HOLY CROSS,67.18,192.78,120.2,229.06,542.04,SBD,,Single-ply,,M
67.5,4,RACCA. BRANDON,WALKER,65.23,226.8,108.86,204.12,539.77,SBD,,Single-ply,,M
67.5,5,MCNEELY. JORDAN,WMHS,66.86,208.65,122.47,192.78,523.9,SBD,,Single-ply,,M
