Name,WeightClassKg,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Place,Event,Equipment,Division,Sex
Claire Bailey,52,51.2,52.5,45,90,187.5,1,SBD,Single-ply,Open,F
Cathy Wass,75,74.5,135,70,130,335,1,SBD,Single-ply,Open,F
Louise Pennel,90,83.6,92.5,45,102.5,240,1,SBD,Single-ply,Open,F
Mick Amey,75,75,180,95,195,470,1,SBD,Single-ply,Open,M
Scott Hepburn,75,72,150,120,200,470,2,SBD,Single-ply,Open,M
Andy Howard,82.5,81.6,212.5,127.5,232.5,572.5,1,SBD,Single-ply,Open,M
Mark Lee,82.5,82,165,117.5,200,482.5,2,SBD,Single-ply,Open,M
Paul Kerridge,90,88.2,135,105,185,425,1,SBD,Single-ply,Open,M
Andy Wade,90,87.5,135,95,210,440,2,SBD,Single-ply,Open,M
Paul Doherty,125+,133.6,207.5,175,240,622.5,1,SBD,Single-ply,Open,M
