Event,Equipment,Name,Sex,WeightClassKg,BodyweightKg,Division,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Country,Place
SBD,Single-ply,Joelle Smal,F,60,47.2,Open,122.5,60,150,332.5,Belgium,1
SBD,Single-ply,Tina van Duyn-Woodley,F,60,54.7,Open,145,80,162.5,387.5,Netherlands,2
SBD,Single-ply,Carol Santandrea,F,60,43.2,Open,105,52.5,125,282.5,West Germany,3
SBD,Single-ply,Marie-France Vassart,F,60,47.5,Open,115,52.5,140,307.5,Belgium,4
SBD,Single-ply,Bernadette Luiten,F,60,52.5,Open,125,67.5,130,322.5,France,5
SBD,Single-ply,Dagmar Wang,F,60,51.9,Open,112.5,60,132.5,305,West Germany,6
SBD,Single-ply,Edith Scherpf,F,60,48,Open,105,55,115,275,West Germany,7
SBD,Single-ply,Petra Jahn,F,60,47.1,Open,70,35,92.5,197.5,West Germany,8
SBD,Single-ply,Ulrike Schwarz,F,60,56.9,Open,75,37.5,122.5,235,West Germany,9
SBD,Single-ply,Dorothea Ludwig,F,60,51,Open,60,40,100,200,West Germany,10
SBD,Single-ply,Sigrid Krinke,F,60,55.9,Open,70,45,95,210,West Germany,11
SBD,Single-ply,Regine Hunsinger,F,60+,67.1,Open,105,67.5,120,292.5,West Germany,1
SBD,Single-ply,Irene Vietor,F,60+,60.2,Open,100,42.5,110,252.5,West Germany,2
