WeightClassLBS,Name,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Place,BodyweightKg,Event,Equipment,Division,Sex,AgeRange
126,Sonya Towns,120,50,135,305,1,,SBD,Single-ply,F-E-Open,F, 
140,Doreen Dowsett,105,50,135,290,1,,SBD,Single-ply,F-E-Open,F, 
126,Mark Fairbrother,150,70,182.5,402.5,1,,SBD,Single-ply,M-E-Open,M,14-23
126,J. Tillman,110,80,165,355,2,,SBD,Single-ply,M-E-Open,M,40-49
140,Tony Hicks,185,90,212.5,487.5,1,,SBD,Single-ply,M-E-Open,M, 
154,Kevin Bonner,227.5,135,255,617.5,1,,SBD,Single-ply,M-E-Open,M,
154,A. Singh,215,132.5,235,582.5,2,,SBD,Single-ply,M-E-Open,M,
154,C. Pike,185,90,225,500,3,,SBD,Single-ply,M-E-Open,M,14-23
154,T. Robinson,137.5,90,190,417.5,4,,SBD,Single-ply,M-E-Open,M,
154,G. Dakin,135,77.5,165,377.5,5,,SBD,Single-ply,M-E-Open,M,
154,L. Hataway,117.5,72.5,,,DQ,,SBD,Single-ply,M-E-Open,M,50-99
154,Winston Reid,242.5,137.5,247.5,627.5,G,,SBD,Single-ply,M-E-Guest,M,
168,A. Singh,210,125,235,570,1,,SBD,Single-ply,M-E-Open,M,
168,M. Singh,200,120,225,545,2,,SBD,Single-ply,M-E-Open,M,
168,Dave Baldwinson,202.5,120,215,537.5,3,,SBD,Single-ply,M-E-Open,M,14-23
168,J. Bailey,130,102.5,192.5,425,4,,SBD,Single-ply,M-E-Open,M,14-23
168,P. Charlery,130,85,185,400,5,,SBD,Single-ply,M-E-Open,M,14-23
168,N. Jeffory,120,92.5,175,387.5,6,,SBD,Single-ply,M-E-Open,M,14-23
182,R. Tilson,250,155,260,665,1,,SBD,Single-ply,M-E-Open,M,
182,Satwant Bains,210,117.5,230,557.5,2,,SBD,Single-ply,M-E-Open,M,14-23
182,M. Norton,210,142.5,200,552.5,3,,SBD,Single-ply,M-E-Open,M,14-23
182,S. Singh,210,110,210,530,4,,SBD,Single-ply,M-E-Open,M,
182,P. Patrick,160,105,215,480,5,,SBD,Single-ply,M-E-Open,M,
182,G. Burchell,160,115,187.5,462.5,6,,SBD,Single-ply,M-E-Open,M,
196,Andy McKinley,210,150,242.5,602.5,1,,SBD,Single-ply,M-E-Open,M,40-49
196,D. Sawyer,210,115,250,575,2,,SBD,Single-ply,M-E-Open,M,14-23
210,Stuart Foster,245,145,250,640,1,,SBD,Single-ply,M-E-Open,M,
210,S. Lee,225,135,230,590,2,,SBD,Single-ply,M-E-Open,M,
210,A. Singh,207.5,147.5,205,560,3,,SBD,Single-ply,M-E-Open,M,
210,Steve Dowsett,180,87.5,190,457.5,4,,SBD,Single-ply,M-E-Open,M,
224,Jim Henry,255,120,320,695,1,,SBD,Single-ply,M-E-Open,M,
224,P. Singh,250,160,240,650,2,,SBD,Single-ply,M-E-Open,M,
224,Dave Hancock,300,185,300,785,1,,SBD,Single-ply,M-E-Open,M,
