WeightClassKg,Name,State,Country,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Event,Sex,Equipment,Division,Place
52,K. Gorman,NW,England,51.5,110,118.5,,118.5,80,85,,85,135,140,145,145,348.5,SBD,M,Single-ply,Open,1
56,B. Fairbrother,NM,England,56,115,120,130,130,70,-75,-75,70,150,160,-165,160,360,SBD,M,Single-ply,Open,1
60,H. McGhee,,Scotland,59,165,-180,-180,165,95,102.5,-107.5,102.5,175,190,-210,190,457.5,SBD,M,Single-ply,Open,1
60,Roger Powell,NM,England,59.9,160,180,191,191,90,100,-102.5,100,195,220,237.5,237.5,528.5,SBD,M,Single-ply,Open,2
60,Ray Owers,GL,England,59.7,132.5,140,145,145,72.5,75,-77.5,75,180,190,195,195,415,SBD,M,Single-ply,Open,3
67.5,H. Nurse,GL,England,66.3,210,215,222.5,222.5,125,130,-135,130,220,227.5,,227.5,580,SBD,M,Single-ply,Open,1
67.5,R. Fraser,,Scotland,66.3,175,185,-190,185,110,-115,-115,110,205,215,-220,215,510,SBD,M,Single-ply,Open,2
67.5,C. Miles,,Wales,67.3,155,165,175,175,110,115,-117.5,115,180,200,210,210,500,SBD,M,Single-ply,Open,3
67.5,M. Barry,SW,England,66.9,180,-190,-190,180,125,-127.5,127.5,127.5,200,210,-215,210,517.5,SBD,M,Single-ply,Open,4
67.5,B. Alecock,SW,England,65.6,180,190,202.5,202.5,97.5,-102.5,-102.5,97.5,185,200,205,205,505,SBD,M,Single-ply,Open,5
67.5,Ted Brown,SM,England,66,165,175,-185,175,107.5,115,-120,115,180,195,-217,195,485,SBD,M,Single-ply,Open,6
67.5,D. Howden,,Scotland,66.5,-157.5,-165,165,165,120,125,-130,125,195,-210,-217.5,195,485,SBD,M,Single-ply,Open,7
67.5,R. Sullivan,SM,England,64.5,140,150,155,155,95,100,105,105,170,180,-187.5,180,440,SBD,M,Single-ply,Open,8
75,Eddie Pengelly,GL,England,72,212.5,225,235,235,130,140,145,145,230,240,-250,240,620,SBD,M,Single-ply,Open,1
75,John Hibbert,SE,England,72.7,205,220,-225,220,150,155,157.5,157.5,220,230,235,235,612.5,SBD,M,Single-ply,Open,2
75,Michael Hunnam,YNE,England,74.5,207.5,-217.5,220,220,135,140,145,145,225,242.5,-247.5,242.5,607.5,SBD,M,Single-ply,Open,3
75,P. Nicholson,SM,England,74.9,220,232.5,-242.5,232.5,107.5,115,-120,115,235,-250,-252.5,235,582.5,SBD,M,Single-ply,Open,4
75,Stan Macrow,WM,England,72.5,192.5,205,212.5,212.5,125,130,135,135,195,212.5,220,220,567.5,SBD,M,Single-ply,Open,5
75,D. Brice,SE,England,74.5,200,-210,210,210,105,110,-112.5,110,200,210,-215,210,530,SBD,M,Single-ply,Open,6
