Name,Team,WeightClassKg,Sex,BodyweightKg,Best3SquatKg,Best3BenchKg,Bench4Kg,Best3DeadliftKg,TotalKg,Event,Equipment,Division,Place,AgeRange
Marie Thornton,Steelman,90,F,85.3,202.5,80,,175,457.5,SBD,Single-ply,Senior,1,14-22.5
Amy Sonnenfeld,P&W,67.5,F,63.5,90,50,,110,250,SBD,Single-ply,Senior,1,
Lauren Sample,P&W,82.5,F,78.8,50,37.5,,75,162.5,SBD,Single-ply,Senior,1,
Andrew Baker,Consett,52,M,40,55,35,,85,175,SBD,Single-ply,Senior,1,
Kalim Khawaja,unattached,56,M,54.8,90,80.5,,120,290.5,SBD,Single-ply,Senior,1,
Andrew Ferris,P&W,60,M,59.6,70,62.5,,135,267.5,SBD,Single-ply,Senior,1,
Aidan Tweddle,St Leonards,67.5,M,66,115,95,,150,360,SBD,Single-ply,Senior,1,
Michael Rowley,P&W,67.5,M,64.6,100,70,,150,320,SBD,Single-ply,Senior,2,
Philip Salkeld,St Leonards,67.5,M,62.2,95,60,,115,270,SBD,Single-ply,Senior,3,
Duncan Light,Gateshead,75,M,75,167.5,102.5,,215,485,SBD,Single-ply,Senior,1,14-22.5
Marc Caisid,P&W,75,M,75,125,80,,160,365,SBD,Single-ply,Senior,2,
Garry Bowman,P&W,82.5,M,,280,180,,285,745,SBD,Single-ply,Senior,1,14-22.5
Danny Boyle,Doncaster,100,M,95,220,135,,230,585,SBD,Single-ply,Senior,1,
Phil Crossman,Skipton,125,M,111,190,130,,235,555,SBD,Single-ply,Senior,1,
Harry Grigg,Gateshead,125+,M,140.3,230,152.5,,210,592.5,SBD,Single-ply,Senior,1,
