Name,Team,WeightClassKg,Sex,BodyweightKg,Best3SquatKg,Squat4Kg,Best3BenchKg,Bench4Kg,Best3DeadliftKg,TotalKg,Event,Equipment,Division,Place,AgeRange
Joanna Banks,Bedale,67.5,F,67.2,,,,,,,SBD,Single-ply,F-M1,DQ,39.5-48.5
Sue Hollands,Steelmans,90,F,83.5,180,183.5,80.5,,165,425,SBD,Single-ply,F-M2,1,49.5-58.5
Enid Dixon,Gateshead,48,F,43.9,62.5,,37.5,,85,185,SBD,Single-ply,F-M3,1,59.5-99
Steve Brown,Bradford,60,M,60,160,,80,,200,440,SBD,Single-ply,M-M1,1,39.5-48.5
Mick Coopey,Doncaster,75,M,74.9,200,,120,,210,530,SBD,Single-ply,M-M1,1,39.5-48.5
Nirmal Bassi,Steelmans,75,M,74.8,180,,117.5,,192.5,490,SBD,Single-ply,M-M1,2,39.5-48.5
Colin Ramshaw,P&WP,82.5,M,81.8,215,,132.5,,215,562.5,SBD,Single-ply,M-M1,1,39.5-48.5
Dave Carter,Leeds,90,M,89.9,280,,155,170.5,300,735,SBD,Single-ply,M-M1,1,39.5-48.5
Martin Cartman,Skipton,90,M,88.2,250,,160,,255,665,SBD,Single-ply,M-M1,2,39.5-48.5
Tony Stevenson,Doncaster,90,M,89.5,240,,165,,200,605,SBD,Single-ply,M-M1,3,39.5-48.5
Fran Sonnenfeld,P&WP,90,M,89.7,205,,150,,220,575,SBD,Single-ply,M-M1,4,39.5-48.5
Mark Donlon,S.Bodies,90,M,88.7,162.5,,90,,150,402.5,SBD,Single-ply,M-M1,5,39.5-48.5
Jonathan Banks,Bedale,90,M,87.2,,,,,,,SBD,Single-ply,M-M1,DQ,39.5-48.5
Brian Lee,P&WP,110,M,106,250,,160,,270,680,SBD,Single-ply,M-M1,1,39.5-48.5
Chris Woodhead,S.Bodies,125,M,118.2,277.5,,162.5,,230,670,SBD,Single-ply,M-M1,1,39.5-48.5
Phil Frost,Doncaster,125,M,111.3,230,,130,,230,590,SBD,Single-ply,M-M1,2,39.5-48.5
Amrik Singh,Hallam,75,M,73.7,175,,112.5,,205,492.5,SBD,Single-ply,M-M2,1,49.5-58.5
Noel Eccleston,Skipton,82.5,M,80.6,190,,140,,210,540,SBD,Single-ply,M-M2,1,49.5-58.5
Ralph Sample,Gateshead,90,M,87.7,190,,110,,230,530,SBD,Single-ply,M-M2,1,49.5-58.5
Jock Reeves,Hallam,110,M,109.8,220,,160,,220,600,SBD,Single-ply,M-M2,1,49.5-58.5
George Burgess,Sheffield,125,M,123.4,220,,180,,230,630,SBD,Single-ply,M-M2,1,49.5-58.5
Arthur Baker,Consett,82.5,M,78.3,115,,92.5,,187.5,395,SBD,Single-ply,M-M3,1,59.5-99
Norman Anderson,Gateshead,90,M,87.3,190,,147.5,,200,537.5,SBD,Single-ply,M-M3,1,59.5-99
Frank Howgate,Batley,90,M,86.5,130,,90,,170,390,SBD,Single-ply,M-M3,2,59.5-99
Gavin Walker,,100,M,94.5,225,,122.5,,241,588.5,SBD,Single-ply,M-M3,1,59.5-99
Lorraine Sant,Steelman,82.5,F,82.5,142.5,,57.5,,142.5,342.5,SBD,Single-ply,F-Guest,G,
Marc Calsip,P&W,75,M,69.9,125,,82.5,,165,372.5,SBD,Single-ply,M-Guest,G,
Damien Brown,Skipton,82.5,M,80.3,160,,105,,180,445,SBD,Single-ply,M-Guest,G,
Jim Higgins,Kilmamock,82.5,M,81.9,170,,100,,170,440,SBD,Single-ply,M-Guest,G,
Dave Normand,unattached,90,M,88.2,,,190.5,,,190.5,B,Single-ply,M-Guest,G,
Gavin Ripley,Keighley,90,M,89.5,265,,160,,245,670,SBD,Single-ply,M-Guest,G,
John Wright,Hallam,100,M,99.6,245,,165,,237.5,647.5,SBD,Single-ply,M-Guest,G,
Phil Crossman,Skipton,110,M,107.8,220,,140,,260,620,SBD,Single-ply,M-Guest,G,
Andy Thompson,Gateshead,125+,M,158,375,,278,,352.5,1005.5,SBD,Single-ply,M-Guest,G,
