Name,WeightClassKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Place,Event,Equipment,Sex
V. Oliviera,67.5,,,,550,1,SBD,Single-ply,M
Andy van der Lek,67.5,,,,525,2,SBD,Single-ply,M
P. Muller,67.5,,,,510,3,SBD,Single-ply,M
Pieter van de Vijfeijke,67.5,,,,510,4,SBD,Single-ply,M
Harrie van den Brand,75,,,,682.5,1,SBD,Single-ply,M
Ab Bruggink,75,,,,595,2,SBD,Single-ply,M
F. Haarcil,75,,,,577.5,3,SBD,Single-ply,M
E. Kroklec,75,,,,552.5,4,SBD,Single-ply,M
Piet van Haaren,82.5,,,,687.5,1,SBD,Single-ply,M
Piet Sanders,82.5,,,,615,2,SBD,Single-ply,M
T. Schneider,90,,,,765,1,SBD,Single-ply,M
A. Schneider,90,,,,727.5,2,SBD,Single-ply,M
F. Meijer,90,,,,712.5,3,SBD,Single-ply,M
W. Nolles,100,,,,770,1,SBD,Single-ply,M
Piebe Faber,100,,,,745,2,SBD,Single-ply,M
Frans van Puffelen,,,,100,725,3,SBD,Single-ply,M
A. Priere,100,,,,670,4,SBD,Single-ply,M
A. Admiraal,110,,,,810,1,SBD,Single-ply,M
F. Menden,110,,,,750,2,SBD,Single-ply,M
H. Goossen,110,,,,710,3,SBD,Single-ply,M
Berend Veneberg,125,,,,882.5,1,SBD,Single-ply,M
Robert van der Tak,125,,,,882.5,2,SBD,Single-ply,M
Corry van Jansen Jorksveld,125+,,,,840,1,SBD,Single-ply,M
R. Visser,125+,,,,805,2,SBD,Single-ply,M
T. de Vries,125+,,,,780,3,SBD,Single-ply,M
