Name,WeightClassKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Place,Event,Equipment,Sex
M. Oues,56,190,100,205,495,1,SBD,Single-ply,M
W. Dam,67.5,175,105,210,490,1,SBD,Single-ply,M
D. Goudoussakís,67.5,170,110,,,DQ,SBD,Single-ply,M
Ab Bruggink,75,230,137.5,257.5,625,1,SBD,Single-ply,M
E. Krokee,75,225,155,232.5,612.5,2,SBD,Single-ply,M
K. Polman,75,195,110,242.5,547.5,3,SBD,Single-ply,M
Pieter van de Vijfeijke,75,195,115,235,545,4,SBD,Single-ply,M
Piet van Haaren,82.5,275,160,305,740,1,SBD,Single-ply,M
Ariel Groeneboom,82.5,270,165,272.5,707.5,2,SBD,Single-ply,M
Piet Sanders,82.5,242.5,157.5,260,660,3,SBD,Single-ply,M
Franz van Haaren,82.5,240,135,275,650,4,SBD,Single-ply,M
Janus Schneider,90,275,207.5,292.5,775,1,SBD,Single-ply,M
Ad Schenkels,90,295,175,300,770,2,SBD,Single-ply,M
M. Hoes,90,290,190,250,730,3,SBD,Single-ply,M
M Vuistamn,90,257.5,165,267.5,690,4,SBD,Single-ply,M
Henny Hijman,100,320,185,292.5,797.5,1,SBD,Single-ply,M
F. Meijer,100,267.5,155,305,727.5,2,SBD,Single-ply,M
M. Oosterbaan,100,270,165,270,705,3,SBD,Single-ply,M
C. Madou,100,275,135,275,685,4,SBD,Single-ply,M
C. Hemming,100,235,140,265,640,5,SBD,Single-ply,M
R. Veloe,100,245,,,,DQ,SBD,Single-ply,M
Piebe Faber,110,302.5,227.5,295,825,1,SBD,Single-ply,M
Ferry van der Meulen,110,315,195,290,800,2,SBD,Single-ply,M
B. Alphen,110,265,170,300,735,3,SBD,Single-ply,M
J. Marys,110,270,177.5,285,732.5,4,SBD,Single-ply,M
R. Toorenburg,110,260,135,280,675,5,SBD,Single-ply,M
Berend Veneberg,125,340,220,355,915,1,SBD,Single-ply,M
Robert van der Tak,125,342.5,237.5,335,915,2,SBD,Single-ply,M
Corry van Jansen Jorksveld,125+,315,215,340,870,1,SBD,Single-ply,M
