Name,BodyweightLb,Best3BenchLb,TotalLb,Place,Event,Equipment,Sex
A. Reynolds,114,90,90,1,B,Single-ply,F
R. Van Beynum,123,95,95,1,B,Single-ply,F
A. old Weg,123,75,75,2,B,Single-ply,F
D. Bell,148,120,120,1,B,Single-ply,F
R. Finley,148,190,190,1,B,Single-ply,M
L. Seabrook,165,335,335,1,B,Single-ply,M
D. White,165,310,310,2,B,Single-ply,M
T. Walker,165,225,225,3,B,Single-ply,M
J. Kearney,181,305,305,1,B,Single-ply,M
R. Vonk,198,320,320,1,B,Single-ply,M
R. Vest,198,315,315,2,B,Single-ply,M
F. Willemse,198,285,285,3,B,Single-ply,M
L. Griffin,220,395,395,1,B,Single-ply,M
Van Nimwegen,220,340,340,2,B,Single-ply,M
C. Jackson,220,330,330,3,B,Single-ply,M
J. Deaton,242,300,300,1,B,Single-ply,M
T. Hensen,275,455,455,1,B,Single-ply,M
