Name,WeightClassKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Place,Event,Equipment,Sex
A. den Haar,60,115,65,125,305,1,SBD,Singe-ply,M
G. Dye,67.5,162.5,115,192.5,470,1,SBD,Singe-ply,M
Arthur de Regt,67.5,150,107.5,205,462.5,2,SBD,Singe-ply,M
J. Guldehaar,67.5,,,,,DQ,SBD,Singe-ply,M
B. Som,75,222.5,107.5,230,560,1,SBD,Singe-ply,M
Pieter van de Vijfeijke,75,205,110,227.5,542.5,2,SBD,Singe-ply,M
T. Patan,75,200,110,212.5,522.5,3,SBD,Singe-ply,M
Wim Bevers,82.5,215,120,235,570,1,SBD,Singe-ply,M
J. Danielsson,82.5,195,105,252.5,552.5,2,SBD,Singe-ply,M
J. Berkhof,82.5,175,122.5,227.5,525,3,SBD,Singe-ply,M
M. Haas,82.5,205,97.5,220,522.5,4,SBD,Singe-ply,M
R. Groeneveld,82.5,190,105,210,505,5,SBD,Singe-ply,M
R. de Bruijn,82.5,110,75,155,340,6,SBD,Singe-ply,M
J. van Gerwer,90,230,132.5,285,647.5,1,SBD,Singe-ply,M
A. Semminck,90,222.5,147.5,245,615,2,SBD,Singe-ply,M
Edward Bontekoning,90,220,115,250,585,3,SBD,Singe-ply,M
H. Smolders,90,220,120,190,530,4,SBD,Singe-ply,M
Hans den Ouden,90,172.5,115,220,507.5,5,SBD,Singe-ply,M
M. Messelaar,100,230,175,272.5,677.5,1,SBD,Singe-ply,M
F. de Haan,100,260,145,250,655,2,SBD,Singe-ply,M
B. Hazen,100,250,125,252.5,627.5,3,SBD,Singe-ply,M
Paul den Ouden,100,215,160,230,605,3,SBD,Singe-ply,M
J. Post,100,,,,,DQ,SBD,Singe-ply,M
R. Reus,110,200,115,250,565,1,SBD,Singe-ply,M
S. de Visser,125,220,160,215,595,1,SBD,Singe-ply,M
G. Hobbelink,125,225,135,200,560,2,SBD,Singe-ply,M
L. Leijewaan,125+,,,,0,DQ,SBD,Singe-ply,M
