Place,WeightClassLBS,Name,State,Sex,BodyweightLBS,Division,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Event,Equipment
1,275.5,Corey Strickland,NM,M,270.3,nov,,182.5,,182.5,B,Raw
1,242.5,Randy Whitt,NM,M,239.8,m2,,157.5,,157.5,B,Raw
1,181.75,Ed Regua,NM,M,180.8,m3,,120,,120,B,Raw
1,181.75,Ed Regua,NM,M,180.8,mp,,120,,120,B,Raw
1,275.5,Brad Dutton,NM,M,262,m3,,135,,135,B,Raw
1,198.25,Isaac Baca,NM,M,194.4,hs,,107.5,,107.5,B,Raw
1,181.75,Victor Salazar,NM,M,177,hs,210,127.5,235,572.5,SBD,Raw
1,242.5,Wendell James,AZ,M,238.8,m1,212.5,155,227.5,595,SBD,Raw
1,181.75,Russ Marr,NM,M,173.7,m3,150,110,232.5,492.5,SBD,Raw
1,165.25,Joe Salazar,NM,M,158,hs,162.5,107.5,190,460,SBD,Raw
1,181.75,Anthony Consentino,NM,M,167.5,hs,110,75,150,335,SBD,Raw
1,220.25,Devon Goble,NM,M,214.1,jr,120,92.5,145,357.5,SBD,Raw
1,114.5,Summer Fuller,NM,F,113.4,smp,70,46,87.5,203.5,SBD,Raw
1,165.25,Albert Gonzales,NM,M,159.8,m4,57.5,52.5,115,225,SBD,Raw
1,181.75,Mikayla Gonzales,NM,F,174.4,teen,55,38.5,85,178.5,SBD,Raw
1,97,Alex Torrez,NM,F,61.8,youth,20,16,37.5,73.5,SBD,Raw
1,148.75,Precious Andrew,NM,F,146,open,150,80,180,410,SBD,Wraps
1,132.25,Amanda Brady,NM,F,129.6,mp,97.5,87.5,170,355,SBD,Wraps
1,165.25,Monica Chaffin,NM,F,155.8,sm1,130,70,152.5,352.5,SBD,Wraps
1,123.25,Jennakay Colquitt,NM,F,116.4,pure,92.5,67.5,117.5,277.5,SBD,Wraps
1,198+,Samantha Belin,NM,F,209.2,sm2,130,75,170,375,SBD,Wraps
1,165.25,Alyssa Brown,NM,F,163.6,open,132.5,65,120,317.5,SBD,Wraps
1,132.25,Ruby Carrasco,NM,F,127.4,pure,92.5,52.5,110,255,SBD,Wraps
1,148.75,Dorendo Toledo,NM,F,142.6,nov,87.5,60,120,267.5,SBD,Wraps
1,165.25,Bianca Aguilar,NM,F,162.2,jr,105,32.5,147.5,285,SBD,Wraps
2,165.25,Bianca Aguilar,NM,F,162.2,open,105,32.5,147.5,285,SBD,Wraps
1,114.5,Victoria Wahl,NM,F,111,pure,67.5,42.5,92.5,202.5,SBD,Wraps
1,165.25,Alexandra Lynch,NM,F,158.6,nov,82.5,55,117.5,255,SBD,Wraps
1,198+,Angelica Macias,NM,F,239.6,m1,122.5,57.5,130,310,SBD,Wraps
1,132.25,Gabriella Martinez,NM,F,132,p+f,85,47.5,85,217.5,SBD,Wraps
1,165.25,Emma Seqo,NM,F,160,hs,77.5,52.5,105,235,SBD,Wraps
1,220.25,William Bransford,NM,M,212.3,nov,227.5,155,270,652.5,SBD,Wraps
1,275.5,Derek Whitlow,NM,M,250,sm2,282.5,165,255,702.5,SBD,Wraps
1,198.25,Daniel Nguyen,NM,M,195.5,open,222.5,127.5,272.5,622.5,SBD,Wraps
1,308.5,Anthony Armijo,NM,M,279.3,p+f,250,182.5,272.5,705,SBD,Wraps
1,165.25,Joseph Garley,NM,M,161.2,open,195,130,207.5,532.5,SBD,Wraps
2,275.5,Paul Begay,NM,M,269.2,sm1,242.5,150,245,637.5,SBD,Wraps
1,198.25,Uriel Guerrero,NM,M,190.7,nov,160,137.5,242.5,540,SBD,Wraps
2,165.25,Ezra Newell,NM,M,159.4,open,170,105,210,485,SBD,Wraps
1,165.25,Ezra Newell,NM,M,159.4,teen,170,105,210,485,SBD,Wraps
1,308.5,Gabriel Candelaria,NM,M,301,sm1,232.5,37.5,272.5,542.5,SBD,Wraps
1,242.5,Joel Brown,NM,M,232.8,m1,192.5,142.5,227.5,562.5,SBD,Wraps
1,198.25,Jose Chan,NM,M,194.2,p+f,165,115,232.5,512.5,SBD,Wraps
1,181.75,Raul Velasquez,NM,M,181,hs,155,100,235,490,SBD,Wraps
1,275.5,Mike McCarthy,VT,M,269.5,m2,252.5,115,207.5,575,SBD,Wraps
1,242.5,Chris Chavez,NM,M,236.8,int,180,120,240,540,SBD,Wraps
1,242.5,Chris Chavez,NM,M,236.8,nov,180,120,240,540,SBD,Wraps
1,198.25,Jason Potts,NM,M,187,sm2,162.5,107.5,200,470,SBD,Wraps
1,165.25,Tom Newell,NM,M,161.6,m2,147.5,110,170,427.5,SBD,Wraps
3,165.25,Tom Newell,NM,M,161.6,open,147.5,110,170,427.5,SBD,Wraps
1,198.25,Donald Truez,NM,M,194.7,teen,145,125,190,460,SBD,Wraps
1,242.5,Michael Macias,NM,M,234.8,sm2,175,107.5,205,487.5,SBD,Wraps
1,275.5,Brad Dutton,NM,M,262,m3,160,135,215,510,SBD,Wraps
1,198.25,Mark Reynolds,TX,M,197.5,pure,,157.5,290,447.5,BD,Raw
1,198.25,Chad Medina,NM,M,187.2,open,,170,250,420,BD,Raw
1,308.5,Anthony Armijo,NM,M,279.3,p+f,,182.5,272.5,455,BD,Raw
1,181.75,Ed Regua,NM,M,180.8,mp,,120,192.5,312.5,BD,Raw
1,275.5,Steve Amburgey,NM,M,243,m2,,145,215,360,BD,Raw
1,275.5,Brad Dutton,NM,M,262,m3,,135,215,350,BD,Raw
1,198.25,Bryan Kimble,TX,M,190,mp,,120,172.5,292.5,BD,Raw
1,198.25,Bryan Kimble,TX,M,190,p+f,,120,172.5,292.5,BD,Raw
1,198+,Samantha Belin,NM,F,209.2,sm2,,75,170,245,BD,Raw
1,148.75,Sandra Guzman,NM,F,147.2,m2,,37.5,85,122.5,BD,Raw
1,198+,Mandy Buenaventa,NM,F,255.6,sm2,,45,115,160,BD,Raw
1,181.75,Elaine Waugh,NM,F,169.4,open,,30,80,110,BD,Raw
1,198.25,Chad Medina,NM,M,187.2,open,170,75,262.5,507.5,SBD,Wraps
1,198.25,Mark Reynolds,TX,M,197.5,pure,157.5,72.5,290,520,SBD,Wraps
