Name,Sex,Equipment,Division,Event,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg
Taylor Eubanks,F,Raw,Raw/Squat only /Jrs,S,60,95,100,-105,100,-,-,-,0,-,-,-,0,100
Missy Calkins,F,Raw,R/Power/Open,SBD,60,80,87.5,92.5,92.5,55,60,-62.5,60,107.5,117.5,122.5,122.5,275
Kim Ryan,F,Raw,R/Power/M55-59,SBD,60,60,67.5,72.5,72.5,37.5,45,-47.5,45,82.5,92.5,97.5,97.5,215
Jaemee Schall,F,Raw,R/Power/ JR,SBD,67.5,102.5,115,125,125,42.5,50,-55,50,142.5,150,157.5,157.5,332.5
Jenna Cunna,F,Raw,R/Power/Novice,SBD,67.5,95,102.5,105,105,70,75,-77.5,75,130,137.5,142.5,142.5,322.5
Erica Cooksey,F,Raw,R/Power/Open,SBD,67.5,92.5,97.5,-100,97.5,50,52.5,-57.5,52.5,115,120,125,125,275
Bernice Dea,F,Raw,R/Power/ Open,SBD,67.5,102.5,110,117.5,117.5,57.5,57.5,-60,57.5,125,160,-162.5,160,335
Bernice Dea,F,Raw,R/Power/M45-49,SBD,67.5,102.5,110,117.5,117.5,57.5,57.5,-60,57.5,125,160,-162.5,160,335
Agi Buck,F,Raw,R/Power/M55-59,SBD,67.5,92.5,97.5,100,100,62.5,67.5,70,70,120,125,127.5,127.5,297.5
Taylor Ford,F,Raw,R/Power/T16-17,SBD,75,105,110,125,125,55,60,-75,60,105,110,115,115,300
Kate Crowley,F,Raw,R/Power/Jr,SBD,75,70,75,-80,75,42.5,45,-47.5,45,92.5,-100,-100,92.5,210
Alexis Sciacqua,F,Raw,R/Power/ Novice,SBD,75,102.5,115,125,125,47.5,57.5,62.5,62.5,137.5,150,157.5,157.5,345
Niki Sims,F,Raw,R/Power/Open,SBD,75,107.5,115,120,120,75,80,-82.5,80,155,165,172.5,172.5,367.5
