Name,Age,Sex,WeightClassKg,Division,Equipment,Event,Squat1Kg,Squat2Kg,Squat3Kg,Bench1Kg,Bench2Kg,Bench3Kg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,TotalKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg
Jennifer Genato,31,F,44,Open,Single,SBD,110,110,112.5,52.5,57.5,0,130,135,135,305,112.5,57.5,135
Annie Zaks,33,F,52,Novice,Raw,SBD,75,80,85,37.5,40,45,107.5,112.5,117.5,247.5,85,45,117.5
Margaux Keiser,31,F,60,Novice,Raw,SBD,60,72.5,82.5,45,52.5,60,70,85,102.5,245,82.5,60,102.5
Debi Stoliar,38,F,60,Novice,Raw,SBD,97.5,100,105,52.5,55,57.5,110,115,122.5,285,105,57.5,122.5
Hannah Barnhill,25,F,60,Open,Single,SBD,92.5,100,107.5,47.5,52.5,55,130,137.5,142.5,305,107.5,55,142.5
Nicole Bueno,26,F,60,Open,Raw,SBD,105,105,110,52.5,57.5,60,117.5,130,135,305,110,60,135
Ariel Stier,32,F,60,Open,Raw,SBD,117.5,125,127.5,65,67.5,72.5,132.5,140,150,350,127.5,72.5,150
Russelle McDermott,41,F,60,Master,Raw,SBD,52.5,57.5,62.5,30,35,0,102.5,107.5,0,205,62.5,35,107.5
Justina Marcias,13,F,67.5,Teen,Raw,SBD,47.5,57.5,62.5,25,32.5,35,52.5,62.5,65,162.5,62.5,35,65
Abigail Clugston,21,F,67.5,Novice,Raw,SBD,82.5,95,102.5,40,0,0,92.5,125,0,267.5,102.5,40,125
Amulya Aradhyula,25,F,67.5,Novice,Raw,SBD,77.5,85,92.5,40,45,0,95,105,112.5,250,92.5,45,112.5
Lisa Peterson,28,F,67.5,Novice,Raw,SBD,105,112.5,117.5,62.5,67.5,0,120,132.5,137.5,322.5,117.5,67.5,137.5
Michaela Tynes,20,F,67.5,Junior,Raw,SBD,100,107.5,112.5,62.5,70,75,130,140,145,332.5,112.5,75,145
Abigail Clugston,21,F,67.5,Junior,Raw,SBD,82.5,95,102.5,40,0,0,92.5,125,0,267.5,102.5,40,125
Shelby Bandula,26,F,67.5,Open,Raw,SBD,80,85,92.5,62.5,67.5,0,125,132.5,140,300,92.5,67.5,140
