Name,Age,Sex,BodyweightKg,WeightClassKg,Division,Equipment,Event,Squat1Kg,Squat2Kg,Squat3Kg,Bench1Kg,Bench2Kg,Bench3Kg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,TotalKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg
Aysha Pal,28,F,59.5,60,Open,Raw,SBD,100,105,0,70,75,0,110,120,127.5,307.5,105,75,127.5
Ryland Nella,15,F,67.1,67.5,Teen,Raw,SBD,55,67.5,77.5,35,37.5,0,82.5,92.5,100,215,77.5,37.5,100
Ana Baker,29,F,65.7,67.5,Novice,Raw,SBD,100,105,110,72.5,77,82.5,137.5,0,147.5,340,110,82.5,147.5
Jenny Kot,24,F,63.9,67.5,Novice,Raw,SBD,87.5,102.5,0,42.5,50,0,95,102.5,0,255,102.5,50,102.5
Abigail Clugston,21,F,66.5,67.5,Junior,Raw,SBD,100,105,0,52.5,0,57.5,122.5,130,137.5,300,105,57.5,137.5
Abigail Clugston,21,F,66.5,67.5,Open,Raw,SBD,100,105,0,52.5,0,57.5,122.5,130,137.5,300,105,57.5,137.5
Sheryl Soo,27,F,65.6,67.5,Open,Raw,SBD,85,102.5,105,42.5,52.5,55,90,117.5,120,280,105,55,120
Ana Baker,29,F,65.7,67.5,Open,Raw,SBD,100,105,110,72.5,77.5,82.5,137.5,0,147.5,340,110,82.5,147.5
Laura Burnett,30,F,66.8,67.5,Open,Raw,SBD,85,90,95,42.5,45,0,100,107.5,112.5,252.5,95,45,112.5
Shirley Negron,40,F,66.7,67.5,Open,Raw,SBD,100,102.5,110,55,62.5,0,137.5,147.5,152.5,325,110,62.5,152.5
Shirley Negron,40,F,66.7,67.5,Master,Raw,SBD,100,102.5,110,55,62.5,0,137.5,147.5,152.5,325,110,62.5,152.5
Crystal Le,14,F,73.7,75,Teen,Raw,SBD,92.5,97.5,100,57.5,62.5,0,47.5,0,0,210,100,62.5,47.5
Cecilia Cisar,24,F,70.5,75,Open,Raw,SBD,95,105,0,47.5,50,52.5,130,145,155,312.5,105,52.5,155
Sarah Fausto,25,F,74.2,75,Open,Raw,SBD,122.5,127.5,0,72.5,77.5,80,135,142.5,147.5,355,127.5,80,147.5
Stephanie Cuaresma,26,F,74.3,75,Open,Raw,SBD,100,105,110,40,42.5,45,110,115,120,275,110,45,120
Francesca Burke,39,F,72,75,Novice,Raw,SBD,95,100,105,47.5,50,52.5,122.5,127.5,132.5,290,105,52.5,132.5
Mary Portwood,35,F,80.9,82.5,Sub-master,Raw,SBD,150,157.5,170,82.5,0,0,145,152.5,0,405,170,82.5,152.5
Tracy Burman,39,F,81.5,82.5,Sub-master,Raw,SBD,0,92.5,100,60,0,0,92.5,100,110,270,100,60,110
Tracy Burman,39,F,81.5,82.5,Open,Raw,SBD,0,92.5,100,60,0,0,92.5,100,110,270,100,60,110
Alexis Lira,20,F,89.9,90,Novice,Raw,SBD,117.5,122.5,0,62.5,62.5,0,130,140,147.5,332.5,122.5,62.5,147.5
Annette Thorsen,55,F,101.2,110,Master,Raw,SBD,77.5,82.5,87.5,52.5,57.5,60,130,140,0,287.5,87.5,60,140
Mary Ann Freitas,29,F,152.6,125,Open,Raw,SBD,157.5,0,0,102.5,0,0,0,0,0,260,157.5,102.5,0
Sonia Villegas,35,F,116.3,125,Sub-master,Raw,SBD,120,125,132.5,60,62.5,0,115,120,125,320,132.5,62.5,125
Valerie Cowell,59,F,89.8,90,Master,Raw,PP,,,,65,70,0,87.5,92.5,100,170,0,70,100
Williamson Roasa,28,M,65.8,67.5,Novice,Raw,SBD,132.5,145,150,82.5,90,0,165,177.5,187.5,427.5,150,90,187.5
Amir Rana,25,M,66.4,67.5,Novice,Raw,SBD,142.5,152.5,160,85,90,95,165,177.5,185,440,160,95,185
Amir Rana,25,M,66.4,67.5,Open,Raw,SBD,142.5,152.5,160,85,90,95,165,177.5,185,440,160,95,185
Sean Nguyen,17,M,72.8,75,Teen,Raw,SBD,167.5,0,182.5,115,125,0,162.5,170,182.5,490,182.5,125,182.5
Andrew Hudspeth,20,M,71.6,75,Junior,Raw,SBD,115,122.5,130,77.5,82.5,87.5,132.5,137.5,145,362.5,130,87.5,145
John Adam Strugis,26,M,73.2,75,Novice,Raw,SBD,120,0,132.5,102.5,112.5,117.5,205,217.5,227.5,477.5,132.5,117.5,227.5
John Adam Strugis,26,M,73.2,75,Open,Raw,SBD,120,0,132.5,102.5,112.5,117.5,205,217.5,227.5,477.5,132.5,117.5,227.5
Travis Tenorio,28,M,74.4,75,Open,Raw,SBD,147.5,150,152.5,112.5,117.5,0,197.5,212.5,0,482.5,152.5,117.5,212.5
Anthony Miu,29,M,73.2,75,Open,Raw,SBD,132.5,152.5,165,92.5,102.5,117.5,162.5,195,202.5,485,165,117.5,202.5
Kyle Aaron Papas,17,M,81.3,82.5,Teen,Raw,SBD,142.5,150,0,80,85,0,170,177.5,182.5,417.5,150,85,182.5
William Umali,18,M,78.1,82.5,Teen,Raw,SBD,107.5,112.5,120,77.5,82.5,85,160,162.5,0,367.5,120,85,162.5
Thomas Thach,20,M,80.8,82.5,Junior,Raw,SBD,127.5,0,147.5,87.5,92.5,0,147.5,175,185,425,147.5,92.5,185
Luis Virrueta,20,M,81.9,82.5,Open,Raw,SBD,137.5,145,0,90,0,95,167.5,175,182.5,422.5,145,95,182.5
Abraham Zuniga,22,M,81.1,82.5,Junior,Raw,SBD,205,215,227.5,147.5,155,162.5,250,267.5,0,657.5,227.5,162.5,267.5
Marco Zuniga,24,M,81.1,82.5,Open,Raw,SBD,145,167.5,170,95,105,107.5,175,200,205,482.5,170,107.5,205
Laszlo Tallai,30,M,81,82.5,Open,Raw,SBD,185,205,220,145,155,0,230,250,0,625,220,155,250
Manoj Kumar,35,M,76.5,82.5,Sub-master,Raw,SBD,142.5,150,157.5,65,70,0,160,170,182.5,410,157.5,70,182.5
Joshua Ramirez,23,M,90,90,Novice,Raw,SBD,165,177.5,0,97.5,107.5,115,180,192.5,210,502.5,177.5,115,210
Daniel Fernandez,30,M,88.4,90,Novice,Raw,SBD,0,0,125,105,120,0,182.5,210,227.5,472.5,125,120,227.5
Levy Wilson,25,M,88.4,90,Open,Raw,SBD,220,220,227.5,0,0,0,0,,,227.5,227.5,0,0
Indivar Singh,26,M,88.4,90,Open,Raw,SBD,195,210,0,125,0,132.5,200,217.5,0,560,210,132.5,217.5
Naveen Kolagtla,29,M,86,90,Open,Raw,SBD,130,135,0,75,80,0,160,167.5,175,390,135,80,175
Nathan Patterson,31,M,88.8,90,Open,Raw,SBD,165,175,0,180,0,0,220,232.5,0,587.5,175,180,232.5
Jimmy Algrem-Bell,20,M,108.8,110,Junior,Raw,SBD,200,215,227.5,137.5,0,145,215,232.5,0,605,227.5,145,232.5
Samuel Taylor,30,M,107.5,110,Open,Raw,SBD,0,0,205,147.5,0,0,230,240,250,602.5,205,147.5,250
Dale Thorsen,57,M,108.6,110,Master,Raw,SBD,82.5,87.5,92.5,77.5,82.5,87.5,117.5,122.5,0,302.5,92.5,87.5,122.5
Nima Harirchian,24,M,124.2,125,Novice,Raw,SBD,132.5,145,155,92.5,0,0,197.5,215,227.5,475,155,92.5,227.5
