Name,Age,Sex,BodyweightKg,WeightClassKg,Division,Equipment,Event,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg
Lily Davis,11,F,30.8,44,Youth,Raw,SBD,32.5,37.5,40,40,20,25,0,25,40,45,50,50,115
Michaela Diaz,29,F,50.8,52,Novice,Raw,SBD,77.5,0,0,77.5,32.5,40,0,40,95,110,115,115,232.5
Erika Porcuna,25,F,56.3,60,Novice,Raw,SBD,42.5,57.5,67.5,67.5,30,37.5,0,37.5,45,52.5,62.5,62.5,167.5
Lisa Peterson,29,F,66.2,67.5,Open,Raw,SBD,115,127.5,0,127.5,57.5,0,67.5,67.5,145,152.5,160,160,355
Laura Burnett,30,F,67.1,67.5,Open,Raw,SBD,92.5,97.5,102.5,102.5,47.5,0,0,47.5,102.5,107.5,112.5,112.5,262.5
Pattie Krebs,67,F,63.6,67.5,Master,Raw,SBD,20,27.5,32.5,32.5,20,25,27.5,27.5,50,57.5,62.5,62.5,122.5
Ryland Nella,15,F,67.6,75,Teen,Raw,SBD,60,72.5,82.5,82.5,32.5,40,47.5,47.5,100,110,120,120,250
Maketa Daniels,24,F,69,75,Novice,Raw,SBD,45,50,55,55,20,37.5,47.5,47.5,112.5,135,0,135,237.5
Abigail Clugston,21,F,70.8,75,Junior,Raw,SBD,105,115,117.5,117.5,55,60,0,60,145,152.5,0,152.5,330
Abigail Clugston,21,F,70.8,75,Open,Raw,SBD,105,115,117.5,117.5,55,60,0,60,145,152.5,0,152.5,330
Lauren Davis,25,F,71.8,75,Open,Raw,SBD,105,110,120,120,60,67.5,70,70,140,147.5,155,155,345
Francesca Burke,40,F,74.3,75,Open,Raw,SBD,105,110,115,115,55,57.5,0,57.5,132.5,140,145,145,317.5
Francesca Burke,40,F,74.3,75,Master,Raw,SBD,105,110,115,115,55,57.5,0,57.5,132.5,140,145,145,317.5
Melly Ramos,20,F,81.9,82.5,Junior,Raw,SBD,152.5,167.5,177.5,177.5,65,0,0,65,185,190,195,195,437.5
Melly Ramos,20,F,81.9,82.5,Open,Raw,SBD,152.5,167.5,177.5,177.5,65,0,0,65,185,190,195,195,437.5
Mary Portwood,35,F,80.1,82.5,Open,Raw,SBD,155,165,0,165,82.5,87.5,0,87.5,150,155,160,160,412.5
Jenelle Jayubo,21,F,95.5,100,Novice,Raw,SBD,157.5,165,0,165,57.5,65,70,70,160,170,182.5,182.5,417.5
Adriana Lopez Torres,25,F,114.6,125,Open,Raw,SBD,100,107.5,115,115,45,50,55,55,92.5,100,110,110,280
Francesca Burke,40,F,74.3,75,Master,Raw,PP,,,,0,55,57.5,0,57.5,132.5,140,145,145,202.5
Francesca Burke,40,F,74.3,75,Master,Raw,D,,,,0,,,,0,132.5,140,145,145,145
Hunter Markey,15,M,53.6,56,Teen,Raw,SBD,30,0,40,40,25,30,35,35,55,65,75,75,150
Cliff Suzuki,66,M,58.6,60,Master,Raw,SBD,80,100,0,100,55,0,0,55,100,140,150,150,305
Cliff Suzuki,66,M,58.6,60,Open,Raw,SBD,80,100,0,100,55,0,0,55,100,140,150,150,305
Jack Pawlakos,15,M,63.3,67.5,Teen,Raw,SBD,57.5,62.5,77.5,77.5,57.5,67.5,75,75,82.5,92.5,102.5,102.5,255
Andrew Tong,22,M,61.5,67.5,Junior,Raw,SBD,117.5,122.5,0,122.5,80,0,85,85,147.5,152.5,0,152.5,360
Adnan Rana,23,M,67.1,67.5,Novice,Raw,SBD,142.5,150,160,160,90,95,102.5,102.5,175,182.5,187.5,187.5,450
Adnan Rana,23,M,67.1,67.5,Open,Raw,SBD,142.5,150,160,160,90,95,102.5,102.5,175,182.5,187.5,187.5,450
Nicholas Falcon,35,M,65.3,67.5,Novice,Raw,SBD,120,132.5,137.5,137.5,95,102.5,107.5,107.5,152.5,165,177.5,177.5,422.5
Nicholas Falcon,35,M,65.3,67.5,Sub-master,Raw,SBD,120,132.5,137.5,137.5,95,102.5,107.5,107.5,152.5,165,177.5,177.5,422.5
Travis Tenorio,28,M,74.8,75,Open,Raw,SBD,150,160,170,170,110,115,117.5,117.5,200,210,0,210,497.5
Sean Rodriguez,17,M,78.3,82.5,Teen,Raw,SBD,97.5,102.5,112.5,112.5,75,85,97.5,97.5,117.5,127.5,142.5,142.5,352.5
Rohan Sakalkale,22,M,81.6,82.5,Junior,Raw,SBD,125,142.5,0,142.5,92.5,100,105,105,162.5,182.5,195,195,442.5
Alex Ta Le,24,M,79.7,82.5,Open,Raw,SBD,155,160,165,165,107.5,115,120,120,181.5,195,200,200,485
Anthony Reyes,26,M,79.3,82.5,Open,Raw,SBD,200,215,0,215,130,140,147.5,147.5,95,0,0,95,457.5
Maxwell Babicz,27,M,81,82.5,Open,Raw,SBD,117.5,125,0,125,75,82.5,92.5,92.5,157.5,170,182.5,182.5,400
Hector Flores,26,M,89.3,90,Novice,Raw,SBD,157.5,170,180,180,110,117.5,0,117.5,180,190,202.5,202.5,500
Stephen Baum,24,M,87.1,90,Open,Raw,SBD,140,147.5,155,155,95,100,102.5,102.5,180,197.5,207.5,207.5,465
Jack Hong,28,M,88.6,90,Open,Raw,SBD,192.5,202.5,207.5,207.5,145,152.5,0,152.5,227.5,240,250,250,610
Ben Davis,47,M,86.1,90,Master,Raw,SBD,140,150,160,160,105,110,115,115,160,170,0,170,445
John Guerette,21,M,96.6,100,Novice,Raw,SBD,150,165,170,170,107.5,112.5,0,112.5,197.5,0,205,205,487.5
Andrew Hudgins,23,M,98.2,100,Junior,Raw,SBD,170,182.5,185,185,110,120,0,120,195,205,0,205,510
Joel Garcia,29,M,100,100,Open,Raw,SBD,220,0,232.5,232.5,145,155,0,155,252.5,265,272.5,272.5,660
Panchito Askari,43,M,120.8,125,Master,Raw,SBD,170,177.5,185,185,102.5,110,117.5,117.5,190,197.5,207.5,207.5,510
Nima Harirchian,25,M,132.8,140,Open,Raw,SBD,155,175,187.5,187.5,102.5,112.5,122.5,122.5,222.5,247.5,0,247.5,557.5
Scott Mills,40,M,87.2,90,Master,Raw,PP,,,,0,127.5,130,0,130,182.5,190,195,195,325
Brook Ryan,26,M,66,67.5,Open,Raw,PP,,,,0,122.5,0,127.5,127.5,150,180,205,205,332.5
Dimitri Grover,12,M,0,52,Teen,Raw,B,,,,0,70,72.5,77.5,77.5,,,,0,77.5
Jack Walters,85,M,99.8,100,Master,Raw,D,,,,0,,,,0,102.5,115,122.5,122.5,122.5
