Sex,WeightClassKg,Name,BodyweightKg,Team,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Bench5Kg,Best3BenchKg,TotalKg,Place,Event,Equipment,Division
F,"60,0 kg",Tonia Strik,60.9,Atlas,75,77.5,-80,80,-82.5,77.5,80,1,B,Single-ply,Open
F,"67,5 kg",Judith Overbeek,63.7,Top-Fit,65,-67.5,67.5,-70,-70,67.5,67.5,1,B,Single-ply,Open
F,"75,0 kg",Marge Poeze,73.8,Burgum,75,77.5,-80,-80,,77.5,77.5,1,B,Single-ply,Open
M,"56,0 kg",Dave Jacobs,54.5,Atlas,90,-97.5,97.5,-102.5,-102.5,97.5,97.5,1,B,Single-ply,Open
M,"60,0 kg",Michael Nielsen,59.9,Denemarken,120,125,130,135,-142.5,130,135,1,B,Single-ply,Open
M,"60,0 kg",Gert Jan Ootjers,58.2,Atlas,40,50,55,60,-62.5,55,60,2,B,Single-ply,Open
M,"67,5 kg",Rutger Maes,66,Body-Line,125,135,-137.5,,,135,135,1,B,Single-ply,Open
M,"67,5 kg",Branko Maes,61.7,Body-Line,90,95,-100,105,110,95,110,2,B,Single-ply,Open
M,"75,0 kg",Pardeep Kailey,74.5,Atlas,-115,-115,-115,,,-115,,DQ,B,Single-ply,Open
M,"75,0 kg",Martin Faber,74.7,Denemarken,-152.5,-152.5,-152.5,,,-152.5,,DQ,B,Single-ply,Open
M,"75,0 kg",Niel Commandeur,74.5,Spartacus,110,112.5,115,-117.5,-117.5,115,115,1,B,Single-ply,Open
M,"82,5 kg",Erik Rasmussen,82.5,Denemarken,-177.5,180,185,-192.5,-192.5,185,185,1,B,Single-ply,Open
M,"82,5 kg",Artak Asrian,82.5,Atlas,165,172.5,177.5,180,-185,177.5,180,2,B,Single-ply,Open
M,"82,5 kg",Rachid Jansen,80.6,Spartacus,110,115,-120,-120,,115,115,3,B,Single-ply,Open
M,"90,0 kg",Pjotr v.d.Hoek,88.7,Spartacus,180,187.5,192.5,-197.5,-200,192.5,192.5,1,B,Single-ply,Open
M,"90,0 kg",Aswin Kraal (Geh),86.4,Atlas,135,140,145,-147.5,-147.5,145,145,2,B,Single-ply,Open
M,"90,0 kg",Lars Commerou,89.5,Denemarken,-130,132.5,140,-145,145,140,145,3,B,Single-ply,Open
M,"90,0 kg",Kenneth Hulvej,87.2,Denemarken,-130,130,132.5,-140,-140,132.5,132.5,4,B,Single-ply,Open
M,"90,0 kg",Wim Bevers,86.5,Top-Fit,110,115,120,-125,125,120,125,5,B,Single-ply,Open
M,"90,0 kg",Frank Brunhoj,87.7,Denemarken,-190,-190,-190,,,-190,,DQ,B,Single-ply,Open
M,"100,0 kg",Raymond Witt,100,Spartacus,162.5,167.5,172.5,175,-177.5,172.5,175,1,B,Single-ply,Open
M,"100,0 kg",Paul den Ouden,94.5,Top-Fit,150,160,167.5,-172.5,-172.5,167.5,167.5,2,B,Single-ply,Open
M,"100,0 kg",Roy Hagenaars,96.8,Alg Lid,145,155,165,-167.5,,165,165,3,B,Single-ply,Open
M,"100,0 kg",Rogier Sandbergen,97.5,Physical,150,155,160,-162.5,,160,160,4,B,Single-ply,Open
M,"110,0 kg",Huub Hetterschijt,100.9,Burgum,180,-185,187.5,-192.5,,187.5,187.5,1,B,Single-ply,Open
M,"110,0 kg",Klaus Bak,104.4,Denemarken,180,-185,-185,-185,-190,180,180,2,B,Single-ply,Open
M,"110,0 kg",Dennis Visser,101.5,Spartacus,165,172.5,-177.5,-177.5,,172.5,172.5,3,B,Single-ply,Open
M,"110,0 kg",Orson Harms,104.2,Body-Line,145,155,-160,-160,-160,155,155,4,B,Single-ply,Open
M,"110,0 kg",Hans den Ouden,105,Top-Fit,145,150,-155,-150,,150,150,5,B,Single-ply,Open
M,"110,0 kg",Gerrit Roos,106.3,Spartacus,140,145,147.5,150,-152.5,147.5,150,6,B,Single-ply,Open
M,"110,0 kg",Johan Sanders,106.8,Top-Fit,130,135,-140,-140,140,135,140,7,B,Single-ply,Open
M,"110,0 kg",Marcel Bruin,100.6,Spartacus,115,120,-122.5,-122.5,,120,120,8,B,Single-ply,Open
M,"125,0 kg",Djindra Badal,121.9,Atlas,190,200,205,210,-215,205,210,1,B,Single-ply,Open
M,"125,0 kg",Gerrit Vos,113.7,Physical,180,187.5,192.5,197.5,,192.5,197.5,2,B,Single-ply,Open
M,"125,0 kg",Dirk Kenter,110.3,Spartacus,130,137.5,-142.5,142.5,-145,137.5,142.5,3,B,Single-ply,Open
M,125+ kg,Jan Knudsen,129.4,Denemarken,-210,-210,210,-215,-215,210,210,1,B,Single-ply,Open
M,125+ kg,Rien Bijdevier,127.4,Physical,165,172.5,177.5,-180,,177.5,177.5,2,B,Single-ply,Open
M,100+ kg,Cees Ootjers (Geh),138,Atlas,150,160,165,170,-175,165,170,1,B,Single-ply,Open
