;;;;SQ;;BP;;;;;DL;;;;
NAME;BDW.;GYM;1.;2.;3.;1.;2.;3.;SUB.;1.;2.;3.;TOT.;Wilk's;PI.
Dames;;;;;;;;;;;;;;;
52kq;;;;;;;;;;;;;;;
Willie Heuser;51,2;Hardcore;62,5;70;72,5;57,5;60;-62,5;132,5;80;90;-92,5;222,5;280,7;1
57kq;;;;;;;;;;;;;;;
Sandra Wildeman;55,9;S.S.S.;135;-142,5;-142,5;80;85;-87,5;220;135;142,5;147,5;367,5;433;1
Katinka van Baaien;54,1;S.S.S.;-105;105;-110;60;70;72,5;177,5;120;127,5;132,5;310;374,7;2
72kq;;;;;;;;;;;;;;;
Carmen Sjardijn;71,3;Essbra;-172,5;172,5;177,5;102,5;107,5;-112,5;285;-162,5;167,5;;452,5;444,5;1
Ankie Timmers;71,4;Essbra;-25;;;25;;;;25;;;-;-;
84+kq;;;;;;;;;;;;;;;
Ielja Strik;85;Atlas Nijmeqen;230;242,5;;170;182,5;;425;210;220;;645;571,9;1
;;;;;;.;;;;■	;;;;;
Heren;;;;ivivivnvj ii i ï i v r-11 ■ n i;;;;;;1^;;;;;
74kq;;;;;;;;;;;;;;;
Pardeep Kailey;73,8;Atlas Nijmeqen;240;250;255;145;150;155;410;250;260;265;675;486,5;1
Marijn Helsloot;71;Spartacus;170;-180;180;90;95;100;280;192,5;200;-205;480;355,9;3
David Asrian;73,4;Art of Power;170;-180;-180;130;140;-145;310;180;200;-210;510;369;2
Fabian Zweipfenninq;73,4;Top-Fit;140;150;160;85;100;-110;260;155;165;175;435;314,7;4
83kq;;;;;;;;;;;;;;;
Rian Laarman;83;Atlas Nijmeqen;-160;165;170;125;130;-135;300;220;230;240;540;360,5;1
Roland Pater;76,2;S.S.S.;162,5;172,5;180;107,5;115;117,5;297,5;162,5;175;180;477,5;336,5;2
Kart Gohkan (BM);81,5;Hardcore;217,5;227,5;-232,5;142,5;150;160;387,5;235;-245;245;632,5;426,9;
93kq;;;;;;;;;;;;;;;
Piet Van Haaren;92,6;Atlas Nijmeqen;290;310;320;150;160;-165;480;280;292,5;-302,5;772,5;486,3;1
Joost de Groot;93;s,s,s,;260;275;-282,5;165;175;177,5;452,5;242,5;260;;712,5;447,6;2
Art Asrian;88,1;Art of Power;190;205;220;205;220;230;450;220;235;;685;442,2;3
Jorrit de Jonq;92,4;Atlas Nijmeqen;220;-232,5;-232,5;130;135;-140;355;250;-255;;605;381,2;4
Devran Alper;86,3;Atlas Nijmeqen;155;165;172,5;77,5;85;-90;257,5;160;170;177,5;435;284;5
105kq;;;;;;;;;;;;;;;
Pjoter van de Hoek;96,1;Spartacus;-315;315;;265;-270;-270;580;275;290;300;880;544,5;1
Sven den Houtinq;99,4;S.S.S.;260;275;280;180;190;195;475;230;240;245;720;439,3;2
Rommie Zoethout;102,3;S.S.S.;240;250;-260;160;170;-175;420;260;270;;690;416,2;3
Floris van Melis;100;Hardcore;-275;-280;-280;-215;-215;;;;;;-;-;
120kq;;;;;;;;;;;;;;;
Jordi Snijders;119,9;Spartacus;280;300;310;265;272,5;-277,5;582,5;240;267,5;;850;488,8;1
Huub Hetterschijt;118;Berqum;270;280;290;185;200;-207,5;490;240;250;;740;427,1;2
120+kq;;;;;;;;;;;;;;;
Zyed Badreddine;132,6;Spartacus;-320;-320;320;200;207,5;-212,5;527,5;290;-302,5;302,5;830;467,8;1
Wim Wamsteeker;138,7;S.S.S.;-315;-335;-335;190;-197,5;;;;;;-;-;
