;;;;SQ;;;BP;;;;DL;;;;
NAME;BDW.;GYM;1.;2.;3.;1.;2.;3.;SUB.;1.;2.;3.;TOT.;Wilk’s;PI
Women;;;;;;;;;;;;;;;
Sub-Junioren;;;;;;;;;;;;;;;
57kq;;;;;;;;;;;;;;;
Katinka van Baaien;55.3;Spartacus;110;117,5;120;75;82,5;-88;202,5;125;140;-145;342,5;407;1.
Masters 1;;;;;;;;;;;;;;;
72kq;;;;;;;;;;;;;;;
Carmen Sjardijn;72;Essbra;-165;-165;165;-100;-107,5;-107,5;;;;;;;X
84kq;;;;;;;;;;;;;;;
Henny van 't Loo;76.2;Alq lid;125;132,5;-137,5;90;-95;95;227,5;130;-140;-140;357,5;336,6;1.
Masters II;;;;;;;;;;;;;;;
52kq;;;;;;;;;;;;;;;
Willy Heuser;51,7;Alq lid;85;90;-95;50;57,5;-60;147,5;85;90;95;242,5;303,7;1.
Men;;;;;;;;;■;;;;;;
Sub-Junioren;;HUlVjTiTfl;;;;yp;rlif;tin;(|;nf;0;;;;
74kq;;w w;w w;w w ■;;;;;y ■1;;;;;;
Merijn Helsloot;70.7;Spartacus;175;-185;-190,5;-92,5;92,5;100;275;190;-202,5;-202,5;465;345,8;1.
Fabian Zweipfenninq;71.9;Top-Fit;160;-170;-170;92,5;100;-110;260;-175;175;185;445;326,9;2.
83kq;;;;;;;;;;;;;;;
Jafar Dijks;77,2;HardCore;160;170;175;95;102,5;-107,5;277,5;170;180;-190;457,5;319,7;1.
Junioren;;;;;;;;;;;;;;;
83kq;;;;;;;;;;;;;;;
Devran Alper;81.9;Atlas;160;170;-175;77,5;-85;85;255;160;170;175;430;289,3;1.
93kq;;;;;;;;;;;;;;;
Ricardo Laqerburq;90.5;alq lid;-100;-100;-100;-80;80;-87,5;;130;145;160;;;X
105kq;;;;;;;;;;;;;;;
Jorrit de Jonq;95.1;Alq lid;225;-235;-235;140;147,5;-152,5;372,5;250;-257,5;257,5;630;391,7;1.
120+kq;;;;;;;;;;;;;;;
Ziyed Badreddine;130.1;Spartacus;310;;;205;-215,5;;515;260;280;305,5;820,5;464;1.
Master I;;;;;;;;;;;;;;;
105kq;;;;;;;;;;;;;;;
Iqor Vucenic;97.6;Alq lid;100;130;-150;80;97,5;-105;227,5;140;160;175;402,5;247,4;1.
120+kq;;;;;;;;;;;;;;;
Wim Wamsteeker;137,8;SSS;310;327,5;;200;205;207,5;535;245;255;265;800;448,2;1.
Masters II;;;;;;;;;;;;;;;
83kq;;;;;;;;;;;;;;;
Jos van Kersberqen;82.4;Essbra;190;-205;-205;120;-160;160;350;190;-210;210;560;375,4;1.
93kq;;;;;;;;;;;;;;;
Piet van Haaren;91.9;Atlas;295;315;325;155;162,5;-167,5;487,5;285;300;312,5;800;505,4;1.
John Schellekens;91,1;Physical;180;195;-205;115;-122,5;-122,5;310;200;220;230;540;342,6;2.
105kq;;;;;;;;;;;;;;;
Rick Priester;104.3;Spartacus;-250;-250;250;-170;-170;170;420;190;210;220;640;383,4;1.
Bram Hazeu;104.2;Spartacus;215;225;237,5;120;130;132,5;370;220;240;-261,5;610;365,5;2.
120kq;;;;;;;;;;;;;;;
Ronald Braak;105,1;SSS;230;245;250;160;167,5;175;425;220;235;;660;394,3;1.
Masters III;;;;;;;;;;;;;;;
93kq;;;;;;;;;;;;;;;
Dirk Grevelink;92,3;SSS;180;200;;80;85;90;290;220;237,5;;527,5;332,6;1.
