Place,Name,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,WeightClassKg,Division,Event,Sex,Equipment
1,Hennie van 't Loo,"71,20","95,00","-105,00","105,00","105,00","75,00","80,00","82,50","82,50","130,00","140,00","150,00","150,00","337,50",72,Masters 1,SBD,F,Raw
1,Ben Epe,"72,90","-132,50","132,50","-142,50","132,50","90,00","-95,00","-100,00","90,00","160,00","175,00","-190,00","175,00","397,50",74,Masters 1,SBD,M,Raw
1,Barry Faas,"78,80","180,00","185,00","-190,00","185,00","90,00","-95,00","95,00","95,00","210,00","215,00","-220,00","215,00","495,00",83,Masters 1,SBD,M,Raw
1,Pjolr vd Hoek,"104,30","255,00","267,50","275,00","275,00","190,00","195,00","-200,50","195,00","270,00","285,00","292,50","292,50","762,50",105,Masters 1,SBD,M,Raw
1,Huub Hetterschijt,"115,10","225,00","240,00",,"240,00","170,00","180,00","190,00","190,00","235,00","-250,00",,"235,00","665,00",120,Masters 1,SBD,M,Raw
1,Wim Bevers,"92,30","140,00","150,00","160,00","160,00","90,00","95,00","100,00","100,00","190,00","205,00","210,00","210,00","470,00",93,Masters 2,SBD,M,Raw
2,John Schellekens,"91,10","130,00","140,00","145,00","145,00","85,00","90,00","95,00","95,00","180,00","195,00","210,00","210,00","435,00",93,Masters 2,SBD,M,Raw
1,Bram Hazeu,"103,50","175,00","185,00","-200,00","185,00","125,00","130,00","132,50","132,50","200,00","215,00","225,00","225,00","540,00",105,Masters 2,SBD,M,Raw
1,Fred van Giersbergen,"130,70","170,00","200,00","225,00","225,00","140,00","155,00","-165,00","155,00","190,00","220,00","240,00","240,00","620,00",120+,Masters 2,SBD,M,Raw
1,Dirk Grevelink,"97,80","-150,00","160,00","175,00","175,00","-80,00","80,00","85,00","85,00","220,00","230,00","235,00","235,00","495,00",105,Masters 3,SBD,M,Raw
1,Brenda vd Meulen,"111,90","195,00","210,00","220,00","220,00","180,00","190,00","-200,00","190,00","175,00","185,00",,"185,00","595,00",84,Open,SBD,F,Singly-Ply
1,Ronald Paler,"81,40","190,00","200,00","210,00","210,00","115,00","125,00","130,00","130,00","180,00","195,00","200,00","200,00","540,00",83,Open,SBD,M,Singly-Ply
2,Justin Mulder,"79,30","-185,00","185,00","192,50","192,50","115,00","-120,00","-120,00","115,00","220,00","227,50","-232,50","227,50","535,00",83,Open,SBD,M,Singly-Ply
1,Sven den Houling,"104,10","290,00","305,00","-312,50","305,00","190,00","200,00","-205,00","200,00","240,00","255,00","265,00","265,00","770,00",105,Open,SBD,M,Singly-Ply
1,Dewivan der Geugten,"49,00","80,00","87,50","95,00","95,00","45,00","50,00","-55,00","50,00","-95,00","100,00","107,50","107,50","252,50",52,Open,SBD,F,Raw
2,Hilde Houweling,"51,40","52,50","-57,50","60,00","60,00","42,50","47,50","50,00","50,00","85,00","90,00","95,00","95,00","205,00",52,Open,SBD,F,Raw
1,Marlinde Gras,"62,30","120,00","125,00","-130,00","125,00","60,00","65,00","-70,00","65,00","150,00","157,50","-165,00","157,50","347,50",63,Open,SBD,F,Raw
2,Yvonne Kortsmil,"61,10","90,00","-102,50","102,50","102,50","60,00","65,00","-67,50","65,00","100,00","110,00","120,00","120,00","287,50",63,Open,SBD,F,Raw
3,Arja Rydin,"62,30","92,50","97,50","-105,00","97,50","400,00","-450,00","0,00","400,00","105,00","115,00","122,50","122,50","260,00",63,Open,SBD,F,Raw
4,Denise Campbell,"62,90","800,00","900,00","-950,00","900,00","47,50","52,50","55,00","55,00","100,00","-110,00","110,00","110,00","255,00",63,Open,SBD,F,Raw
5,Lieke van de Meerakker,"62,20","75,00","85,00","-90,00","85,00","45,00","-52,50","-52,50","45,00","110,00","120,00","-125,00","120,00","250,00",63,Open,SBD,F,Raw
6,Kristel Harbers,"62,40","80,00","-90,00","-90,00","80,00","40,00","42,50","-45,00","42,50","90,00","100,00","110,00","110,00","232,50",63,Open,SBD,F,Raw
1,Sylske Bekker,"63,90","90,00","97,50","102,50","102,50","47,50","52,50","-57,50","52,50","110,00","120,00","127,50","127,50","282,50",72,Open,SBD,F,Raw
2,Diede Vogelzang,"70,40","65,00","725,00","775,00","775,00","50,00","-55,00","-55,00","50,00","120,00","127,50","-135,00","127,50","255,00",72,Open,SBD,F,Raw
3,Yvette Bekkers,"67,10","65,00","700,00","750,00","750,00","42,50","47,50","-52,50","47,50","95,00","100,00","102,50","102,50","225,00",72,Open,SBD,F,Raw
1,Carmen Sjardijn,"75,70","120,00","130,00","140,00","140,00","72,50","-77,50","-77,50","72,50","140,00","150,00","160,00","160,00","372,50",84,Open,SBD,F,Raw
1,ThorquilKramer,"58,50","107,50","115,00","-120,00","115,00","-70,00","75,00","80,00","80,00","150,00","160,00","-162,50","160,00","355,00",59,Open,SBD,M,Raw
1,Jayanl Harnam,"62,60","117,50","-122,50","122,50","122,50","67,50","75,00","77,50","77,50","122,50","130,00","135,00","135,00","335,00",66,Open,SBD,M,Raw
1,Christiaan Mol,"72,40","150,00","160,00","165,00","165,00","100,00","107,50","110,00","110,00","200,00","210,00","215,00","215,00","490,00",74,Open,SBD,M,Raw
2,Rogier van Herrikhuijzen,"70,70","155,00","162,50","170,00","170,00","90,00","100,00","-102,50","100,00","-185,00","185,00","195,00","195,00","465,00",74,Open,SBD,M,Raw
