Place,Name,BodyweightKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,TotalKg,WeightClassKg,Division,Event,Sex,Equipment
1,Sandra Carli,49.80,77.50,80.00,83.00,83.00,83.00,52,Masters 2,B,F,Single-ply
1,Judith Meerdinq,63.00,90.00,-95.00,-95.00,90.00,90.00,63,Open,B,F,Single-ply
1,Ankie Timmers,71.50,150.00,,,150.00,150.00,72,Open,B,F,Single-ply
2,Maaike de Vries,71.60,"-117,5",117.50,-123.00,117.50,117.50,72,Juniors,B,F,Single-ply
3,Hennie van 't Loo,71.05,100.00,105.00,107.50,107.50,107.50,72,Masters 1,B,F,Single-ply
DQ,Carmen Siardijn,71.55,-105.00,-110.00,-110.00,,,72,Open,B,F,Single-ply
1,Ielia Strik,83.85,-175.00,-175.00,175.00,175.00,175.00,84,Masters 1,B,F,Single-ply
2,Sanne Visser,79.20,82.50,87.50,90.00,90.00,90.00,84,Open,B,F,Single-ply
3,Liza van der Schaaf,73.90,70.00,75.00,-77.50,75.00,75.00,84,Open,B,F,Single-ply
1,Brenda van der Meulen,112.90,180.00,190.00,200.00,200.00,200.00,84+,Open,B,F,Single-ply
1,Calvin Creuels,53.50,55.00,57.50,60.00,60.00,60.00,59,Sub-juniors,B,M,Single-ply
1,Maaikel Hamers,77.15,105.00,110.00,-115.00,110.00,110.00,83,Sub-juniors,B,M,Single-ply
1,Frank Calor,60.85,115.00,120.00,-125.00,120.00,120.00,66,Open,B,M,Single-ply
2,Jan van Waardenburg,65.20,105.00,-110.00,-110.00,105.00,105.00,66,Masters 2,B,M,Single-ply
1,Charley Smith,66.10,165.00,,,165.00,165.00,74,Masters 2,B,M,Single-ply
1,Artak Asrian,82.75,170.00,-185.00,-200.00,170.00,170.00,83,Open,B,M,Single-ply
2,Roland Pater,82.05,115.00,122.50,"- 127,5",122.50,122.50,83,Open,B,M,Single-ply
3,Neil Commandeur,80.65,140.00,-145.00,145.00,145.00,145.00,83,Open,B,M,Single-ply
4,Fried Zevenberqen,75.50,137.50,142.50,-145.00,142.50,142.50,83,Masters 3,B,M,Single-ply
5,Wim Bevers,83.00,90.00,100.00,105.00,105.00,105.00,83,Masters 2,B,M,Single-ply
6,Merijn Helsloot,75.50,80.00,90.00,,90.00,90.00,83,Juniors,B,M,Single-ply
DQ,Jos van Kesbergen,82.15,-165.00,-165.00,-165.00,,,83,Open,B,M,Single-ply
2,Robin Westphal,92.80,250.00,-260.00,-260.00,250.00,250.00,93,Open,B,M,Single-ply
3,Sven Maessen,92.35,185.00,190.00,-195.00,190.00,190.00,93,Open,B,M,Single-ply
5,Sonny Idili,89.95,170.00,-180.00,-180.00,170.00,170.00,93,Juniors,B,M,Single-ply
6,Donny Sipahelut,91.75,145.00,152.50,160.00,160.00,160.00,93,Masters 1,B,M,Single-ply
1,Frans van der Putten,93.00,250.00,255.00,-260.00,255.00,255.00,93,Masters 2,B,M,Single-ply
4,Pieter van de Vijfeijken,88.50,162.50,170.00,175.00,175.00,175.00,93,Masters 2,B,M,Single-ply
7,Pier Wierda,90.40,125.00,132.50,"-137,5",132.50,132.50,93,Masters 3,B,M,Single-ply
8,Aad Fabrie,92.20,90.00,"-102,5","-102,5",90.00,90.00,93,Masters 4,B,M,Single-ply
1,Patrick van der Putten,104.20,285.00,-290.50,-290.50,285.00,285.00,105,Open,B,M,Single-ply
2,Sven den Houtinq,103.90,185.00,-195.00,195.00,195.00,195.00,105,Masters 1,B,M,Single-ply
4,Bram Hazeu,102.60,150.00,-155.00,-155.00,150.00,150.00,105,Masters 2,B,M,Single-ply
3,Paul den Ouden,100.10,175.00,182.50,-185.00,182.50,182.50,105,Masters 3,B,M,Single-ply
5,Hans Leeuwenhaag,102.10,140.00,147.50,-150.00,147.50,147.50,105,Masters 4,B,M,Single-ply
DQ,Martijn Leeuwenkamp,97.90,-155.00,-155.00,-155.00,,,105,Open,B,M,Single-ply
1,Huub Hetterschijt,116.70,170.00,180.00,187.50,187.50,187.50,120,Masters 1,B,M,Single-ply
2,Valentiin Hulshorst,111.10,170.00,177.50,185.00,185.00,185.00,120,Masters 1,B,M,Single-ply
3,Roel van Droaen,109.80,162.50,170.00,175.00,175.00,175.00,120,Masters 3,B,M,Single-ply
1,Sven Jansen,174.00,230.00,240.00,252.50,252.50,252.50,120+,Open,B,M,Single-ply
2,Rene Hamers,164.80,250.00,-260.50,-260.50,250.00,250.00,120+,Masters 1,B,M,Single-ply
3,Meriin Boonstra,124.30,140.00,147.50,-150.00,147.50,147.50,120+,Open,B,M,Single-ply
