Place,Division,Sex,Name,Best3BenchKg,TotalKg,Team,State,Event,Equipment
1,Under 15,F,Jessie Millgate,25,25,The Hills Grammar School,NSW,B,Raw
1,Under 15,F,Taleesna Dauc,40,40,Ryan Catholic College,QLD,B,Raw
1,Under 16,F,Jade Currie,45,45,Merbein Secondary College,VIC,B,Raw
2,Under 16,F,Kate Turner,25,25,Kirwan State High School,QLD,B,Raw
3,Under 16,F,Renes Nicol,25,25,Kirwan State High School,QLD,B,Raw
1,Under 16,F,Courtney Bailey,40,40,Merbein Secondary College,VIC,B,Raw
2,Under 16,F,Sarah Cocks,37.5,37.5,Merbein Secondary College,VIC,B,Raw
3,Under 16,F,Hayley Williams,30,30,Merbein Secondary College,VIC,B,Raw
1,Under 16,F,Rachel Sloper,40,40,Merbein Secondary College,VIC,B,Raw
2,Under 16,F,Lisa Taglierini,37.5,37.5,Merbein Secondary College,VIC,B,Raw
3,Under 16,F,Vanessa Brown,30,30,Merbein Secondary College,VIC,B,Raw
4,Under 16,F,Sarah Priest,27.5,27.5,Merbein Secondary College,VIC,B,Raw
1,Under 16,F,Jessica Williams,42.5,42.5,Merbein Secondary College,VIC,B,Raw
2,Under 16,F,Katie Giddings,37.5,37.5,Merbein Secondary College,VIC,B,Raw
3,Under 16,F,Rebecca Chamberlain,37.5,37.5,Merbein Secondary College,VIC,B,Raw
4,Under 16,F,Jo-Anne Nelson,35,35,Merbein Secondary College,VIC,B,Raw
5,Under 16,F,Danielle Dearman,30,30,Merbein Secondary College,VIC,B,Raw
6,Under 16,F,Briony Dickinson,30,30,Merbein Secondary College,VIC,B,Raw
1,Under 16,F,Cassandra Tout,42.5,42.5,Kempsey High School,NSW,B,Raw
1,Under 16,F,Rebecca Gardham,45,45,Merbein Secondary College,VIC,B,Raw
1,Under 16,F,Katie Leak,65,65,Colac College,VIC,B,Raw
1,Under 17,F,Kale Mack,27.5,27.5,Merbein Secondary College,VIC,B,Raw
1,Under 17,F,Crystal Edmonds,25,25,Kirwan State High School,QLD,B,Raw
1,Under 17,F,Abbey Doering,45,45,Merbein Secondary College,VIC,B,Raw
2,Under 17,F,Trudie McCulloch,35,35,Kirwan State High School,QLD,B,Raw
3,Under 17,F,Kelly Davies,35,35,The Hills Grammar School,NSW,B,Raw
,Under 17,F,Susan Higgins,32.5,32.5,Merbein Secondary College,VIC,B,Raw
1,Under 17,F,Kira Johnson,25,25,Ryan Catholic College,QLD,B,Raw
1,17+,F,Justine Weston,45,45,Colac College,VIC,B,Raw
1,17+,F,Kim Pike,40,40,The Hills Grammar School,NSW,B,Raw
1,Under 13,Male,David Small,35,35,Nudgee College,QLD,B,Raw
2,Under 13,Male,S Gardiner,35,35,Nudgee College,QLD,B,Raw
3,Under 13,Male,Victor Harris,35,35,Nudgee College,QLD,B,Raw
4,Under 13,Male,Cayden Myer,30,30,Nudgee College,QLD,B,Raw
5,Under 13,Male,Nathan McNamara,30,30,Colac College,VIC,B,Raw
6,Under 13,Male,James Scott,25,25,Nudgee College,QLD,B,Raw
7,Under 13,Male,James Scott,25,25,Nudgee College,QLD,B,Raw
8,Under 13,Male,R Ah Chee,25,25,Nudgee College,QLD,B,Raw
9,Under 13,Male,J Carrigan,25,25,Nudgee College,QLD,B,Raw
10,Under 13,Male,Benjamin Mew,25,25,Nudgee College,QLD,B,Raw
11,Under 13,Male,Mikey Andronicus,25,25,Nudgee College,QLD,B,Raw
12,Under 13,Male,Mitchell Quaife,25,25,Nudgee College,QLD,B,Raw
13,Under 13,Male,D Licastro,20,20,Nudgee College,QLD,B,Raw
14,Under 13,Male,J Braidley,15,15,Nudgee College,QLD,B,Raw
1,Under 13,Male,Paul Steele,40,40,Nudgee College,QLD,B,Raw
1,Under 13,Male,Luke Powell,40,40,Colac College,VIC,B,Raw
2,Under 13,Male,Alex Mengel,25,25,Nudgee College,QLD,B,Raw
3,Under 13,Male,D Male,20,20,Nudgee College,QLD,B,Raw
1,Under 13,Male,Michael Murray,25,25,Nudgee College,QLD,B,Raw
1,Under 13,Male,N Winkler,50,50,Nudgee College,QLD,B,Raw
2,Under 13,Male,Adrian Howard,35,35,Colac College,VIC,B,Raw
3,Under 13,Male,Nick Flannigan,35,35,Colac College,VIC,B,Raw
4,Under 13,Male,Nicholas Ibrahim,25,25,Nudgee College,QLD,B,Raw
1,Under 13,Male,M Baillie-Smollen,20,20,Nudgee College,QLD,B,Raw
1,Under 13,Male,Levi Dare,45,45,Colac College,VIC,B,Raw
1,Under 14,Male,M Atkinson,50,50,Nudgee College,QLD,B,Raw
