Name,Sex,Division,BodyweightKg,WeightClassKg,State,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Squat4Kg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Bench4Kg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,Deadlift4Kg,TotalKg,Place,Event,Equipment
Jennifer Kyle,F,Open,55.7,56,NSW,90,95,-100,95, ,50,50,50,50, ,125,130,-132.5,130, ,275,1,SBD,Single-ply
Sam Van De Geest,F,Open,57.5,60,NSW,80,90,95,95, ,47.5,50,52.5,52.5, ,122.5,132.5,-132.5,132.5, ,270,1,SBD,Single-ply
Robyn Gleeson,F,Open,58,60,NSW,90,97.5,102.5,102.5, ,52.5,57.5,57.5,57.5, ,110,120,125,125, ,285,1,SBD,Single-ply
Max Bristow,M,Open,65.8,67.5,NSW,160,170,175,175, ,100,105,-107.5,105, ,220,230,240,240,243,520,1,SBD,Single-ply
John Meyers,M,Open,74.8,75,NSW,215,-230,-230,215, ,140,147.5,147.5,147.5, ,245,250,255.5,255.5,260.5,617.5,1,SBD,Single-ply
Tom Jamieson,M,Open,75.1,82.5,NSW,170,170,175,175, ,132.5,132.5,-140,132.5, ,180,190,-190,190, ,487.5,2,SBD,Single-ply
Peter Grey,M,Open,80.9,82.5,NSW,170,180,190,190, ,140,147.5,150,150, ,165,175,180,180, ,520,1,SBD,Single-ply
John Whiteman,M,Open,78.7,82.5,NSW,140,160,-170,160, ,80,100,-107.5,100, ,150,180,,180, ,440,G,SBD,Single-ply
Denis Holden,M,Open,80.7,82.5,NSW,145,145,155,155, ,120,125,127.5,127.5, ,170,185,190,190, ,472.5,1,SBD,Single-ply
Mark Roskell,M,Open,90,89.6,NSW,220,232.5,232.5,232.5, ,157.5,170,175,175,177.5,235,260,260,260, ,667.5,1,SBD,Single-ply
David Vaughan,M,Open,94.2,100,NSW,215,215, ,215,-145,152.5,157.5, ,157.5,372.5,240,, ,240, ,612.5,1,SBD,Single-ply
Murray Wilkinson,M,Open,125,120.8,NSW,200,-215,-215,200, ,140,150,-162.5,150, ,205,222.5,,222.5, ,572.5,1,SBD,Single-ply
