Name,Sex,WeightClassKg,BodyweighKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Event,Equipment,Division
Jennifer Kyle,F,56,55.2,95,52.5,132.5,280,SBD,Single-ply,Masters 1
Max Bristow,M,67.5,66.8,175,105,220,500,SBD,Single-ply,Masters 1
Tony Feltham,M,67.5,65.7,87.5,82.5,115,285,SBD,Single-ply,Masters 1
Anne Mort,F,75,72.7,145,95,145,385,SBD,Single-ply,Masters 1
Tom Jamieson,M,75,74.9,150,130,175,455,SBD,Single-ply,Masters 1
John Myers,M,82.5,79.4,215,147.5,255,617.5,SBD,Single-ply,Masters 1
Denis Holden,M,82.5,79.4,150,126,185,460,SBD,Single-ply,Masters 1
Mark Roskell,M,90,89.2,230,172.5,250,652.5,SBD,Single-ply,Masters 1
Pat Whymark,M,90,90,260,145,250,655,SBD,Single-ply,Masters 1
Gordon Thorogood,M,100,95.1,190,120,170,480,SBD,Single-ply,Masters 1
John Mort,M,100,100,225,125,235,585,SBD,Single-ply,Masters 1
Matthew McManus,M,125,113,160,80,170,410,SBD,Single-ply,Masters 1
Murray Wilkinson,M,125,122.6,220,160,220,600,SBD,Single-ply,Masters 1
Ben Clarke,M,52,45.2,,75,,75,B,Single-ply,Masters 1
Ray Owen,M,82.5,81.3,,155,,155,B,Single-ply,Masters 1
Strase Stojanoski,M,125+,130,,195,,195,B,Single-ply,Masters 1
