Place,Name,Sex,Division,WeightClassKg,Equipment,BirthYear,BirthDate,State,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Event
1,Khieszia Dhainielle Narral,F,D,39,Raw,2009,,,38.79,55,62.5,66,66,30,-35,-35,30,87.5,95.5,-96,95.5,191.5,SBD
1,Kaira Micaela Gonzales,F,J,47,Raw,2002,,,45.35,75,82.5,-90,82.5,52.5,-57.5,-57.5,52.5,115,122.5,-127.5,122.5,257.5,SBD
DQ,Arnee Filia Soriano,F,J,47,Raw,2002,,,,,,,,,,,,,,,,,SBD
1,Heisel Khate De Vera,F,J,52,Raw,2002,,,50.25,92.5,100,-108,100,40,-42.5,-42.5,40,117.5,125,-127.5,125,265,SBD
2,Jenna Mae Canarias,F,J,52,Raw,2000,,,50.1,70,75,82.5,82.5,27.5,30,-32.5,30,85,95,-100,95,207.5,SBD
3,Lara Joice Gregorio Carlos,F,J,52,Raw,,,,50.45,57.5,60,65,65,32.5,-37.5,-37.5,32.5,85,92.5,102.5,102.5,200,SBD
4,Praxilyn Cabangon,F,J,52,Raw,2002,,,51.35,-65,65,-70,65,25,30,-32.5,30,95,100,-105,100,195,SBD
1,Jane Erasmo,F,J,57,Raw,2003,,,55.25,100,110,120,120,70,75,77.5,77.5,140,150,-155,150,347.5,SBD
2,Alessandra Leonina G Eco,F,J,57,Raw,2004,,,53.8,110,115,117.5,117.5,62.5,67.5,70,70,127.5,-135,-137.5,127.5,315,SBD
3,Antoniette Ery Pabayo,F,J,57,Raw,2001,,,56.85,-110,110,-115,110,-50,-50,50,50,115,-120,120,120,280,SBD
4,Zoe Jane Varona,F,J,57,Raw,,,,56.45,95,100,105,105,40,42.5,-45,42.5,115,122.5,-127.5,122.5,270,SBD
5,Athila Ian Marie Surtido,F,J,57,Raw,2004,,,56.9,85,-90,95,95,45,50,-55,50,110,120,-122.5,120,265,SBD
6,Ruru Gallyle Ventura,F,J,57,Raw,2001,,,56.9,90,97.5,-102.5,97.5,45,-50,-50,45,95,105,120,120,262.5,SBD
7,Maria Irish Atienza,F,J,57,Raw,2001,,,55.6,75,80,-82.5,80,-42.5,42.5,-45,42.5,115,-122.5,122.5,122.5,245,SBD
1,Maritoni Elline Neri,F,J,63,Raw,2002,,,62.05,120.5,130.5,135,135,60.5,67.5,-70.5,67.5,125,135,141,141,343.5,SBD
2,Angela Kristell Borromeo,F,J,63,Raw,2002,,,62.6,107.5,112.5,120,120,45,50,-55,50,137.5,145,152.5,152.5,322.5,SBD
3,Ranielle Chelsie Co,F,J,63,Raw,2001,,,60.1,90,100,107.5,107.5,45,50,-52.5,50,115,122.5,127.5,127.5,285,SBD
4,Sarah Victor,F,J,63,Raw,2004,,,62.9,100,105,112.5,112.5,47.5,50,52.5,52.5,110,117.5,120,120,285,SBD
5,Natasha Mae Feliciano,F,J,63,Raw,2002,,,60.15,100,105,115,115,42.5,-47.5,-47.5,42.5,115,125,-130,125,282.5,SBD
1,Juanna Andrea Escoton,F,J,69,Raw,2003,,,67.5,95,105,-115,105,35,-40,-40,35,110,-120,120,120,260,SBD
2,Sharmaine Chloe Dobuyan,F,J,69,Raw,2003,,,63.35,80,90,95,95,27.5,32.5,-37.5,32.5,110,-130,,110,237.5,SBD
DQ,Danielle Francisco,F,J,69,Raw,2002,,,,,,,,,,,,,,,,,SBD
DQ,Jasmin Joy Catajan,F,J,69,Raw,2000,,,,,,,,,,,,,,,,,SBD
1,Janelle Menil,F,J,76,Raw,2002,,,75.55,100,-107.5,-107.5,100,40,45,-50,45,95,105,-120,105,250,SBD
1,Darryle Emanuelle Soriano Tangco,F,J,84+,Raw,2002,,,87.9,-115,-120,120,120,50,-55,-55,50,120,125,135,135,305,SBD
1,Jenny Bago,F,G,84,Raw,1996,,,77.3,85,95,100,100,35,40,-45,40,100,-110,110,110,250,SBD
1,Jesusa Trinidad,F,M1,57,Raw,1978,,,54.8,65,75,-85,75,40,-45,-45,40,90,105,112.5,112.5,227.5,SBD
1,Jomara Chan,F,M1,63,Raw,1980,,,60.3,95,100,105,105,37.5,40,-42.5,40,120,127.5,-135,127.5,272.5,SBD
2,Jerissa Marie Villaret,F,M1,63,Raw,1979,,,61.85,87.5,95,100.5,100.5,37.5,-42.5,42.5,42.5,120.5,-123,-125,120.5,263.5,SBD
3,Abegail Go,F,M1,63,Raw,1975,,,62,75,82.5,87.5,87.5,40,-45,-45,40,105,112.5,-117.5,112.5,240,SBD
1,Suzanne Marie Ozen,F,M1,69,Raw,1982,,,67.1,100,107.5,-112.5,107.5,40,45,50,50,110,120,130,130,287.5,SBD
2,Jenny Jessica Laboriante,F,M1,69,Raw,1981,,,64.75,75,-87.5,92.5,92.5,32.5,37.5,-42.5,37.5,80,95,105,105,235,SBD
1,Joanne Christy Pichay,F,M1,84+,Raw,,,,87.3,80,95,110,110,35,45,-50,45,120,135,137.5,137.5,292.5,SBD
1,Rowena Juico,F,M2,69,Raw,1968,,,64.6,70,72.5,80,80,30,35,-40,35,80,87.5,92.5,92.5,207.5,SBD
1,Amber Villanueva,F,N,43,Raw,2009,,,43,45,-55,55,55,22.5,25,-27.5,25,60,70,-75,70,150,SBD
1,Angelika Mariz Illorde,F,N,47,Raw,1998,,,45.6,87.5,92.5,97.5,97.5,52.5,55,57.5,57.5,120,125,-130,125,280,SBD
2,Marinella Joyce Quilang,F,N,47,Raw,1996,,,44.8,75,85,90,90,47.5,52.5,55,55,105,115,122.5,122.5,267.5,SBD
3,Sherilyn Kate Saporno,F,N,47,Raw,1998,,,44.75,55,65,70,70,27.5,30,-35,30,-110,110,115,115,215,SBD
1,Patricia Elise Siao,F,N,52,Raw,1997,,,52,95,102.5,-110,102.5,47.5,52.5,-57.5,52.5,132.5,142.5,150,150,305,SBD
2,Sandra Pe锟絘lba,F,N,52,Raw,1989,,,51.45,85,90,97.5,97.5,30,35,40,40,120,132.5,142.5,142.5,280,SBD
3,Heisel Khate De Vera,F,N,52,Raw,2002,,,50.25,92.5,100,-108,100,40,-42.5,-42.5,40,117.5,125,-127.5,125,265,SBD
4,Mary Grace Opamil,F,N,52,Raw,1986,,,51.55,60,62.5,75,75,30,42.5,47.5,47.5,90,105,110,110,232.5,SBD
5,Kezzia Beatriz Velasquez,F,N,52,Raw,2004,,,51.35,-75,82.5,-87.5,82.5,40,-42.5,-42.5,40,77.5,82.5,87.5,87.5,210,SBD
6,Jenna Mae Canarias,F,N,52,Raw,2000,,,50.1,70,75,82.5,82.5,27.5,30,-32.5,30,85,95,-100,95,207.5,SBD
7,Lara Joice Gregorio Carlos,F,N,52,Raw,,,,50.45,57.5,60,65,65,32.5,-37.5,-37.5,32.5,85,92.5,102.5,102.5,200,SBD
8,Praxilyn Cabangon,F,N,52,Raw,2002,,,51.35,-65,65,-70,65,25,30,-32.5,30,95,100,-105,100,195,SBD
9,Jasmine Bernadette Cagara,F,N,52,Raw,1996,,,51.4,60,67.5,-75,67.5,25,30,35,35,65,75,85,85,187.5,SBD
1,Antoniette Ery Pabayo,F,N,57,Raw,2001,,,56.85,-110,110,-115,110,-50,-50,50,50,115,-120,120,120,280,SBD
