OPL Format v1,Submit by email:,issues@openpowerlifting.org,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Federation,Date,MeetCountry,MeetState,MeetTown,MeetName,Formula,,,,,,,,,,,,,,,,,,,
IPF,5/7/23,,,,Dewfoam Raw Nats 2023,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Place,Name,Instagram,Sex,BirthYear,Age,Country,State,Equipment,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Event
1,Khieszia Dhainielle Narral,,F,2009,13,,,Raw,Girls' Developmental,38.79,39,55,62.5,66,66,30,-35,-35,30,87.5,95.5,-96,95.5,191.5,SBD
1,Kaira Micaela Gonzales,,F,2002,20,,,Raw,WoMen's Junior,45.35,47,75,82.5,-90,82.5,52.5,-57.5,-57.5,52.5,115,122.5,-127.5,122.5,257.5,SBD
DQ,Arnee Filia Soriano,,F,2002,20,,,Raw,WoMen's Junior,,47,,,,,,,,,,,,,,SBD
1,Heisel Khate De Vera,,F,2002,20,,,Raw,WoMen's Junior,50.25,52,92.5,100,-108,100,40,-42.5,-42.5,40,117.5,125,-127.5,125,265,SBD
2,Jenna Mae Canarias,,F,2000,22,,,Raw,WoMen's Junior,50.1,52,70,75,82.5,82.5,27.5,30,-32.5,30,85,95,-100,95,207.5,SBD
3,Lara Joice Gregorio Carlos,,F,Invalid date,NaN,,,Raw,WoMen's Junior,50.45,52,57.5,60,65,65,32.5,-37.5,-37.5,32.5,85,92.5,102.5,102.5,200,SBD
4,Praxilyn Cabangon,,F,2002,20,,,Raw,WoMen's Junior,51.35,52,-65,65,-70,65,25,30,-32.5,30,95,100,-105,100,195,SBD
1,Jane Erasmo,,F,2003,20,,,Raw,WoMen's Junior,55.25,57,100,110,120,120,70,75,77.5,77.5,140,150,-155,150,347.5,SBD
2,Alessandra Leonina G. Eco,,F,2004,18,,,Raw,WoMen's Junior,53.8,57,110,115,117.5,117.5,62.5,67.5,70,70,127.5,-135,-137.5,127.5,315,SBD
3,Antoniette Ery Pabayo,,F,2001,22,,,Raw,WoMen's Junior,56.85,57,-110,110,-115,110,-50,-50,50,50,115,-120,120,120,280,SBD
4,Zoe Jane Varona,,F,Invalid date,NaN,,,Raw,WoMen's Junior,56.45,57,95,100,105,105,40,42.5,-45,42.5,115,122.5,-127.5,122.5,270,SBD
5,Athila Ian Marie Surtido,,F,2004,18,,,Raw,WoMen's Junior,56.9,57,85,-90,95,95,45,50,-55,50,110,120,-122.5,120,265,SBD
6,Ruru Gallyle Ventura,,F,2001,21,,,Raw,WoMen's Junior,56.9,57,90,97.5,-102.5,97.5,45,-50,-50,45,95,105,120,120,262.5,SBD
7,Maria Irish Atienza,,F,2001,21,,,Raw,WoMen's Junior,55.6,57,75,80,-82.5,80,-42.5,42.5,-45,42.5,115,-122.5,122.5,122.5,245,SBD
1,Maritoni Elline Neri,,F,2002,20,,,Raw,WoMen's Junior,62.05,63,120.5,130.5,135,135,60.5,67.5,-70.5,67.5,125,135,141,141,343.5,SBD
2,Angela Kristell Borromeo,,F,2002,21,,,Raw,WoMen's Junior,62.6,63,107.5,112.5,120,120,45,50,-55,50,137.5,145,152.5,152.5,322.5,SBD
3,Ranielle Chelsie Co,,F,2001,21,,,Raw,WoMen's Junior,60.1,63,90,100,107.5,107.5,45,50,-52.5,50,115,122.5,127.5,127.5,285,SBD
4,Sarah Victor,,F,2004,19,,,Raw,WoMen's Junior,62.9,63,100,105,112.5,112.5,47.5,50,52.5,52.5,110,117.5,120,120,285,SBD
5,Natasha Mae Feliciano,,F,2002,20,,,Raw,WoMen's Junior,60.15,63,100,105,115,115,42.5,-47.5,-47.5,42.5,115,125,-130,125,282.5,SBD
1,Juanna Andrea Escoton,,F,2003,20,,,Raw,WoMen's Junior,67.5,69,95,105,-115,105,35,-40,-40,35,110,-120,120,120,260,SBD
2,Sharmaine Chloe Dobuyan,,F,2003,19,,,Raw,WoMen's Junior,63.35,69,80,90,95,95,27.5,32.5,-37.5,32.5,110,-130,,110,237.5,SBD
DQ,Danielle Francisco,,F,2002,20,,,Raw,WoMen's Junior,,69,,,,,,,,,,,,,,SBD
DQ,Jasmin Joy Catajan,,F,2000,22,,,Raw,WoMen's Junior,,69,,,,,,,,,,,,,,SBD
1,Janelle Menil,,F,2002,21,,,Raw,WoMen's Junior,75.55,76,100,-107.5,-107.5,100,40,45,-50,45,95,105,-120,105,250,SBD
1,Darryle Emanuelle Soriano Tangco,,F,2002,20,,,Raw,WoMen's Junior,87.9,84+,-115,-120,120,120,50,-55,-55,50,120,125,135,135,305,SBD
1,Jenny Bago,,F,1996,26,,,Raw,Women's Guestlifter,77.3,84,85,95,100,100,35,40,-45,40,100,-110,110,110,250,SBD
1,Jesusa Trinidad,,F,1978,44,,,Raw,Women's Master 1,54.8,57,65,75,-85,75,40,-45,-45,40,90,105,112.5,112.5,227.5,SBD
1,Jomara Chan,,F,1980,42,,,Raw,Women's Master 1,60.3,63,95,100,105,105,37.5,40,-42.5,40,120,127.5,-135,127.5,272.5,SBD
2,Jerissa Marie Villaret,,F,1979,43,,,Raw,Women's Master 1,61.85,63,87.5,95,100.5,100.5,37.5,-42.5,42.5,42.5,120.5,-123,-125,120.5,263.5,SBD
3,Abegail Go,,F,1975,47,,,Raw,Women's Master 1,62,63,75,82.5,87.5,87.5,40,-45,-45,40,105,112.5,-117.5,112.5,240,SBD
1,Suzanne Marie Ozen,,F,1982,40,,,Raw,Women's Master 1,67.1,69,100,107.5,-112.5,107.5,40,45,50,50,110,120,130,130,287.5,SBD
