Place,Name,Sex,Event,WeightClassLBS,Equipment,Best3SquatLBS,Best3BenchLBS,Best3DeadliftLBS,TotalLBS
1,Dave Mannering,M,SBD,114,Single-ply,358,181,352,892
1,Tony Galvez,M,SBD,123,Single-ply,418,209,424,1052
1,Ronnie Kerr,M,SBD,132,Single-ply,440,225,451,1118
2,R Caldwell,M,SBD,132,Single-ply,407,259,440,1107
DQ,Mike McHugh,M,SBD,132,Single-ply,407,209,,
1,Mick Barry,M,SBD,148,Single-ply,496,286,507,1289
1,Ken Elliott,M,SBD,165,Single-ply,496,374,595,1466
2,P Longley,M,SBD,165,Single-ply,529,281,529,1339
3,Kevin Jane,M,SBD,165,Single-ply,479,236,600,1317
4,Alex Small,M,SBD,165,Single-ply,485,286,485,1256
1,Geoff Chandler,M,SBD,181,Single-ply,507,418,551,1477
2,J White,M,SBD,181,Single-ply,595,319,518,1432
1,S Brandon,M,SBD,198,Single-ply,639,363,573,1576
2,G Miller,M,SBD,198,Single-ply,551,358,606,1515
1,Mark Savage,M,SBD,220,Single-ply,633,347,710,1691
2,R Lee,M,SBD,220,Single-ply,683,407,600,1691
3,Robert Szpalek,M,SBD,220,Single-ply,639,424,606,1669
4,Shaun Spillane,M,SBD,220,Single-ply,650,418,573,1642
5,N Lamba,M,SBD,220,Single-ply,628,363,639,1631
1,P Said,M,SBD,242,Single-ply,694,429,639,1765
2,Mike Leadbetter,M,SBD,242,Single-ply,661,352,710,1725
3,C Robert,M,SBD,242,Single-ply,694,413,617,1725
