Name,WeightClassKg,Age,BodyweightKg,Equipment,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,BestSquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,BestBenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,BestDeadliftKg,TotalKg,Event,Sex,Division
Chuck Dunbar,52,,,,-479,479,-502,502,,292,-305,305,-310,,-363,-363,363,,,,,,
Miguel Castro,52,,,,,336,-352,,,,203,-209,,,462,-491,-491,,,,,,
Joe Stanfeld,52,,,,,,,,,,,,,,,,,,,,,,
Lamar Gant,56,,,,,,,,,,,,,,,,,,,,,,
Bob Lech,56,,,,,,,,,,,,,,,,,,,,,,
Ernesto Milian,56,,,,,,,,,,,,,,,,,,,,,,
Joe Coles,56,,,,,,,,,,,,,,,,,,,,,,
Monte Mason,56,,,,,,,,,,,,,,,,,,,,,,
Ray Vernock,60,,,,,,,,,,,,,,,,,,,,,,
Fran Ruettiger,60,,,,,,,,,,,,,,,,,,,,,,
Joe Bradley,60,,,,,,,,,,,,,,,,,,,,,,
Rickey Dale Crain,67.5,,,,,,,,,,,,,,,,,,,,,,
Luis Alicea,67.5,,,,,,,,,,,,,,,,,,,,,,
John Orsini,67.5,,,,,,,,,,,,,,,,,,,,,,
Steve Muller,67.5,,,,,,,,,,,,,,,,,,,,,,
Jim Rush,67.5,,,,,,,,,,,,,,,,,,,,,,
Mike Wonyetye,67.5,,,,,,,,,,,,,,,,,,,,,,
Rick Gaugler,75,,,,,,,,,,,,,,,,,,,,,,
Jim Rouse,75,,,,,,,,,,,,,,,,,,,,,,
Tim Close,75,,,,,,,,,,,,,,,,,,,,,,
Bob Jesurun,75,,,,,,,,,,,,,,,,,,,,,,
Mike Bridges,82.5,,,,,,,,,,,,,,,,,,,,,,
Dean Becker,82.5,,,,,,,,,,,,,,,,,,,,,,
Jim Grudzien,82.5,,,,,,,,,,,,,,,,,,,,,,
Steve Knight,82.5,,,,,,,,,,,,,,,,,,,,,,
Scott Saluzzi,82.5,,,,,,,,,,,,,,,,,,,,,,
John Black,82.5,,,,,,,,,,,,,,,,,,,,,,
Don Haisenleder,82.5,,,,,,,,,,,,,,,,,,,,,,
Mike Capasso,82.5,,,,,,,,,,,,,,,,,,,,,,
Mike Zielinski,82.5,,,,,,,,,,,,,,,,,,,,,,
Marty Brasch,82.5,,,,,,,,,,,,,,,,,,,,,,
Bryan Wadie,82.5,,,,,,,,,,,,,,,,,,,,,,
Bill Ellis,82.5,,,,,,,,,,,,,,,,,,,,,,
Jack Wilson,82.5,,,,,,,,,,,,,,,,,,,,,,
Ted Mossbarger,82.5,,,,,,,,,,,,,,,,,,,,,,
Vince Anello,90,,,,,,,,,,,,,,,,,,,,,,
Jerry Jones,90,,,,,,,,,,,,,,,,,,,,,,
Ernie Frantz,90,,,,,,,,,,,,,,,,,,,,,,
Roger Estep,90,,,,,,,,,,,,,,,,,,,,,,
Sam Mangialardi,90,,,,,,,,,,,,,,,,,,,,,,
Bill Ennis,90,,,,,,,,,,,,,,,,,,,,,,
Gary Sanger,90,,,,,,,,,,,,,,,,,,,,,,
Keith Boyer,90,,,,,,,,,,,,,,,,,,,,,,
Rich Woods,90,,,,,,,,,,,,,,,,,,,,,,
Jack Sideris,90,,,,,,,,,,,,,,,,,,,,,,
Fred Hatfield,90,,,,,,,,,,,,,,,,,,,,,,
Mark Dimiduk,100,,,,,,,,,,,,,,,,,,,,,,
Chip McCain,100,,,,,,,,,,,,,,,,,,,,,,
Dave Schneider,100,,,,,,,,,,,,,,,,,,,,,,
Dennis Reed,100,,,,,,,,,,,,,,,,,,,,,,
Steve Miller,100,,,,,,,,,,,,,,,,,,,,,,
Jim Cash,100,,,,,,,,,,,,,,,,,,,,,,
Doug Dicke,100,,,,,,,,,,,,,,,,,,,,,,
Tony Johnson,100,,,,,,,,,,,,,,,,,,,,,,
Jim Verhagen,100,,,,,,,,,,,,,,,,,,,,,,
Ray Moran,100,,,,,,,,,,,,,,,,,,,,,,
John Florio,100,,,,,,,,,,,,,,,,,,,,,,
Louie Simmons,100,,,,,,,,,,,,,,,,,,,,,,
Larry Pacifico,100,,,,,,,,,,,,,,,,,,,,,,
John Kuc,110,,,,,,,,,,,,,,,,,,,,,,
Terry McCormick,110,,,,,,,,,,,,,,,,,,,,,,
Steve Wilson,110,,,,,,,,,,,,,,,,,,,,,,
Bill Seno,110,,,,,,,,,,,,,,,,,,,,,,
Steve Ponzi,110,,,,,,,,,,,,,,,,,,,,,,
Marv Phillips,110,,,,,,,,,,,,,,,,,,,,,,
Glen Stevans,110,,,,,,,,,,,,,,,,,,,,,,
Hollie Evett,110,,,,,,,,,,,,,,,,,,,,,,
Larry Kidney,125,,,,,,,,,,,,,,,,,,,,,,
Dave Shaw,125,,,,,,,,,,,,,,,,,,,,,,
Randy Wilson,125,,,,,,,,,,,,,,,,,,,,,,
Dan Wohleber,125,,,,,,,,,,,,,,,,,,,,,,
Ernie Hackett,125,,,,,,,,,,,,,,,,,,,,,,
Doyle Kenady,125+,,,,,,,,,,,,,,,,,,,,,,
Dave Waddington,125+,,,,,,,,,,,,,,,,,,,,,,
Paul Wrenn,125+,,,,,,,,,,,,,,,,,,,,,,
Gus Rethwisch,125+,,,,,,,,,,,,,,,,,,,,,,
Dave Keaggy,125+,,,,,,,,,,,,,,,,,,,,,,
Luke Iams,125+,,,,,,,,,,,,,,,,,,,,,,
Bill Kazmaier,125+,,,,,,,,,,,,,,,,,,,,,,
