Name,WeightClassKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Sex,Event,Division,Equipment,Age
Judy Gedney,44,,,,,F,SBD,Open,Single-ply,
Rex McClaren,52,,,,,M,SBD,Open,Single-ply,
Larry Adams,52,,,,,M,SBD,Open,Single-ply,
F. Yasaton,52,,,,,M,SBD,Open,Single-ply,
T. Donze,52,,,,,M,SBD,Open,Single-ply,
Diane Frantz,52,,,,,F,SBD,Open,Single-ply,
Donna Wicker,52,,,,,F,SBD,Open,Single-ply,
J. Meier,52,,,,,M,SBD,Open,Single-ply,
K. Stringer,52,,,,,F,SBD,Open,Single-ply,
M. Kafura,52,,,,,M,SBD,Open,Single-ply,
T. Allgrie,52,,,,,M,SBD,Open,Single-ply,
J. Rhoadarruer,52,,,,,F,SBD,Open,Single-ply,
Dove,52,,,,,F,SBD,Open,Single-ply,
Fred Hofer,56,,,,,M,SBD,Open,Single-ply,
J. Lynch,56,,,,,M,SBD,Open,Single-ply,
Melissa Orth,56,,,,,F,SBD,Open,Single-ply,17
P. Lanzante,56,,,,,M,SBD,Open,Single-ply,
Milanie Getz,56,,,,,F,SBD,Open,Single-ply,
Eileen Todaro,56,,,,,F,SBD,Open,Single-ply,
N. Weber,56,,,,,F,SBD,Open,Single-ply,
Dick Dillard,60,,,,,M,SBD,Open,Single-ply,
J. Privitor,60,,,,,M,SBD,Open,Single-ply,
G. Simmons,60,,,,,M,SBD,Open,Single-ply,
Bob Bridges,60,,,,,M,SBD,Open,Single-ply,
S. Shamblin,60,,,,,M,SBD,Open,Single-ply,
F. Manna,60,,,,,M,SBD,Open,Single-ply,
M. Gillette,60,,,,,M,SBD,Open,Single-ply,
K. Hammon,60,,,,,M,SBD,Open,Single-ply,
W. Baker,60,,,,,M,SBD,Open,Single-ply,
M. Ward,60,,,,,M,SBD,Open,Single-ply,
D. Gibbs,60,,,,,M,SBD,Open,Single-ply,
Kathy Leonard,60,,,,,F,SBD,Open,Single-ply,
J. Lanzante,60,,,,,M,SBD,Open,Single-ply,
K. Carswell,60,,,,,F,SBD,Open,Single-ply,
T. Moe,60,,,,,F,SBD,Open,Single-ply,
Pete Scholz,67.5,,,,,M,SBD,Open,Single-ply,
Gary Lee,67.5,,,,,M,SBD,Open,Single-ply,
N. Randitas,67.5,,,,,M,SBD,Open,Single-ply,
B. Jordan,67.5,,,,,M,SBD,Open,Single-ply,
P. Lapinski,67.5,,,,,M,SBD,Open,Single-ply,
Tony Mueller,67.5,,,,,M,SBD,Open,Single-ply,
R. Presswood,67.5,,,,,M,SBD,Open,Single-ply,
D. Weber,67.5,,,,,M,SBD,Open,Single-ply,
J. Kessler,67.5,,,,,M,SBD,Open,Single-ply,
J. van der Muelen,67.5,,,,,M,SBD,Open,Single-ply,
D. Gilbertson,67.5,,,,,M,SBD,Open,Single-ply,
D. Schaufelberger,67.5,,,,,M,SBD,Open,Single-ply,
J. Hoffman,67.5,,,,,M,SBD,Open,Single-ply,
J. Howard,67.5,,,,,M,SBD,Open,Single-ply,
J. Dallas,67.5,,,,,M,SBD,Open,Single-ply,
J. Kincaid,67.5,,,,,M,SBD,Open,Single-ply,
P. Stoffel,67.5,,,,,M,SBD,Open,Single-ply,
L. Cheathan,67.5,,,,,M,SBD,Open,Single-ply,
J. Countryman,67.5,,,,,M,SBD,Open,Single-ply,
R. Williamson,67.5,,,,,M,SBD,Open,Single-ply,
D. Tery,67.5,,,,,M,SBD,Open,Single-ply,
Tom Maupin,75,,,,,M,SBD,Open,Single-ply,
Doug Petersen,75,,,,,M,SBD,Open,Single-ply,
P. Conis,75,,,,,M,SBD,Open,Single-ply,
P. Malone,75,,,,,M,SBD,Open,Single-ply,
W. Henry,75,,,,,M,SBD,Open,Single-ply,
J. Georgen,75,,,,,M,SBD,Open,Single-ply,
D. Hutchinson,75,,,,,M,SBD,Open,Single-ply,
J. Landgrebe,75,,,,,M,SBD,Open,Single-ply,
M. Marini,75,,,,,M,SBD,Open,Single-ply,
G. Eudaly,75,,,,,M,SBD,Open,Single-ply,
T. Kisler,75,,,,,M,SBD,Open,Single-ply,
D. Dewitt,75,,,,,M,SBD,Open,Single-ply,
S. Baird,75,,,,,M,SBD,Open,Single-ply,
Ed Angstrom,75,,,,,M,SBD,Open,Single-ply,
G. Spurrier,75,,,,,M,SBD,Open,Single-ply,
L. Hyatt,75,,,,,F,SBD,Open,Single-ply,
M. Sternberg,75,,,,,F,SBD,Open,Single-ply,
L. Hoversten,75,,,,,F,SBD,Open,Single-ply,
K. Brodick,75,,,,,F,SBD,Open,Single-ply,
L. Stone,75,,,,,M,SBD,Open,Single-ply,
T. Harris,75,,,,,M,SBD,Open,Single-ply,
W. Dove,75,,,,,M,SBD,Open,Single-ply,
T. Piha,75,,,,,M,SBD,Open,Single-ply,
B. Almany,75,,,,,M,SBD,Open,Single-ply,
Mike Bridges,82.5,,,,,M,SBD,Open,Single-ply,
S. Lee,82.5,,,,,M,SBD,Open,Single-ply,
D. Zitt,82.5,,,,,M,SBD,Open,Single-ply,
T. Lanzante,82.5,,,,,M,SBD,Open,Single-ply,
M. Temborius,82.5,,,,,M,SBD,Open,Single-ply,
A. Benko,82.5,,,,,M,SBD,Open,Single-ply,
M. Paulus,82.5,,,,,M,SBD,Open,Single-ply,
G. Clow,82.5,,,,,M,SBD,Open,Single-ply,
R. McGarry,82.5,,,,,M,SBD,Open,Single-ply,
R. Pozzoliniwolf,82.5,,,,,M,SBD,Open,Single-ply,
T. Gavin,82.5,,,,,M,SBD,Open,Single-ply,
M. Neumann,82.5,,,,,M,SBD,Open,Single-ply,
P. Accordino,82.5,,,,,M,SBD,Open,Single-ply,
N. Wasser,82.5,,,,,M,SBD,Open,Single-ply,
M. Woodward,82.5,,,,,M,SBD,Open,Single-ply,
B. Lubke,82.5,,,,,M,SBD,Open,Single-ply,
Ernie Frantz,90,,,,,M,SBD,Open,Single-ply,46
B. Sullivan,90,,,,,M,SBD,Open,Single-ply,
J. Cribbin,90,,,,,M,SBD,Open,Single-ply,
M. Seago,90,,,,,M,SBD,Open,Single-ply,
R. Zenzen,90,,,,,M,SBD,Open,Single-ply,
B. Waltemath,90,,,,,M,SBD,Open,Single-ply,
D. Garrett,90,,,,,M,SBD,Open,Single-ply,
P. Rupright,90,,,,,M,SBD,Open,Single-ply,
D. Wilson,90,,,,,M,SBD,Open,Single-ply,
J. Miles,90,,,,,M,SBD,Open,Single-ply,
Victor Bates,90,,,,,M,SBD,Open,Single-ply,
D. Sutton,90,,,,,M,SBD,Open,Single-ply,
Tom Gingerich,90,,,,,M,SBD,Open,Single-ply,
Vic Pic,90,,,,,M,SBD,Open,Single-ply,
B. Love,90,,,,,M,SBD,Open,Single-ply,
R. Fielder,90,,,,,M,SBD,Open,Single-ply,
J. Burns,90,,,,,M,SBD,Open,Single-ply,
R. Williams,90,,,,,M,SBD,Open,Single-ply,
C. Draper,90,,,,,M,SBD,Open,Single-ply,
B. Kendall,90,,,,,M,SBD,Open,Single-ply,
J. Burnett,90,,,,,M,SBD,Open,Single-ply,
J. Kinney,90,,,,,M,SBD,Open,Single-ply,
B. Auglin,90,,,,,M,SBD,Open,Single-ply,
J. Anderson,90,,,,,M,SBD,Open,Single-ply,
S. Mekilly,90,,,,,M,SBD,Open,Single-ply,
Dennis Reed,100,,,,,M,SBD,Open,Single-ply,
J. Snitak,100,,,,,M,SBD,Open,Single-ply,
E. Lewis,100,,,,,M,SBD,Open,Single-ply,
S. Mangin,100,,,,,M,SBD,Open,Single-ply,
F. Carson,100,,,,,M,SBD,Open,Single-ply,
D. Hogan,100,,,,,M,SBD,Open,Single-ply,
P. Gray,100,,,,,M,SBD,Open,Single-ply,
